uniprot_id,protein,gene,description,gene_symbol,OP_S06_Pre,OP_S11_Pre,OP_S12_Pre,OP_S17_Pre,O_S05_Pre,O_S06_Pre,O_S07_Pre,O_S10_Pre,O_S16_Pre,O_S17_Pre,O_S24_Pre,O_S28_Pre,O_S29_Pre,O_S32_Pre,O_S35_Pre,OP_S06_Post,OP_S11_Post,OP_S12_Post,OP_S17_Post,O_S05_Post,O_S06_Post,O_S07_Post,O_S10_Post,O_S16_Post,O_S17_Post,O_S24_Post,O_S28_Post,O_S29_Post,O_S32_Post,O_S35_Post,YP_S14_Pre,YP_S45_Pre,YP_S56_Pre,Y_S01_Pre,Y_S07_Pre,Y_S10_Pre,Y_S11_Pre,Y_S16_Pre,Y_S28_Pre,Y_S30_Pre,Y_S31_Pre,Y_S32_Pre,Y_S34_Pre,Y_S35_Pre,Y_S36_Pre,Y_S40_Pre,YP_S14_Post,YP_S45_Post,YP_S56_Post,Y_S01_Post,Y_S07_Post,Y_S10_Post,Y_S11_Post,Y_S16_Post,Y_S28_Post,Y_S30_Post,Y_S31_Post,Y_S32_Post,Y_S34_Post,Y_S35_Post,Y_S36_Post,Y_S40_Post,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,pi_score,sig_pi
A0A0U1RRL7,MMPOS_HUMAN,MMP24OS,Protein MMP24OS,,NA,16.51761544,16.92749475,17.1107991,16.05223313,17.26057139,15.12946286,NA,16.33937173,16.32362163,16.4481242,16.33579408,16.93505286,16.18839053,17.79654964,14.83237351,17.17947333,16.59990498,17.22857726,17.15684041,16.12955931,16.34596498,NA,16.79191119,16.5404269,16.39304468,16.00435283,15.12256712,15.74016388,16.36410833,NA,NA,15.8909617,15.78356433,NA,NA,NA,NA,NA,16.30214494,16.46310903,16.48895002,NA,NA,15.77694229,16.0467756,15.87081224,NA,15.05880596,16.42910702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.643551392,-1.496466638,0.209363854,16.3217709,-1.528754648,-4.844725649,0.134818638,0.424317588,0.275390757,0
A0FGR8,ESYT2_HUMAN,ESYT2,Extended synaptotagmin-2,,16.56986633,17.04356955,17.1469378,17.03000533,16.69415588,16.9906473,16.82466367,16.87085659,16.67101352,17.37917149,17.12827283,16.91394975,16.93972943,17.18268421,16.83959127,17.08969651,16.80057248,17.57648277,NA,16.61129425,16.88956413,17.13365914,16.5912478,17.1213048,17.08191942,17.34914581,NA,17.35132301,16.80149317,17.25044737,NA,NA,17.23544329,NA,NA,16.99634334,17.73735526,17.32850582,NA,17.01564637,16.94448586,NA,NA,NA,NA,NA,16.80247735,NA,17.96638073,17.34536551,NA,17.14934773,17.03515023,NA,16.99880666,17.69838295,NA,18.02169166,NA,NA,16.7103754,17.4816024,0.338046988,-0.094481631,0.770575607,17.0986506,1.575078592,-4.789889479,0.122393768,0.405827448,0.49160895,0
A1L0T0,ILVBL_HUMAN,ILVBL,Acetolactate synthase-like protein,,NA,15.87152926,16.97288409,17.81339314,NA,17.27657535,NA,NA,NA,16.79184483,17.30442668,NA,16.58573046,NA,16.5291998,NA,16.17067245,16.97096216,17.14352495,16.69243111,17.27891192,16.9182579,15.81111164,16.10466107,16.94978814,16.76807853,17.22742607,NA,16.83052557,16.80291378,16.21209865,NA,16.75268697,NA,NA,NA,NA,17.27006238,17.44751914,17.26603431,17.33751141,17.04914623,NA,17.68049041,17.05456708,17.14706141,16.82536858,16.96825131,16.98701568,17.37169103,NA,NA,17.11031907,17.12931988,16.17082371,17.71426128,17.37944518,16.94997486,17.35862171,18.03714286,17.33327596,17.74515988,0.130369729,-0.53929733,0.800036788,17.0025044,0.392090177,-5.745990765,0.696840364,0.873626018,0.9540021,0
A1L4K1,FSD2_HUMAN,FSD2,Fibronectin type III and SPRY domain-containing protein 2,,17.79843625,17.69433644,16.93345044,18.17175687,17.54147267,17.90158377,17.90271351,17.27507994,17.91271438,17.85152289,16.31908834,18.45929184,17.98956647,17.43694746,17.63605672,17.41609035,17.96375242,17.59409397,17.91528046,17.76599684,17.87579542,18.15691933,17.33830527,17.96249067,17.66807796,18.02328454,18.03430418,17.42494534,18.00605529,17.64308666,18.07213815,18.86042204,18.13997086,18.661863,NA,NA,NA,18.50844993,18.66923691,17.48189133,18.02041926,18.29614187,NA,18.11705289,18.42841943,17.78117195,18.09972657,18.34262599,18.18204747,18.50338867,NA,NA,18.87489032,18.86320226,18.52407091,17.97664566,18.24336776,18.08450299,18.56825912,18.12344902,18.12117579,17.61935965,0.749156121,0.296306226,1.202006015,17.97814976,3.31392324,-1.245185589,0.001616232,0.049944402,0.008104634,1
A2RTX5,SYTC2_HUMAN,TARS3,"Threonine--tRNA ligase 2, cytoplasmic",,NA,15.32802037,15.56724106,15.26078328,15.79945453,15.99099794,14.99419651,NA,15.32582676,15.80277319,14.57380378,15.59865271,15.74314958,15.9448966,16.02714365,15.12056999,15.68757782,15.32112821,16.01012492,15.8922431,15.611348,15.85286607,15.04222117,15.29680219,15.72103333,15.72159108,15.27083743,15.17850977,15.33049858,15.15364455,NA,NA,16.40065904,NA,NA,NA,NA,14.85706273,14.84738216,15.35037005,NA,NA,NA,15.66715203,NA,NA,15.88803692,NA,15.24608926,15.85083015,NA,NA,15.23918286,15.5013095,NA,15.16554889,NA,15.39435326,NA,NA,NA,NA,-0.098966035,-0.694678561,0.496746491,15.48939783,-0.335748944,-5.82164039,0.738812731,0.893713889,0.970486208,0
A3KMH1,VWA8_HUMAN,VWA8,von Willebrand factor A domain-containing protein 8,,NA,21.70156489,21.74059645,22.39262539,NA,22.45981039,NA,NA,21.53431004,21.47722822,20.93856028,NA,NA,21.84273515,21.75292762,20.87245203,22.06139887,21.80058008,21.42483811,21.47388287,21.71857429,21.54251946,21.41696928,20.81919833,22.06245233,NA,NA,20.84187692,21.44535717,21.42574901,NA,NA,21.36161147,NA,NA,NA,NA,21.36169509,NA,20.57104983,NA,NA,NA,NA,NA,NA,20.74265109,NA,NA,NA,NA,NA,21.083776,21.52219263,NA,NA,NA,NA,NA,NA,NA,NA,-0.954467475,-1.697045431,-0.211889518,21.47818512,-2.632689516,-2.878419477,0.013621123,0.130981171,0.016564064,-1
A5YM72,CRNS1_HUMAN,CARNS1,Carnosine synthase 1,,19.07949273,NA,20.67392787,20.84778552,18.85389215,19.51038453,19.23859367,NA,NA,19.93820804,19.44252324,19.30013742,NA,20.78894423,19.45888723,20.5719094,20.25114964,20.5852111,20.01371485,20.08085256,20.65292708,20.64210447,18.89235041,18.84381044,20.84409315,20.55581792,20.70145417,19.64578557,19.53999462,19.97557029,NA,20.46460525,20.55056108,NA,19.24940495,19.81864756,20.82116379,21.11257591,20.58119951,NA,19.66544261,19.27284306,19.78387157,NA,19.66693481,19.99122281,19.98512766,20.98027118,20.75470508,20.82414221,20.59260085,22.1676446,20.37601181,21.31217348,NA,20.62080095,21.10313539,20.56088743,20.81471549,20.46590362,20.50941162,21.40197113,0.833855221,0.019782601,1.647927842,20.23353769,2.054440896,-4.01998703,0.044873611,0.242844087,0.075154618,0
A6NCE7,MP3B2_HUMAN,MAP1LC3B2,Microtubule-associated proteins 1A/1B light chain 3 beta 2,,NA,20.51504374,20.79498609,20.17914284,20.48249436,20.92476053,20.12848483,20.60256716,20.81625228,20.74717835,20.15575855,NA,21.03715146,20.92489191,20.89913711,20.89378637,20.91039306,20.19841277,NA,20.16280097,20.92539757,NA,20.07862075,20.85400661,20.71274475,20.84589598,NA,20.73965107,21.17531719,20.80496939,NA,NA,20.67202271,NA,NA,20.67250951,NA,NA,NA,NA,NA,21.59085426,NA,21.57803897,NA,NA,20.57305526,NA,20.64588652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.517774425,-0.016084815,1.051633665,20.71749074,1.977932082,-4.091961046,0.056868917,0.280367736,0.226624102,0
A6NDG6,PGP_HUMAN,PGP,Glycerol-3-phosphate phosphatase,,23.60438713,22.97766157,22.7545407,23.31535256,22.52837211,23.21353166,22.93771844,22.8242114,23.18859071,23.0834133,23.09860139,23.2111332,23.10132508,23.26381262,22.8445274,23.67759076,22.79330197,22.81062124,23.38166703,22.86002707,22.69801127,22.84803001,22.838317,23.19131627,23.22906674,22.81093663,23.32183365,23.13034281,23.20274575,23.03797685,22.82271711,23.35860204,22.67637651,22.53134473,23.09542265,22.66961615,23.25392034,22.91724811,23.19068292,22.35104327,23.12404259,22.75251847,23.23056582,23.08275023,22.91132674,23.20045163,22.92437019,23.41159902,22.96770934,22.76567545,23.05953816,23.10594683,23.03719219,23.03460973,23.08687777,22.80080629,23.01155193,22.90564383,23.30168453,22.86233298,23.12036415,22.90378603,-0.122798899,-0.40304358,0.157445782,23.02011745,-0.875904124,-5.70172886,0.384460334,0.673582803,0.889242531,0
A6NNS2,DRS7C_HUMAN,DHRS7C,Dehydrogenase/reductase SDR family member 7C,,21.34562096,21.83504508,21.6832408,21.24301813,21.77817393,21.29256236,22.0084806,21.65757647,21.83187008,21.52107922,20.90538568,21.937243,21.33195661,21.82397298,21.45462276,21.78019738,21.08568503,21.69116615,20.8814803,21.56969262,21.19939813,21.61954777,21.32486245,21.54883637,20.88924949,21.45617353,21.95279232,22.21412845,21.37389122,21.0878433,21.81481426,22.28461263,21.38733381,22.26250127,20.93896807,22.08650083,22.33751492,21.97012472,21.96919334,21.53324683,20.77930599,21.87418812,22.05046289,21.72504743,21.9139135,22.68904667,21.55093677,22.09897203,20.57705874,22.14040752,21.07767592,21.73855533,21.5795692,21.7418344,22.35511635,21.56848807,21.78944548,21.9814074,20.90255296,21.94053668,21.53836461,22.24074897,0.142731604,-0.3312616,0.616724808,21.64134256,0.601932105,-5.894786965,0.549412488,0.78565815,0.91806895,0
