ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,quadrant,pathway_label
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,72/621,126/2053,0.5714285714285714,1.8891189325971933,6.782147686098274,8.657954956401e-11,1.496960411961733e-7,1.413525067092416e-7,HADHA/DCXR/HADHB/ALDH5A1/ACAT1/CRAT/ALDH6A1/ETFB/ETFA/MPST/HADH/ALDH4A1/ECI1/MCCC1/CPT2/TST/ACAA2/ECH1/FAH/GALK1/PCCA/IVD/ALDH2/ACADS/GPT2/ACADSB/MCEE/ADIPOQ/ACADVL/ECI2/DBT/RIDA/MLYCD/ACSS2/NUDT3/GCDH/HAGH/PLIN5/CPT1B/GSK3A/GPT/GLUL/ACAA1/BCAT2/SULT1A1/ADHFE1/AKR1A1/ECHDC2/GOT1/PDXP/BCL2L13/TIGAR/APOE/SHMT1/DLD/MTAP/ACSS1/LDHD/TKFC/HSD17B10/GPD2/ETFDH/GCSH/PARK7/PGAM2/PGM1/AASDHPPT/GNPDA1/OXCT1/ALDH1L1/MCCC2/ADH5,72,Reversed (Aging Up / Training Down),Small Molecule Catabolic Process
GOBP_ORGANIC_ACID_METABOLIC_PROCESS,GOBP_ORGANIC_ACID_METABOLIC_PROCESS,121/621,254/2053,0.4763779527559055,1.5748855668403767,6.443853396734636,3.413976557100484e-10,2.9513827336133686e-7,2.786882968454132e-7,HADHA/DCXR/HADHB/ALDH5A1/ACAT1/CRAT/ALDH6A1/ETFB/ETFA/MPST/HADH/ALDH4A1/ECI1/MCCC1/DDAH2/CPT2/TST/ACAA2/ECH1/ACO2/FAH/ASAH1/GALK1/GSTO1/PCCA/IVD/CBR4/C3/ACADS/GPT2/ACADSB/MCEE/ADIPOQ/ACADVL/VDAC1/FN3K/MDH1/SDHA/GAMT/ECI2/DBT/ACSF2/RIDA/MLYCD/BPNT1/SLC27A1/ACSS2/GCDH/CS/HAGH/PLIN5/CPT1B/SDHB/FABP3/FAHD2A/ACSL1/GPT/MECR/STAT5B/L2HGDH/ECHDC3/GLUL/APOC2/ADH1B/ACAA1/BCAT2/LDHB/HSD17B8/GSTP1/FABP5/ACOT2/SULT1A1/ADHFE1/AKR1A1/ECHDC2/GOT1/PTGES3/PANK4/FAHD1/ASS1/BCL2L13/ACO1/AKR1B1/TIGAR/SHMT1/PGD/DLD/GPX1/PCBD1/ACSS1/LDHD/HSD17B10/ETFDH/GCSH/PARK7/DGLUCY/PGAM2/MTHFD1/IDH1/PGM1/ALDH1A1/ABHD14B/DBI/PPA2/AASDHPPT/GNPDA1/FBP1/PLAA/BCO2/MECP2/ALDH1L1/MCCC2/ACAD9/ALDH3A2/OGDH/ADH5/ALDOA/PDK1/SUCLG2/PDHB/UBR4,121,Reversed (Aging Up / Training Down),Organic Acid Metabolic Process
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS,GOBP_SMALL_MOLECULE_METABOLIC_PROCESS,200/621,479/2053,0.4175365344467641,1.3803583014802039,6.259235059573501,5.665575202741153e-10,3.2652598418464846e-7,3.0832656629654485e-7,IDI1/HADHA/GPD1L/NAXD/AKR7A2/DCXR/HADHB/COQ7/ALDH5A1/ACAT1/CRAT/ALDH6A1/HMGB1/ETFB/ETFA/COQ5/MPST/HADH/ALDH4A1/ECI1/PNPO/MCCC1/DDAH2/CPT2/TST/ACAA2/ECH1/ACO2/FAH/ASAH1/MAT2B/GALK1/GAA/PCBD2/GSTO1/PCCA/IVD/CBR4/COQ8A/C3/ALDH2/GARS1/TALDO1/ACADS/GPT2/LSS/ACADSB/MCEE/ADIPOQ/ACADVL/VDAC1/DPYSL3/FN3K/MDH1/SDHA/GAMT/ECI2/DBT/ACSF2/RIDA/MLYCD/BPNT1/SLC27A1/ACSS2/NUDT3/CYB5R3/GCDH/CS/NADK2/HAGH/PLIN5/NPC2/NAXE/CPT1B/COQ3/GSK3A/SDHB/FABP3/FAHD2A/PGLS/FBN1/ACSL1/GPT/MECR/STAT5B/DMAC2L/L2HGDH/ECHDC3/COX11/GLUL/APOC2/SUCLG1/ADH1B/AGT/ACAA1/BCAT2/LDHB/H6PD/DCTPP1/HSD17B8/GSTP1/FABP5/COQ9/SPR/ACOT2/SULT1A1/PLPBP/ADHFE1/AKR1A1/ECHDC2/ATP5PD/ATP5F1D/GOT1/PTGES3/PDXP/DNM1L/PANK4/PGP/AK2/FAHD1/ASS1/BCL2L13/ACO1/AKR1B1/TIGAR/APOE/SHMT1/SDHD/PGD/PGM3/DLD/NT5C3A/RTN4IP1/COQ6/MTAP/GPX1/PCBD1/ACSS1/RAN/LDHD/TKFC/HSD17B10/GPD2/ETFDH/ATP6V1B2/KARS1/GCSH/NDUFB7/CAT/PARK7/DGLUCY/PGAM2/AK3/MTHFD1/IDH1/RBP4/PGM1/ATP5PB/APOD/ALDH1A1/ABHD14B/FDX1/DBI/PPA2/NUDT16/AASDHPPT/GNPDA1/FBP1/EPHA2/PLAA/GMPR/BCO2/MECP2/FDPS/OXCT1/AHCY/ALDH1L1/NDUFS3/MCCC2/ATP5MG/OLA1/GMPR2/ACAD9/GUK1/ALDH3A2/OGDH/NDUFB4/NUDT9/ADH5/ASMTL/ALDOA/FIS1/NDUFA5/MFN1/PDK1/PUDP/SUCLG2/NDUFA9/PDHB/UBR4,200,Reversed (Aging Up / Training Down),Small Molecule Metabolic Process
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,52/621,86/2053,0.6046511627906976,1.9989514286784256,6.2309517365110505,2.9662611808244285e-9,1.2821663954113592e-6,1.210702918804918e-6,HADHA/DCXR/HADHB/ALDH5A1/ACAT1/CRAT/ALDH6A1/ETFB/ETFA/MPST/HADH/ALDH4A1/ECI1/MCCC1/CPT2/TST/ACAA2/ECH1/FAH/PCCA/IVD/ACADS/GPT2/ACADSB/MCEE/ADIPOQ/ACADVL/ECI2/DBT/RIDA/MLYCD/GCDH/PLIN5/CPT1B/GPT/GLUL/ACAA1/BCAT2/ADHFE1/AKR1A1/ECHDC2/GOT1/SHMT1/DLD/LDHD/HSD17B10/ETFDH/GCSH/AASDHPPT/GNPDA1/ALDH1L1/MCCC2,52,Reversed (Aging Up / Training Down),Organic Acid Catabolic Process
GOBP_LIPID_OXIDATION,GOBP_LIPID_OXIDATION,27/621,37/2053,0.7297297297297297,2.412455934195065,5.708125000777612,8.016058650731997e-8,2.7719530814231247e-5,2.6174540983758587e-5,HADHA/HADHB/ACAT1/CRAT/ETFB/ETFA/HADH/ECI1/CPT2/ACAA2/ECH1/IVD/ACADS/ADIPOQ/ACADVL/ECI2/MLYCD/GCDH/PLIN5/CPT1B/FABP3/ACAA1/ECHDC2/HSD17B10/ETFDH/APOD/ADH5,27,Reversed (Aging Up / Training Down),Lipid Oxidation
GOBP_CYTOPLASMIC_TRANSLATION,GOBP_CYTOPLASMIC_TRANSLATION,68/372,116/2053,0.5862068965517241,3.2351687059695955,11.656033422537625,6.257314147876793e-24,1.0017959950750746e-20,9.794343303045043e-21,PKM/RPL8/EIF3E/RPS9/RPL7/EIF2B3/RPS15A/RPS6/SARS1/SH3BGRL/EIF2S2/RPSA/RPL12/RPL4/RPS4X/RPS8/YBX1/RPL13/AKT2/RPL13A/RPS16/RPS26/EIF3L/RPL11/RPLP2/EIF3K/RACK1/DRG2/EIF3I/RPL29/RPS13/RPLP0/RPS18/RPL6/RPL36/RPS12/RPL5/EIF3A/RPL32/RPS17/RPS14/RPS2/RPS21/RPS3/RPL28/RPS15/RPL19/RPS20/RPL37A/RPS25/RPS5/EIF2B1/RPL31/EEF2/RPL35/RPL10/RPL23/RPS19/EIF3G/RPL17/RPS3A/RPL38/RPL22/RPL23A/EIF3C/RPL24/RPS10/RPS7,68,Reversed (Aging Down / Training Up),Cytoplasmic Translation
GOBP_TRANSLATION,GOBP_TRANSLATION,95/372,245/2053,0.3877551020408163,2.1399495281983762,8.942228099721435,2.0114540263685422e-16,1.610168948108018e-13,1.574227440636854e-13,PKM/RPL8/EIF3E/EEF1B2/RPS9/RPL7/EIF2B3/RPS15A/RPS6/MRPL38/SARS1/MRPS18A/SH3BGRL/QARS1/RPL3L/EIF2S2/MRPS18B/GCN1/RPSA/EIF2S1/RPL12/RPL4/PELO/RPS4X/PA2G4/RPS8/HSPB1/YBX1/RPL13/AKT2/RPL13A/RPS16/FXR1/RPS26/C1QBP/EIF3L/RPL11/DDRGK1/RPLP2/EIF3K/RACK1/DRG2/EIF3I/RPL29/HBS1L/RPS13/RPLP0/MRPL13/YARS1/GAPDH/MRPS21/RPS18/MRPL1/RPL6/RPL36/RPS12/RPL5/EIF3A/RPL32/RPS17/RPS14/RPS2/RPS21/RPS3/RPL28/EEFSEC/RPS15/RPL19/RPL36AL/PPP1CA/RPS20/RPL37A/RPS25/RPS5/EIF2B1/RPL31/EEF2/RPL35/RPL10/MRPL9/RPL23/CAPRIN1/RPS19/EIF3G/NACA/RPL17/RPS3A/RPL38/RPL22/RPL23A/EIF3C/EEF1G/RPL24/RPS10/RPS7,95,Reversed (Aging Down / Training Up),Translation
GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,GOBP_MEMBRANELESS_ORGANELLE_ASSEMBLY,46/372,114/2053,0.40350877192982454,2.226891152612714,6.339366306327196,8.317962842779465e-9,4.4390195037633074e-6,4.339933595513356e-6,CAPG/GSN/RPS6/MYL9/TUBB/SBDS/LCP1/RPSA/EIF2S1/G3BP1/FXR1/C1QBP/RPL11/MAPRE3/UBAP2L/KLHL41/CASQ1/CSRP3/MAPRE1/ACTA1/RPL5/LMOD3/WDR1/RPS14/DYNC1H1/RPS3/CSRP1/RPS15/EZR/RPS5/MSN/TMOD4/MAPT/CAPRIN1/RPS19/TNNT3/FLNA/CAPN3/NRAP/ACTN2/TPM1/RPL38/FLNC/MYBPH/RPL24/SQSTM1,46,Reversed (Aging Down / Training Up),Membraneless Organelle Assembly
GOBP_RIBOSOME_BIOGENESIS,GOBP_RIBOSOME_BIOGENESIS,29/372,57/2053,0.5087719298245614,2.807819279381249,6.510112062270553,1.2030523345564214e-8,4.815216969062077e-6,4.707733740751049e-6,RPS9/RPL7/RPS15A/RPS6/SBDS/RPSA/RPS4X/PA2G4/RPS8/RPS16/C1QBP/RPL11/RPS13/RPLP0/TRMT112/RPS12/RPL5/RPS17/RPS14/RPS21/RPS15/RPS25/RPS5/RPL35/RPS19/RPS3A/RPL38/RPL24/RPS7,29,Reversed (Aging Down / Training Up),Ribosome Biogenesis
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,19/372,30/2053,0.6333333333333333,3.495250896057348,6.475200157833453,4.122476175951391e-8,1.3200168715396353e-5,1.2905520155030985e-5,RPS9/RPS15A/RPS6/RPSA/RPS4X/RPS8/RPS16/RPS13/TRMT112/RPS12/RPS17/RPS14/RPS21/RPS15/RPS25/RPS5/RPS19/RPS3A/RPS7,19,Reversed (Aging Down / Training Up),Ribosomal Small Subunit Biogenesis
