quadrant,max_neg_log10_pvalue,n_overlap,matrix_rows,matrix_cols,n_shared_genes
Reversed_AgingUp_TrainingDown,27.57,649,213,213,2115
Reversed_AgingDown_TrainingUp,34.63,662,213,213,2115
Exacerbated_Up,29.94,402,213,213,2115
Exacerbated_Down,33.43,402,213,213,2115
