pathway,pathway_label,database,NES_Aging,NES_Training_Old,padj_Aging,padj_Training_Old,significance,set_size
GOBP_FATTY_ACID_BETA_OXIDATION,Fatty Acid Beta Oxidation,GO:BP,2.672,-1.824,1.933e-8,0.0745,Sig Aging only,32
GOBP_FATTY_ACID_CATABOLIC_PROCESS,Fatty Acid Catabolic Process,GO:BP,2.728,-1.707,5.473e-9,0.1023,Sig Aging only,37
GOBP_MYOFIBRIL_ASSEMBLY,Myofibril Assembly,GO:BP,-2.603,1.448,1.552e-7,0.2471,Sig Aging only,43
GOBP_AMINO_ACID_CATABOLIC_PROCESS,Amino Acid Catabolic Process,GO:BP,2.311,-1.724,2.706e-5,0.1023,Sig Aging only,41
GOBP_MUSCLE_CELL_DEVELOPMENT,Muscle Cell Development,GO:BP,-2.625,-1.134,1.772e-9,0.5822,Sig Aging only,75
GOBP_REGULATION_OF_MYELOID_CELL_DIFFERENTIATION,Regulation Of Myeloid Cell Differentiation,GO:BP,1.991,-1.667,0.02588,0.1705,Sig Aging only,20
GOBP_KETONE_METABOLIC_PROCESS,Ketone Metabolic Process,GO:BP,1.767,-1.713,0.03723,0.1023,Sig Aging only,52
HALLMARK_FATTY_ACID_METABOLISM,Fatty Acid Metabolism,Hallmark,2.207,-1.212,1.385e-5,0.3941,Sig Aging only,83
GOBP_CARDIAC_CELL_DEVELOPMENT,Cardiac Cell Development,GO:BP,-2.048,-1.356,0.009374,0.4072,Sig Aging only,21
GOBP_PROTEIN_RNA_COMPLEX_ORGANIZATION,Protein RNA Complex Organization,GO:BP,-1.824,1.542,0.02611,0.1532,Sig Aging only,62
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,Actomyosin Structure Organization,GO:BP,-2.16,1.174,1.39e-4,0.5404,Sig Aging only,72
GOBP_ORGANELLE_ASSEMBLY,Organelle Assembly,GO:BP,-1.953,1.374,1.732e-5,0.1926,Sig Aging only,186
GOBP_TRICARBOXYLIC_ACID_CYCLE,Tricarboxylic Acid Cycle,GO:BP,1.929,1.332,0.03138,0.4213,Sig Aging only,25
GOBP_RESPONSE_TO_BACTERIUM,Response To Bacterium,GO:BP,1.816,-1.368,0.01192,0.2679,Sig Aging only,80
GOBP_REGULATION_OF_LIPID_LOCALIZATION,Regulation Of Lipid Localization,GO:BP,1.889,-1.258,0.03024,0.5043,Sig Aging only,29
GOBP_ENDOPLASMIC_RETICULUM_ORGANIZATION,Endoplasmic Reticulum Organization,GO:BP,-1.931,-1.141,0.01899,0.6164,Sig Aging only,35
GOBP_MUSCLE_SYSTEM_PROCESS,Muscle System Process,GO:BP,-2.11,0.925,1.246e-6,0.8509,Sig Aging only,141
GOBP_RESPONSE_TO_INSULIN,Response To Insulin,GO:BP,1.842,-1.179,0.02098,0.5404,Sig Aging only,59
GOBP_MUSCLE_TISSUE_DEVELOPMENT,Muscle Tissue Development,GO:BP,-1.788,-1.226,0.01585,0.4332,Sig Aging only,88
GOBP_REACTIVE_NITROGEN_SPECIES_METABOLIC_PROCESS,Reactive Nitrogen Species Metabolic Process,GO:BP,1.877,-1.123,0.03666,0.6384,Sig Aging only,23
HALLMARK_MYOGENESIS,Myogenesis,Hallmark,-1.888,-1.109,3.959e-4,0.4621,Sig Aging only,103
HALLMARK_HEME_METABOLISM,Heme Metabolism,Hallmark,1.804,-1.1,0.00755,0.4697,Sig Aging only,48
HALLMARK_PEROXISOME,Peroxisome,Hallmark,1.981,-0.867,0.001526,0.8386,Sig Aging only,38
GOBP_ADAPTIVE_IMMUNE_RESPONSE,Adaptive Immune Response,GO:BP,1.81,0.948,0.02985,0.8058,Sig Aging only,44
GOBP_MITOCHONDRIAL_TRANSPORT,Mitochondrial Transport,GO:BP,1.996,-0.755,0.001646,0.9784,Sig Aging only,62
HALLMARK_OXIDATIVE_PHOSPHORYLATION,OXPHOS,Hallmark,2.028,-0.625,7.379e-6,0.9995,Sig Aging only,155
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS,Proteasome Mediated Ubiquitin Dependent Pr...,GO:BP,-1.616,0.649,0.03723,0.9998,Sig Aging only,98
GOBP_CYTOPLASMIC_TRANSLATION,Cytoplasmic Translation,GO:BP,-2.911,2.584,7.167e-17,7.968e-11,Sig Both,116
GOBP_RIBOSOME_BIOGENESIS,Ribosome Biogenesis,GO:BP,-2.278,2.179,4.075e-5,5.586e-4,Sig Both,57
GOBP_RRNA_PROCESSING,Rrna Processing,GO:BP,-2.108,2.019,0.001923,0.02888,Sig Both,31
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,Sulfur Compound Metabolic Process,GO:BP,1.734,-1.892,0.02818,0.01033,Sig Both,79
HALLMARK_ADIPOGENESIS,Adipogenesis,Hallmark,1.853,-1.705,5.557e-4,0.009731,Sig Both,109
GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION,Supramolecular Fiber Organization,GO:BP,-1.881,1.585,5.705e-5,0.04036,Sig Both,194
HALLMARK_MITOTIC_SPINDLE,Mitotic Spindle,Hallmark,-1.551,1.942,0.08083,0.00502,Sig Training only,35
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Modified Amino Acid Metabolic Process,GO:BP,1.62,-1.861,0.1005,0.03947,Sig Training only,52
GOBP_PROTEIN_MATURATION,Protein Maturation,GO:BP,1.375,1.787,0.1691,0.01038,Sig Training only,138
HALLMARK_MYC_TARGETS_V1,MYC Targets V1,Hallmark,-1.329,1.714,0.1026,0.00502,Sig Training only,128
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,Unfolded Protein Response,Hallmark,-0.992,2.004,0.6151,0.00502,Sig Training only,32
