gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
ACTN1,-2.0749,3.1316,0,0.011819,Down
DES,-1.5373000000000001,4.9219,0,9.43e-4,Down
NEB,-1.5125,5.0511,0,7.57e-4,Down
RPS7,-1.2077,7.6127,0,2.6e-5,Down
MYBPH,-2.2746,3.7731,0,0.004784,Down
PLEC,-0.9711,6.69,0,8.2e-5,Down
MICOS10,-1.3237,5.6512,0,4.32e-4,Down
OBSCN,-1.0584,6.6344,0,8.2e-5,Down
LMOD2,-2.3498,4.4421,0,0.001972,Down
TTN,-1.7351,5.8856,0,2.77e-4,Down
SYNPO2L,-1.8742,6.0797,0,2.21e-4,Down
CTSZ,1.0463,6.9252,0,6.8e-5,Up
ACTN4,-1.7925,3.3835,1e-6,0.008442,Down
THRB,-1.6875,3.714,1e-6,0.005155,Down
ACTN2,-1.9923,3.0617,1e-6,0.013003,Down
ACTN3,-2.1256,2.6572,2e-6,0.02403,Down
MYOM3,-1.353,4.083,3e-6,0.00307,Down
IDI1,0.8806,6.1323,4e-6,2.21e-4,Up
PDLIM1,0.9976,5.0543,9e-6,7.57e-4,Up
MYOF,-0.9018,5.4359,1.3e-5,5.08e-4,Down
MYOZ1,-1.7931,2.66,1.7e-5,0.02403,Down
SPEG,-0.8077,5.6127,2.9e-5,4.33e-4,Down
MUSTN1,-1.3525,3.3464,3e-5,0.008635,Down
HMGB2,0.7507,5.9339,3.5e-5,2.75e-4,Up
BZW1,-1.0162,4.2847,4.4e-5,0.00221,Down
PSMD7,-0.624,6.8935,5e-5,6.8e-5,Down
LRG1,1.0808,3.9416,5.5e-5,0.003532,Up
PLIN2,1.1226,3.7182,6.7e-5,0.005155,Up
OTUB1,0.5187,8.0084,7e-5,2.1e-5,Up
TPM1,-1.3008,3.1549,7.9e-5,0.011646,Down
MAOA,0.7801,5.2183,8.5e-5,6.44e-4,Up
DDI2,-1.186,3.3631,1.03e-4,0.008619,Down
DHRS7B,-0.7769,5.0885,1.11e-4,7.55e-4,Down
TNNI2,-1.211,3.2024,1.32e-4,0.010682,Down
LRBA,-1.7263,2.2261,1.44e-4,0.047286,Down
SYNM,-1.064,3.5909,1.51e-4,0.006133,Down
SQSTM1,-0.6885,5.5488,1.51e-4,4.38e-4,Down
SOD2,0.8101,4.6672,1.66e-4,0.001387,Up
HAT1,-1.6467,2.2615,1.89e-4,0.044645,Down
PSAP,0.686,5.3581,2.11e-4,5.18e-4,Up
KLHL40,-1.0533,3.4715,2.21e-4,0.007332,Down
HMGCL,0.6634,5.4182,2.55e-4,5.08e-4,Up
SLC25A46,0.9434,3.8004,2.6e-4,0.004616,Up
DCXR,0.7183,4.9596,2.74e-4,8.98e-4,Up
CA3,0.629,5.5407,3.27e-4,4.38e-4,Up
MT-ND4,-0.8255,4.209,3.35e-4,0.002436,Down
RPS27A,-0.9151,3.767,3.57e-4,0.004789,Down
NAXD,0.6595,5.1827,3.82e-4,6.55e-4,Up
EPDR1,0.7294,4.6028,4.39e-4,0.001562,Up
RPS10,-0.7656,4.2905,5.19e-4,0.00221,Down
FNDC3A,-1.4999,2.1831,5.31e-4,0.05003,Down
FLNB,-0.8177,3.9962,5.4e-4,0.003459,Down
ARHGDIB,0.7382,4.3776,5.87e-4,0.001991,Up
GPT2,1.6779,1.8774,7.08e-4,0.078609,Up
NXN,0.5967,5.2725,7.14e-4,5.98e-4,Up
SYNPO2,-0.7764,4.0448,7.24e-4,0.003188,Down
TNNT3,-1.1285,2.7531,7.82e-4,0.02099,Down
ALDH6A1,0.7749,3.9754,8.3e-4,0.003459,Up
PTRH2,-1.1125,2.7278,9.23e-4,0.021764,Down
TMX2,-0.7639,3.9699,9.27e-4,0.003459,Down
MYOM2,-0.6994,4.2505,0.001065,0.002299,Down
PLIN4,0.6198,4.7766,0.001095,0.001243,Up
CARM1,-0.8587,3.35,0.001328,0.008635,Down
RPL24,-0.6642,4.3004,0.001393,0.00221,Down
FLNC,-0.7829,3.6182,0.001471,0.005944,Down
FXN,0.6262,4.5227,0.001472,0.001774,Up
RPL27,-1.0914,2.5872,0.001501,0.027529,Down
SELENBP1,0.5954,4.7416,0.001502,0.001245,Up
NRAP,-0.9169,3.0662,0.001544,0.012967,Down
MYH3,-1.4228,1.9743,0.001552,0.067608,Down
RPL34,-1.0231,2.706,0.001704,0.022275,Down
ACADM,0.6002,4.4747,0.002061,0.001877,Up
PREX1,-0.8498,3.1546,0.002085,0.011646,Down
TPM2,-1.0869,2.4404,0.002226,0.03493,Down
HMOX1,-0.947,2.7785,0.002338,0.020255,Down
TPSB2,0.8185,3.2137,0.002342,0.010621,Up
SLC25A11,-0.6385,4.0774,0.002493,0.00307,Down
EMC2,-0.7122,3.6449,0.002536,0.005738,Down
HADHA,0.4819,5.3746,0.002572,5.18e-4,Up
TPM4,0.6743,3.7751,0.002848,0.004784,Up
ABHD6,-0.7128,3.5323,0.003034,0.006941,Down
MYH2,-1.041,2.3882,0.003265,0.037686,Down
MAOB,0.5518,4.4888,0.003334,0.001866,Up
VIM,-0.7813,3.1352,0.003552,0.011819,Down
MT-ND2,-0.8019,3.0536,0.003558,0.013152,Down
MYOM1,-0.7139,3.3994,0.003743,0.008357,Down
FSD2,-0.6175,3.9085,0.003858,0.0037,Down
CLIC4,-0.6385,3.6954,0.00437,0.005298,Down
ALDH5A1,0.5376,4.3749,0.004446,0.001991,Up
EMC3,-0.6774,3.3803,0.005131,0.008442,Down
TMOD4,-1.0191,2.2283,0.005361,0.047286,Down
COQ5,0.6009,3.7165,0.005842,0.005155,Up
PNPO,0.6634,3.3546,0.005953,0.008635,Up
CAPRIN1,-0.9027,2.4566,0.006061,0.03427,Down
