uniprot_id,kME,GS,gene,is_hub,label
A1L4K1,0.4757417424478976,0.20711307915617522,FSD2,FALSE,NA
A8MXV4,0.42135318593638627,0.18650725288754688,NUDT19,FALSE,NA
L0R6Q1,0.5259552359772327,0.3449647146175092,SLC35A4,FALSE,NA
O00168,0.414079348910543,0.38823567394083847,FXYD1,FALSE,NA
O00264,0.49411416086981197,0.1373367413331228,PGRMC1,FALSE,NA
O00418,0.5053635726685985,0.27775885583191784,EEF2K,FALSE,NA
O00505,0.47918358523094257,0.22128364672889378,KPNA3,FALSE,NA
O00764,0.37345745535244174,0.22126977292393535,PDXK,FALSE,NA
O14924,0.5988805425740743,0.17276749549845283,RGS12,FALSE,NA
O14979,0.7381454240276342,0.2889746588072884,HNRNPDL,FALSE,NA
O15264,0.6364602210966674,0.2522170609912266,MAPK13,FALSE,NA
O15511,0.6749023035487379,0.21270090088671645,ARPC5,FALSE,NA
O43237,0.633640244826282,0.49699242584143133,DYNC1LI2,FALSE,NA
O43396,0.5140897383368648,0.2732041932156972,TXNL1,FALSE,NA
O43598,0.41083681561930874,0.3046397563393941,DNPH1,FALSE,NA
O43617,0.7471584463506621,0.23065831070794737,TRAPPC3,FALSE,NA
O43776,0.5655790917625981,0.20100546672187197,NARS1,FALSE,NA
O60343,0.6688765287461672,0.27845680399199035,TBC1D4,FALSE,NA
O60613,0.6760245505821194,0.3617834541442082,SELENOF,FALSE,NA
O60888,0.5227695664973743,0.03733041432819202,CUTA,FALSE,NA
O75128,0.6065465421326736,0.13610222143889752,COBL,FALSE,NA
O75223,0.4918352292240399,0.23812463538108766,GGCT,FALSE,NA
O75323,0.2822462794371315,0.0747799093177765,NIPSNAP2,FALSE,NA
O75348,0.609939243097889,0.11855080089469465,ATP6V1G1,FALSE,NA
O75351,0.434986616611486,0.07692960655034232,VPS4B,FALSE,NA
O75821,0.6407913327229479,0.40746585602989804,EIF3G,FALSE,NA
O76070,0.719675136733034,0.3604970757074426,SNCG,TRUE,SNCG
O94811,0.8784577515832638,0.3188867796335949,TPPP,TRUE,TPPP
O95278,0.5200363969555671,0.5724428548874102,EPM2A,FALSE,NA
O95372,0.42145044516411995,0.23199742950466481,LYPLA2,FALSE,NA
O95747,0.31900430494318877,0.17011193462646496,OXSR1,FALSE,NA
O95816,0.8198949548358462,0.37082130633703025,BAG2,TRUE,BAG2
P00488,0.29427705008987937,0.15563317167498653,F13A1,FALSE,NA
P00558,0.33954755726860825,0.18364270275369332,PGK1,FALSE,NA
P01591,0.5172691645340716,0.1609995821653048,JCHAIN,FALSE,NA
P02751,0.5155925957616596,0.1747135291335119,FN1,FALSE,NA
P02786,0.3202931691866903,0.13931868379408485,TFRC,FALSE,NA
P04275,0.6567811589140228,0.19787340361488687,VWF,FALSE,NA
P05026,0.4972961420855918,0.16075059178525078,ATP1B1,FALSE,NA
P05787,0.31203259304136205,0.2939770012849176,KRT8,FALSE,NA
P06730,0.5374950128097848,0.32399030340470625,EIF4E,FALSE,NA
P07108,0.3500941213293198,0.05257672835133735,DBI,FALSE,NA
P08294,0.5806188259485113,0.34942016028685274,SOD3,FALSE,NA
P08621,0.8815908804984381,0.3796282868068376,SNRNP70,TRUE,SNRNP70
P08727,0.34916518933556234,0.2202830428771419,KRT19,FALSE,NA
P09012,0.5044760822285836,0.18354240747712586,SNRPA,FALSE,NA
P09104,0.3532131559613076,0.2412270112987945,ENO2,FALSE,NA
P09601,0.7795516331043227,0.301490181782648,HMOX1,TRUE,HMOX1
P09913,0.3967974411932426,0.14630385944884677,IFIT2,FALSE,NA
P09960,0.48045166021589536,0.18987293857815746,LTA4H,FALSE,NA
P10398,0.7200629587261094,0.36891685363084725,ARAF,TRUE,ARAF
P11532,0.3228406242563732,0.1439445236443782,DMD,FALSE,NA
P11766,0.3090135370884163,0.12990022402895132,ADH5,FALSE,NA
P12955,0.5967328880409996,0.36612073835537406,PEPD,FALSE,NA
P13489,0.5263353041744001,0.10324099309029071,RNH1,FALSE,NA
P13611,0.48038487792302503,0.23828722369398472,VCAN,FALSE,NA
P13929,0.34133132362131685,0.17395615450464708,ENO3,FALSE,NA
P14735,0.3116590964414236,0.36793904299626506,IDE,FALSE,NA
P14923,0.5003645109004385,0.2784559722565769,JUP,FALSE,NA
P15259,0.3879843336537872,0.23638342111757493,PGAM2,FALSE,NA
P15374,0.5837893012030989,0.3208254801957819,UCHL3,FALSE,NA
P16298,0.44457842688233296,0.11094564140927594,PPP3CB,FALSE,NA
P16989,0.801259643236546,0.4272970830116254,YBX3,TRUE,YBX3
P19971,0.7349675721236132,0.3208732076423353,TYMP,TRUE,TYMP
P20020,0.4993872638623266,0.2610584799836211,ATP2B1,FALSE,NA
P21281,0.294533600066667,0.046181851883766514,ATP6V1B2,FALSE,NA
P23381,0.3040015155203248,0.022181488981064756,WARS1,FALSE,NA
P23588,0.3056136906864518,0.04067240908266909,EIF4B,FALSE,NA
P25686,0.3682304650164246,0.2218597495065958,DNAJB2,FALSE,NA
P27361,0.46237040974949944,0.05614195959188644,MAPK3,FALSE,NA
P29992,0.5276282088002724,0.08703149958436926,GNA11,FALSE,NA
P30046,0.569490972283605,0.38111706121202527,DDT,FALSE,NA
P30085,0.8141021338452544,0.48735924846865486,CMPK1,TRUE,CMPK1
P31751,0.3210323033488298,0.13963046929812348,AKT2,FALSE,NA
P32456,0.6092494844405374,0.259205929739342,GBP2,FALSE,NA
P35908,0.4039582704750889,0.22574255625557813,KRT2,FALSE,NA
P36543,0.7346321402716979,0.44575406753847524,ATP6V1E1,TRUE,ATP6V1E1
P39687,0.3237466237085539,0.41794451409682143,ANP32A,FALSE,NA
P43490,0.3566018132362101,0.11240322021750344,NAMPT,FALSE,NA
P45985,0.43696600475077435,0.36291718159725955,MAP2K4,FALSE,NA
P46109,0.4687163683213239,0.08130722191011908,CRKL,FALSE,NA
P46379,0.611801952415328,0.43122915473570766,BAG6,FALSE,NA
P46783,0.6784398483746956,0.43169926274010867,RPS10,FALSE,NA
P46939,0.4618875453921678,0.010338449266028504,UTRN,FALSE,NA
P46977,0.3565728286741733,0.4146123442871131,STT3A,FALSE,NA
P48163,0.31582232804103944,0.29183345548752104,ME1,FALSE,NA
P48426,0.7674550161149366,0.42327355281458323,PIP4K2A,TRUE,PIP4K2A
P48444,0.3091600367885188,0.03425340239652597,ARCN1,FALSE,NA
P48637,0.40432181682331536,0.06966169745211886,GSS,FALSE,NA
P49023,0.6780093156227137,0.0687216222897833,PXN,FALSE,NA
P50570,0.464355018193816,0.03174113868031782,DNM2,FALSE,NA
P50579,0.3961670549810788,0.009126043285071272,METAP2,FALSE,NA
P50583,0.5406204460040211,0.16669079780912255,NUDT2,FALSE,NA
P50995,0.4302311261924617,0.27080533871975115,ANXA11,FALSE,NA
P51608,0.6514664763826997,0.3005336501704236,MECP2,FALSE,NA
P51665,0.5575623162641161,0.5338993854055151,PSMD7,FALSE,NA
P51668,0.40350081114449854,0.07959198061954297,UBE2D1,FALSE,NA
P51812,0.3478169905968638,0.23807017972415548,RPS6KA3,FALSE,NA
P53384,0.541602289961319,0.23666642990399922,NUBP1,FALSE,NA
P54284,0.5638185129918203,0.08450930445901475,CACNB3,FALSE,NA
P55010,0.5884573662478761,0.325368249548472,EIF5,FALSE,NA
P55786,0.34112207576703124,0.05134103903732487,NPEPPS,FALSE,NA
P55795,0.7290756951375951,0.20674160685468304,HNRNPH2,FALSE,NA
P55809,0.5707208312959334,0.2289837332085729,OXCT1,FALSE,NA
P56134,0.49635347460449425,0.12953445064804459,ATP5MF,FALSE,NA
P56192,0.7192410159213856,0.36452132708278334,MARS1,TRUE,MARS1
P56211,0.48566006231292685,0.2207074465835873,ARPP19,FALSE,NA
P57772,0.6326711498206262,0.3099828798917051,EEFSEC,FALSE,NA
P58546,0.31570457245360606,0.0829247500021873,MTPN,FALSE,NA
P60033,0.7089536326707925,0.23017885766602253,CD81,FALSE,NA
P61026,0.46311501866082305,0.3589001669575689,RAB10,FALSE,NA
P61077,0.4710810297782971,0.37926736111767645,UBE2D3,FALSE,NA
P61081,0.5357246957702404,0.20263891830088923,UBE2M,FALSE,NA
P61088,0.7866904486190397,0.38301124523809615,UBE2N,TRUE,UBE2N
P61619,0.5504652814659831,0.32892385072478886,SEC61A1,FALSE,NA
P61925,0.3146559295798123,0.1343091026978853,PKIA,FALSE,NA
P61960,0.6381507739527714,0.17639478610645787,UFM1,FALSE,NA
P61978,0.3069711161867832,0.06983088791856648,HNRNPK,FALSE,NA
P62081,0.7483203829210524,0.45354826869184206,RPS7,TRUE,RPS7
P62195,0.5462549768049942,0.38807967938379817,PSMC5,FALSE,NA
P62253,0.6207591153528451,0.055576973642851774,UBE2G1,FALSE,NA
P62266,0.6962994587315469,0.41262746126384686,RPS23,FALSE,NA
P62277,0.5203737584234679,0.2705823455726394,RPS13,FALSE,NA
P62318,0.54476313986905045,0.3667033065113706,SNRPD3,FALSE,NA
P62328,0.6170260357108018,0.28975130726569676,TMSB4X,FALSE,NA
P62834,0.4071773187948151,0.26820500278873144,RAP1A,FALSE,NA
P62847,0.6428026657389974,0.24977731460428032,RPS24,FALSE,NA
P62854,0.4618855687812035,0.17664999024946965,RPS26,FALSE,NA
P63173,0.5843959968182078,0.3367133797383033,RPL38,FALSE,NA
P63208,0.3085703763026794,0.4782040462979949,SKP1,FALSE,NA
P63302,0.6031814855535279,0.2857044161436104,SELENOW,FALSE,NA
P68402,0.38650776764174677,0.22171914879950314,PAFAH1B2,FALSE,NA
P78356,0.7350859537393597,0.3298742697131839,PIP4K2B,TRUE,PIP4K2B
P81605,0.5575088784746502,0.31411674104701304,DCD,FALSE,NA
P82979,0.7347933547869202,0.3402236363305553,SARNP,TRUE,SARNP
P84085,0.4858509374528916,0.3946337733333355,ARF5,FALSE,NA
P84157,0.6897159414091025,0.27955201250519945,MXRA7,FALSE,NA
Q00169,0.8001652861702699,0.23125710182550005,PITPNA,FALSE,NA
Q00796,0.56740673188396,0.20647496512752345,SORD,FALSE,NA
Q01844,0.7372765237974728,0.13677519026898824,EWSR1,FALSE,NA
Q02388,0.7504725072254488,0.3048939446029749,COL7A1,TRUE,COL7A1
Q04637,0.46605945273485105,0.1108242462331113,EIF4G1,FALSE,NA
Q04759,0.5602241640457366,0.31341630399506737,PRKCQ,FALSE,NA
Q04760,0.39761291643954294,0.12145270427215696,GLO1,FALSE,NA
Q04941,0.6105924477009429,0.01018204198995204,PLP2,FALSE,NA
Q05519,0.9133100014343726,0.3169298266643528,SRSF11,TRUE,SRSF11
Q06730,0.7420012357692404,0.37992766595269445,ZNF33A,TRUE,ZNF33A
Q08722,0.302441972848958,0.1912550402724624,CD47,FALSE,NA
Q08752,0.40344956620722194,0.0839767619077853,PPID,FALSE,NA
Q09666,0.6471671252529617,0.3022950689079382,AHNAK,FALSE,NA
Q0VDF9,0.41539722494343395,0.20480593600485247,HSPA14,FALSE,NA
Q0VDG4,0.7378614205595783,0.33316388215143167,SCRN3,TRUE,SCRN3
Q10567,0.7480462533023224,0.3132597045235854,AP1B1,TRUE,AP1B1
Q12846,0.8134903095356558,0.2868729616645349,STX4,FALSE,NA
Q12906,0.31240199123956847,0.2986571524343511,ILF3,FALSE,NA
Q13057,0.449374688486284,0.3717569476505975,COASY,FALSE,NA
Q13098,0.4807163032007704,0.23264847987519496,GPS1,FALSE,NA
Q13131,0.44851861580136787,0.16576494597198949,PRKAA1,FALSE,NA
Q13153,0.5618981256193728,0.21452902501419846,PAK1,FALSE,NA
Q13310,0.4372434462612323,0.3126399953256256,PABPC4,FALSE,NA
Q13326,0.41856877422826855,0.20874450592111723,SGCG,FALSE,NA
Q13404,0.4892303204782105,0.26194715659131496,UBE2V1,FALSE,NA
Q13424,0.43434250269679303,0.2962618508945863,SNTA1,FALSE,NA
Q13445,0.5187544942488397,0.36396611588634487,TMED1,FALSE,NA
Q13492,0.7896032474009212,0.18137722922944396,PICALM,FALSE,NA
