gene,trait,cor,pval,padj,stars,module
CMPK1,Age,-0.23700059641106125,0.1992404328948012,0.3746615861503882,,Turquoise
MYOF,Age,-0.6273123100531866,1.587911218054012e-4,0.003512902407044697,**,Turquoise
OSBPL11,Age,-0.5328833077282277,0.002025993463732975,0.018233941173596776,*,Turquoise
VPS13A,Age,-0.5471972175880896,0.0014440693418984376,0.01529014597304228,*,Turquoise
ASPSCR1,Age,-0.6232045281362775,1.8047016369054624e-4,0.003512902407044697,**,Turquoise
YBX3,Age,-0.49041920395976485,0.005096222565273664,0.03822166923955248,*,Turquoise
RRM2B,Age,-0.5972470646073795,3.893121361105349e-4,0.005005441749992592,**,Turquoise
ALKBH3,Age,-0.6876022249628895,1.9224509574560856e-5,0.0011534705744736513,**,Turquoise
RPS7,Age,-0.7548257789502563,9.287362908608915e-7,1.6717253235496048e-4,***,Turquoise
CLCC1,Age,-0.6062850582215469,3.0013632793374684e-4,0.004786683957470228,**,Turquoise
SNRNP70,Age,-0.6478740047224482,8.134958047246416e-5,0.0022375490857895167,**,Turquoise
ATP6V1E1,Age,-0.3734961525547653,0.038484823018293465,0.12828274339431156,,Turquoise
PIP4K2A,Age,-0.3485998679427049,0.05461347721103191,0.1621238019876675,,Turquoise
CUL2,Age,-0.37659786375534515,0.03677779651656202,0.1268517066261572,,Turquoise
ATP6V1H,Age,-0.6014078593560954,3.457049524839609e-4,0.004786683957470228,**,Turquoise
A2M,Age,-0.0394311658611963,0.8331969569382249,0.9050836889588386,,Pink
CAT,Age,0.1490346479966108,0.42361005308769617,0.5776500723923129,,Pink
HP,Age,0.46146611680652566,0.008973063108957801,0.057683977129014435,,Pink
BLVRB,Age,0.31782487418260036,0.08144645187061006,0.20943373338156873,,Pink
FABP5,Age,0.3127700173860551,0.08668521925005597,0.21671304812513992,,Pink
IGLC3,Age,0.13346132327814114,0.4741416531956606,0.6229598363154665,,Pink
KLHDC8B,Age,0.07741546720339086,0.6789177681374046,0.7717468098190757,,Pink
DEFA3,Age,0.38399218254303263,0.03295383909940492,0.12367322918947607,,Pink
SNCA,Age,0.1198379130413496,0.5207884537942615,0.6648363239926743,,Pink
CFH,Age,0.574719756700796,7.207616037051034e-4,0.00864913924446124,**,Pink
PPIA,Age,0.6630421703317425,4.808388968307001e-5,0.0017310200285905204,**,Pink
LXN,Age,-0.26706611153152643,0.14639387663715017,0.31453786874038964,,Pink
NME1,Age,0.35243841746895005,0.051827423979305544,0.15811756468262708,,Pink
SYNJ2,Age,0.010849073942846345,0.9538088723781931,0.9705746453055062,,Pink
