gene,freq
GDI1,0.488
GDI2,0.464
STAT5B,0.44
UQCRFS1,0.404
H6PD,0.32
TIMM8B,0.3
COX6A2,0.184
OTUB1,0.184
COX7A2L,0.176
RPL22,0.176
RPS21,0.176
RACK1,0.176
CAPN1,0.172
TPM3,0.164
TNNT1,0.164
RPS18,0.164
RPL23A,0.164
CSE1L,0.16
MVP,0.16
TNNC1,0.152
UQCRB,0.144
TNNI1,0.144
ADH5,0.136
ACTA1,0.128
MYPN,0.124
MRPL46,0.124
YWHAE,0.112
MRPL13,0.112
TPM2,0.108
CDS2,0.1
ACTN2,0.1
CAPRIN1,0.1
COX5B,0.096
NEXN,0.092
PEBP1,0.088
DYNLL1,0.088
ADSS1,0.088
RPSA,0.084
RPS3A,0.084
UTP15,0.08
NDUFA1,0.076
ACTN1,0.076
MT-CO1,0.072
MYOZ1,0.072
CRYBG3,0.068
NDUFA10,0.064
ARHGDIA,0.064
ACTB,0.064
UQCRH,0.06
DDX3X,0.056
PPP3CB,0.056
PSMB5,0.056
RPL10,0.048
TNNT3,0.048
CAMK2D,0.048
ACTN4,0.044
LRBA,0.044
TMOD4,0.044
PFN1,0.04
ATP5ME,0.04
DTD1,0.04
DES,0.036
RPL17,0.036
GPC1,0.036
MYL3,0.032
AKR1B1,0.032
RAB6A,0.032
SEC24C,0.032
FBLN2,0.032
TOM1L2,0.032
MYO18A,0.032
AKR1A1,0.028
ATP5PF,0.028
GALK1,0.028
ATP5F1E,0.028
CUL1,0.028
AGK,0.028
AAMDC,0.028
HEBP2,0.028
BCKDHA,0.024
JUP,0.024
RPS3,0.024
RPS5,0.024
NPEPPS,0.024
RPS20,0.024
OBSCN,0.024
NHLRC2,0.024
GLOD4,0.024
AHCY,0.02
DEK,0.02
EIF3B,0.02
CAP1,0.02
DDI2,0.02
MYOM3,0.02
DCUN1D1,0.02
SAR1B,0.02
SNAP29,0.016
HMGB1,0.016
TPM1,0.016
LIMS3,0.016
MYH7,0.016
CACNA2D1,0.016
RPS16,0.016
PRDX1,0.016
SPEG,0.016
RBBP7,0.016
DECR1,0.016
DENND5A,0.016
PYURF,0.016
CTSZ,0.016
MT-CO2,0.012
COX7C,0.012
TPP2,0.012
ARL3,0.012
CAPZA2,0.012
ACTR1A,0.012
GLO1,0.012
GPD1L,0.012
PPTC7,0.012
MAP1LC3B2,0.008
NUDT19,0.008
NDUFB3,0.008
DCTN3,0.008
ARIH2,0.008
ASMTL,0.008
SOD1,0.008
FH,0.008
PRDX6,0.008
BLVRB,0.008
YWHAB,0.008
ETFB,0.008
RPS19,0.008
RPL35,0.008
IDH2,0.008
TUFM,0.008
FXR1,0.008
RPS25,0.008
CYCS,0.008
EIF4G1,0.008
CACNG1,0.008
MYBPH,0.008
CAMK2G,0.008
MYLK,0.008
DDB1,0.008
FXN,0.008
MYOZ3,0.008
FGGY,0.008
PDXP,0.008
PHB2,0.008
HSD17B10,0.008
COQ7,0.008
COQ10B,0.008
PDHX,0.004
HAT1,0.004
XPO1,0.004
STX7,0.004
AKR7A2,0.004
NDUFS7,0.004
CS,0.004
ATP5PD,0.004
ATP5MG,0.004
NUDT3,0.004
CLPTM1,0.004
ADH1B,0.004
FN1,0.004
RPLP1,0.004
ATP5F1B,0.004
RPS17,0.004
GSTP1,0.004
IFIT2,0.004
COX4I1,0.004
RNH1,0.004
ETFA,0.004
COX7A2,0.004
CPA3,0.004
FAH,0.004
PSMC3,0.004
CSRP1,0.004
ME2,0.004
PSMA2,0.004
FKBP2,0.004
YWHAQ,0.004
ALDH4A1,0.004
RPL12,0.004
FBN1,0.004
LONP1,0.004
PGM1,0.004
PPP1R2,0.004
GARS1,0.004
ACAA2,0.004
CRAT,0.004
MAP2K4,0.004
NDUFA8,0.004
RIDA,0.004
CAPZA1,0.004
EIF3E,0.004
RPL37A,0.004
NPC2,0.004
PPP1CA,0.004
PPP1CB,0.004
RPS15A,0.004
PRKDC,0.004
RPL19,0.004
HSPG2,0.004
AUH,0.004
DCTN1,0.004
TRIP10,0.004
HAGH,0.004
TKFC,0.004
TTC38,0.004
IBA57,0.004
RCSD1,0.004
TRMT10C,0.004
ISCA2,0.004
SLC25A42,0.004
EHBP1L1,0.004
ATPAF2,0.004
FAM98A,0.004
DEPTOR,0.004
TFG,0.004
CUL5,0.004
RPL36AL,0.004
OPTN,0.004
DNAJA3,0.004
BTF3L4,0.004
COQ10A,0.004
MCEE,0.004
PEBP4,0.004
PARK7,0.004
TXN2,0.004
ACO2,0.004
TACO1,0.004
MRPL9,0.004
UBE2Z,0.004
SYNPO2L,0.004
L2HGDH,0.004
CARS2,0.004
CZIB,0.004
NDUFA13,0.004
IMPACT,0.004
EPDR1,0.004
UBQLN1,0.004
FNDC3A,0.004
SH3GLB1,0.004
LUC7L2,0.004
