gene,loading,wgcna_module,fcm_cluster,stable,fc_young_vs_old
GDI2,-0.5412212601350446,yellow,C1,FALSE,-0.048651829603048924
GDI1,-0.5238769526633195,grey,C4,FALSE,-0.28984093672426425
UQCRFS1,0.4470441398232493,green,C3,FALSE,0.07292314633383157
STAT5B,-0.34050816447241516,grey,C4,FALSE,-0.16880623848502196
H6PD,-0.24484532514738078,brown,C4,FALSE,-0.44861544006576537
TIMM8B,0.22175246018498568,green,C3,FALSE,-0.003350747723896319
COX7A2L,0.0626569701069252,green,C3,FALSE,0.2524699282097558
COX6A2,0.045194982720254254,green,C3,FALSE,0.7750474908334155
ARHGDIA,-0.04178326591258026,black,C4,FALSE,-0.2830079770822458
ADH5,-7.088739947260158e-4,turquoise,C4,FALSE,0.020639324130986125
