subject,comp1_X,comp1_Y,age
Y_S01,-0.39886873118568267,-3.679059864235982,Young
Y_S07,0.7965450928793234,3.2558175958610605,Young
Y_S10,-1.7698664754178566,-1.9932906886376245,Young
Y_S11,1.655098161950372,0.8876029029071818,Young
Y_S16,0.2504672420471426,-2.3650881166503233,Young
Y_S28,0.7858061893670846,0.22409357220296647,Young
Y_S30,1.0572891714859467,4.135159045340915,Young
Y_S31,4.184930845280711,6.911902174368695,Young
Y_S32,0.008121620669852316,5.960389840137142,Young
Y_S34,2.01985084193645,4.222051328442738,Young
Y_S35,-0.40499736140186093,-0.38805060842899863,Young
Y_S36,-0.7388555132765751,-2.3198755921033216,Young
Y_S40,0.8038635184854959,0.6343364978464903,Young
YP_S14,2.038655523992488,5.4843520346940196,Young
YP_S45,-2.1543475063313573,-1.981502433792629,Young
YP_S56,1.627783632834887,8.159124290125598,Young
O_S05,-3.4659196253688203,-6.842790392059575,Old
O_S06,2.6511941040208353,4.0643920940910565,Old
O_S07,-4.447293048025557,-9.50680213800411,Old
O_S10,-2.422650353297048,-1.8114290079580844,Old
O_S16,-0.5321180497685162,-1.8705115664777523,Old
O_S17,-1.3200570244158736,-2.0843105651766005,Old
O_S24,-2.4474169758797384,-4.401271125795276,Old
O_S28,-0.07948447081193856,-1.421380846413139,Old
O_S29,1.3405121210084252,0.16758918800946473,Old
O_S32,2.1740853298095373,0.8189185305406486,Old
O_S35,1.1541700941126023,2.6499297247447244,Old
OP_S06,-2.5505663723514087,-2.3455710792452007,Old
OP_S11,-0.8343783452902986,-3.10241021004646,Old
OP_S12,-2.0517731217575466,-2.2583558978513305,Old
OP_S17,3.070219484698927,0.7960413135637078,Old
