gene,trait,cor,ci_lo,ci_hi,pval,padj,stars,module
CMPK1,Age,-0.23700059641106125,-0.5455279250146303,0.12809695452724917,0.1992404328948012,0.4134196812693939,,Turquoise
MYOF,Age,-0.6273123100531866,-0.8031309426721971,-0.35099118419662634,1.587911218054012e-4,0.003512902407044697,**,Turquoise
OSBPL11,Age,-0.5328833077282277,-0.7463047251937074,-0.22010356983196364,0.002025993463732975,0.018233941173596776,*,Turquoise
VPS13A,Age,-0.5471972175880896,-0.7551234800430063,-0.23924531066855426,0.0014440693418984376,0.01529014597304228,*,Turquoise
ASPSCR1,Age,-0.6232045281362775,-0.8007237345739376,-0.3450635351842046,1.8047016369054624e-4,0.003512902407044697,**,Turquoise
YBX3,Age,-0.49041920395976485,-0.7196943027813937,-0.16469982987351076,0.005096222565273664,0.04368190770234569,*,Turquoise
RRM2B,Age,-0.5972470646073795,-0.7853786112850429,-0.30811232324842863,3.893121361105349e-4,0.005005441749992592,**,Turquoise
ALKBH3,Age,-0.6876022249628895,-0.8378132818554664,-0.44061601924480553,1.9224509574560856e-5,0.0011534705744736513,**,Turquoise
RPS7,Age,-0.7548257789502563,-0.8751057022869466,-0.5467120209018468,9.287362908608915e-7,1.6717253235496048e-4,***,Turquoise
CLCC1,Age,-0.6062850582215469,-0.7907479172383629,-0.32087993401635057,3.0013632793374684e-4,0.004786683957470228,**,Turquoise
SNRNP70,Age,-0.6478740047224482,-0.8150946725516286,-0.3809989597293899,8.134958047246416e-5,0.0022375490857895167,**,Turquoise
ATP6V1E1,Age,-0.3734961525547653,-0.6427691945531522,-0.02207792892032681,0.038484823018293465,0.16895775959250792,,Turquoise
PIP4K2A,Age,-0.3485998679427049,-0.6256570079171472,0.0065492322228538225,0.05461347721103191,0.1974087532310159,,Turquoise
CUL2,Age,-0.37659786375534515,-0.6448824611932628,-0.025685284035199995,0.03677779651656202,0.16810546656695213,,Turquoise
ATP6V1H,Age,-0.6014078593560954,-0.7878539844015535,-0.31397720213733166,3.457049524839609e-4,0.004786683957470228,**,Turquoise
A2M,Age,-0.0394311658611963,-0.3883453079998974,0.3193712228127438,0.8331969569382249,0.878773116605384,,Pink
CAT,Age,0.1490346479966108,-0.21675191396665167,0.47812546186276206,0.42361005308769617,0.6051572186967088,,Pink
HP,Age,0.46146611680652566,0.1280669943370293,0.7011560350968433,0.008973063108957801,0.06729797331718351,,Pink
BLVRB,Age,0.31782487418260036,-0.0411494147750988,0.6041291181926393,0.08144645187061006,0.24848070062220018,,Pink
FABP5,Age,0.3127700173860551,-0.04675142057079162,0.6005527035400534,0.08668521925005597,0.2600556577501679,,Pink
IGLC3,Age,0.13346132327814114,-0.23184280546562755,0.4657746340737628,0.4741416531956606,0.6321888709275474,,Pink
KLHDC8B,Age,0.07741546720339086,-0.28473534347007406,0.4202281384389657,0.6789177681374046,0.7543530757082273,,Pink
DEFA3,Age,0.38399218254303263,0.034322052825574996,0.6499038865886814,0.03295383909940492,0.160315973997105,,Pink
SNCA,Age,0.1198379130413496,-0.2449015547403964,0.45486301179237065,0.5207884537942615,0.6648363239926743,,Pink
CFH,Age,0.574719756700796,0.2767358622427338,0.7718711897998264,7.207616037051034e-4,0.00864913924446124,**,Pink
PPIA,Age,0.6630421703317425,0.4035017329995873,0.8238297231621824,4.808388968307001e-5,0.0017310200285905204,**,Pink
LXN,Age,-0.26706611153152643,-0.5676849355031762,0.09639619612439662,0.14639387663715017,0.34221945187905234,,Pink
NME1,Age,0.35243841746895005,-0.0021730837930751617,0.6283128935911687,0.051827423979305544,0.1974087532310159,,Pink
SYNJ2,Age,0.010849073942846345,-0.34481661139319647,0.36379068705407674,0.9538088723781931,0.9754863467504248,,Pink
CA2,Age,0.4078724866240947,0.06257623355159413,0.6659637984154736,0.022745306576830434,0.13206952205901543,,Pink
NACA,Age,-0.6206637160045763,-0.7992319136586664,-0.34140814215203824,1.951612448358165e-4,0.003512902407044697,**,Brown
EIF2B1,Age,-0.7098338086390766,-0.850303407386215,-0.47495580662723935,7.747380684919808e-6,6.972642616427827e-4,***,Brown
S100A16,Age,-0.5396065112785942,-0.7504562225551666,-0.2290644926903321,0.0017313021453067964,0.01687820117666481,*,Brown
MOB4,Age,-0.33541180581057634,-0.616483006946455,0.021481372133106302,0.06509637221611402,0.21698790738704674,,Brown
KPNB1,Age,-0.6640127934269303,-0.8243860984074014,-0.4049524718001364,4.644637139261449e-5,0.0017310200285905204,**,Brown
TNPO1,Age,-0.4103286796562714,-0.6676021718780782,-0.06551403235629803,0.021862587254245617,0.1311755235254737,,Brown
S100A6,Age,-0.2609715763180914,-0.5632284416861452,0.10288235244157727,0.1561826166001428,0.3604214229234064,,Brown
PSMD14,Age,-0.645870226992257,-0.8139350223200902,-0.37804970604517285,8.701579778070342e-5,0.0022375490857895167,**,Brown
DCTN6,Age,-0.6024525901035397,-0.7884745791656806,-0.31545326355061604,3.354590765687479e-4,0.004786683957470228,**,Brown
SPAG9,Age,-0.5671975817875328,-0.7673208899768436,-0.2663984515705154,8.767730941908618e-4,0.009863697309647194,**,Brown
PSMD13,Age,-0.5383921444999433,-0.7497075948883748,-0.22744203756799855,0.0017815879019812855,0.01687820117666481,*,Brown
FAM120A,Age,-0.417043589316277,-0.6720685884333438,-0.07357621484651097,0.01959235986402294,0.12160775088014239,,Brown
USP5,Age,-0.1565395364864887,-0.4840312933320715,0.20941655048751195,0.4003697751542846,0.6005546627314269,,Brown
REEP5,Age,-0.2991886069003901,-0.5908862053137003,0.06169173285185097,0.10203724398628229,0.27009858702251194,,Brown
GCN1,Age,-0.2870509265430843,-0.5821758138025388,0.07490840094534353,0.11741630349852523,0.289519652462117,,Brown
CMPK1,Baseline VL,0.03460720234219995,-0.3237023893797006,0.38423554918554326,0.8533689427647496,0.8878983219517625,,Turquoise
MYOF,Baseline VL,0.22499365660106088,-0.14055185893437316,0.536557144835118,0.22363854232312091,0.4454037439496962,,Turquoise
OSBPL11,Baseline VL,0.038937867519841365,-0.3198148169136699,0.38792568033664326,0.8352551984775771,0.878773116605384,,Turquoise
VPS13A,Baseline VL,0.04757264944883195,-0.3120272826078873,0.3952500789456506,0.7993933668010288,0.8514248877170721,,Turquoise
ASPSCR1,Baseline VL,0.1775112712201087,-0.18869782185950434,0.5003779365714367,0.3394047640655844,0.5553896139255018,,Turquoise
YBX3,Baseline VL,0.20317993989141475,-0.16288721300973924,0.5200772033227232,0.27296758952034916,0.4913416611366285,,Turquoise
RRM2B,Baseline VL,0.34815757143736104,-0.00705260100148183,0.6253505705192405,0.05494195511804287,0.1974087532310159,,Turquoise
ALKBH3,Baseline VL,0.3034668668732798,-0.05700279080935942,0.5939402978783104,0.09699538928936365,0.26453287988008267,,Turquoise
RPS7,Baseline VL,0.2102385729024634,-0.1557006138591604,0.5254358445375,0.2562915717116643,0.4805466969593705,,Turquoise
CLCC1,Baseline VL,0.11275836523476178,-0.25163581655732553,0.44915267416893906,0.5458810551167543,0.6823513188959429,,Turquoise
SNRNP70,Baseline VL,0.21569266272064688,-0.15012098875536098,0.5295593239409251,0.24387531531104084,0.46914229015571357,,Turquoise
ATP6V1E1,Baseline VL,0.009442939770037889,-0.34605508472223995,0.36256989628171693,0.9597904825798894,0.9760581178778536,,Turquoise
PIP4K2A,Baseline VL,0.11155739090698473,-0.2527747266847135,0.44818123841869506,0.5501933520622252,0.6829986439393141,,Turquoise
CUL2,Baseline VL,0.08050790570469789,-0.28187326378294325,0.42278710143899795,0.6668111398718144,0.7501625323557912,,Turquoise
ATP6V1H,Baseline VL,0.16178133517489057,-0.20426860889087475,0.4881386078409464,0.3845777915613261,0.5866440888223619,,Turquoise
A2M,Baseline VL,-0.10050220272402689,-0.43920149539702946,0.2632113913756919,0.5906166790410148,0.7065133646687953,,Pink
CAT,Baseline VL,-0.1382322288271748,-0.46957213074043636,0.22723830131664285,0.45833708973704146,0.6203058357343418,,Pink
HP,Baseline VL,-0.2465898207813583,-0.5526419308890843,0.11806656170869895,0.18112709350248535,0.3929139204540382,,Pink
BLVRB,Baseline VL,-0.10470199848938071,-0.44262083293402665,0.25925657094999355,0.5751081778468166,0.7042140953226326,,Pink
FABP5,Baseline VL,0.09427836758744898,-0.2690497932935369,0.4341161397332271,0.6139278709613321,0.7175780309937647,,Pink
IGLC3,Baseline VL,-0.16389157721546654,-0.48978805831744343,0.20219041994064887,0.3783236426005785,0.5826666175531273,,Pink
KLHDC8B,Baseline VL,-0.16547885424927608,-0.49102720272687994,0.20062507692949505,0.37365875593069775,0.5826666175531273,,Pink
DEFA3,Baseline VL,-0.03786949463843648,-0.3870163652707347,0.3207750027673189,0.8397165336451446,0.878773116605384,,Pink
SNCA,Baseline VL,-0.23760883484921802,-0.5459804863778074,0.1274629438528258,0.19805563523980557,0.4134196812693939,,Pink
CFH,Baseline VL,-0.11406364625294675,-0.4502075795858652,0.25039684454870187,0.541212309038474,0.6812462631253519,,Pink
PPIA,Baseline VL,0.012432779067963843,-0.3434202555455614,0.36516419277669054,0.9470748519175033,0.9741341334008604,,Pink
LXN,Baseline VL,0.13411567975934832,-0.2312122390241137,0.4662962073343011,0.4719573341284954,0.6321888709275474,,Pink
NME1,Baseline VL,-0.18589992922356108,-0.5068527448441774,0.18031806687669805,0.316693675677725,0.5229803818531239,,Pink
SYNJ2,Baseline VL,-0.23670422532849394,-0.5453073441395949,0.128405775334655,0.19981951261354036,0.4134196812693939,,Pink
CA2,Baseline VL,-0.3077979145332385,-0.5970235693148894,0.052239740478893196,0.0920858045036493,0.26453287988008267,,Pink
NACA,Baseline VL,0.09213538449309604,-0.2710539035170439,0.4323601294399582,0.6220422556986251,0.7177410642676444,,Brown
EIF2B1,Baseline VL,-0.0010738159491921829,-0.3552787536630911,0.3534007715404742,0.9954257122581551,0.9968953287233415,,Brown
S100A16,Baseline VL,-0.09834722422875061,-0.4374431640912841,0.2652359349162714,0.5986443880977916,0.7082266662108739,,Brown
MOB4,Baseline VL,-0.2080570598809598,-0.5237823897427455,0.15792581943134898,0.26137214453924545,0.48502047440272356,,Brown
KPNB1,Baseline VL,0.15234891552013408,-0.21351759583940322,0.4807372370558274,0.4132560162807417,0.6028448802653552,,Brown
TNPO1,Baseline VL,-0.15986218030394694,-0.4866364918466402,0.20615575260935665,0.39031726400790534,0.5903958615245627,,Brown
S100A6,Baseline VL,-0.18846123394800637,-0.5088225043777326,0.17774884278295416,0.309952224912181,0.5165870415203017,,Brown
PSMD14,Baseline VL,0.09745208676642753,-0.26607595076011614,0.43671202336956494,0.6019926662792429,0.7082266662108739,,Brown
DCTN6,Baseline VL,0.10022254823181269,-0.26347430015782264,0.4389734607772752,0.5916557920367419,0.7065133646687953,,Brown
SPAG9,Baseline VL,-0.1945359087421548,-0.51348083102453,0.1716353586092412,0.2943253800851584,0.5079815793228777,,Brown
PSMD13,Baseline VL,0.04975619274350367,-0.3100503047885966,0.39709527853374155,0.7903848316644015,0.8468408910690016,,Brown
FAM120A,Baseline VL,-0.24877163133217306,-0.5542543572832391,0.11577393418414571,0.17717305560092508,0.3929139204540382,,Brown
USP5,Baseline VL,-0.06728496657424507,-0.4118068842714959,0.29406621023669033,0.7191164998587457,0.7941163802121118,,Brown
REEP5,Baseline VL,-0.11522424711472656,-0.45114476959792005,0.24929419931848928,0.5370769903396508,0.6808018187404025,,Brown
GCN1,Baseline VL,-0.08593650509803474,-0.42726605258258876,0.2768333998573373,0.6457576621786594,0.7379212116274851,,Brown
CMPK1,Delta VL,0.4383538173367044,0.09272883153171714,0.6897016401258121,0.015392992338391356,0.09895495074680158,,Turquoise
MYOF,Delta VL,0.25151086624390145,-0.11959505889074883,0.5609513737365474,0.18001269448247134,0.3929139204540382,,Turquoise
OSBPL11,Delta VL,0.2276494274964046,-0.1444683812745853,0.54335531891052,0.22632907455940357,0.4454037439496962,,Turquoise
VPS13A,Delta VL,0.24290644410064863,-0.12861839491472016,0.5546383160238604,0.19587489239552053,0.4134196812693939,,Turquoise
ASPSCR1,Delta VL,0.14866596120135034,-0.2235780504113077,0.483062468935431,0.43301142491684586,0.6089223162893145,,Turquoise
YBX3,Delta VL,0.2508616789223689,-0.12027799750534839,0.5604763174751776,0.18117697443158431,0.3929139204540382,,Turquoise
RRM2B,Delta VL,0.13415646437851583,-0.23759637182063795,0.4716306256397488,0.47969870364687583,0.6329883048664525,,Turquoise
ALKBH3,Delta VL,0.144001453314148,-0.22810151426296116,0.4793997561492043,0.4477424404462489,0.6105578733357939,,Turquoise
RPS7,Delta VL,0.15820362232570356,-0.21427860114134153,0.49051547585950417,0.4037321234212524,0.6005932414531028,,Turquoise
CLCC1,Delta VL,0.14416682656342333,-0.22794141571120716,0.47952981232151,0.44721561707661384,0.6105578733357939,,Turquoise
SNRNP70,Delta VL,0.10247126967551429,-0.26767995947576767,0.4462655960754661,0.5900032097827154,0.7065133646687953,,Turquoise
ATP6V1E1,Delta VL,0.3273814220180691,-0.037285449740619044,0.6151021450697295,0.07739900461755243,0.2426393879592772,,Turquoise
PIP4K2A,Delta VL,0.3112137396271009,-0.05525017278642079,0.6037860304906343,0.09412634347894565,0.26453287988008267,,Turquoise
CUL2,Delta VL,0.3370637187891234,-0.026412922259905856,0.6218227179861902,0.06853909100971639,0.22030422110265985,,Turquoise
ATP6V1H,Delta VL,0.15378111120603188,-0.2185990684413178,0.4870656308099476,0.4171667267689534,0.6028448802653552,,Turquoise
A2M,Delta VL,0.3817807481691944,0.02494216738678057,0.6523264739049948,0.03735677034821158,0.16810546656695213,,Pink
CAT,Delta VL,0.35228197460933525,-0.009148319310337867,0.6323017633276264,0.05622915463161613,0.1974087532310159,,Pink
HP,Delta VL,0.004546438174364159,-0.3563063935377765,0.36421909111566064,0.9809771903695492,0.991999405991679,,Pink
BLVRB,Delta VL,-0.12661177792678688,-0.46564109542188076,0.24482497090153543,0.5049604373553624,0.6492348480283232,,Pink
FABP5,Delta VL,-0.22701978795455882,-0.5428872190198143,0.14511841473989912,0.22765080246317804,0.4454037439496962,,Pink
IGLC3,Delta VL,0.33889880437435654,-0.02434251264850805,0.6230917579268909,0.06695249478126948,0.21911725564779105,,Pink
KLHDC8B,Delta VL,0.38639032096283826,0.030345302220827812,0.6554218465428387,0.03493449636898453,0.16547919332676883,,Pink
DEFA3,Delta VL,-0.0610871514140931,-0.4122829253720212,0.305914584460059,0.748460053446576,0.8214805464657542,,Pink
SNCA,Delta VL,0.29511565877491275,-0.07290489124893991,0.5924002424874896,0.11337015061310564,0.28741728324449317,,Pink
CFH,Delta VL,0.1306113047160828,-0.2409981416379767,0.46882008870313097,0.4914870096757801,0.6364579981412979,,Pink
PPIA,Delta VL,-0.0869578582184186,-0.43364184502804065,0.2821506475745709,0.6477308413174592,0.7379212116274851,,Pink
LXN,Delta VL,0.1918435942008988,-0.18093071686745535,0.5164202540423403,0.3098224086071376,0.5165870415203017,,Pink
NME1,Delta VL,-0.2093969493904607,-0.5297055673978934,0.1631826545478181,0.26676302620645725,0.4899729052771664,,Pink
SYNJ2,Delta VL,0.20391364818299476,-0.1687527981685924,0.5255723245912239,0.27977287847662585,0.4937168443705162,,Pink
CA2,Delta VL,-0.15024862600198516,-0.48430257184506353,0.22203958974707882,0.4280741510701045,0.606719269233219,,Pink
NACA,Delta VL,0.30915574440989063,-0.05752001744770193,0.6023370843657558,0.09643808566913475,0.26453287988008267,,Brown
EIF2B1,Delta VL,0.3000857967661075,-0.06747865652915762,0.5959282202679695,0.10714063272844485,0.2755044841588582,,Brown
S100A16,Delta VL,0.3141626288668913,-0.051991110097366004,0.6058588525710105,0.09088736538506512,0.26453287988008267,,Brown
MOB4,Delta VL,0.3443262074802657,-0.018200830611354444,0.6268363021196974,0.06242684306453768,0.21201569342673177,,Brown
KPNB1,Delta VL,0.13153989124331059,-0.24010799505981814,0.46955691747141637,0.4883851542220645,0.6364579981412979,,Brown
TNPO1,Delta VL,0.21897493960243414,-0.15339565572893527,0.536889024001118,0.2449965293035393,0.46914229015571357,,Brown
S100A6,Delta VL,0.30541433673226875,-0.06163687682877106,0.5996979616297867,0.10075040968119167,0.27009858702251194,,Brown
PSMD14,Delta VL,0.17510849692119684,-0.197628347539152,0.5036070626083826,0.3546884107969681,0.5700349459236987,,Brown
DCTN6,Delta VL,0.1533002663249517,-0.21906794010167,0.48668991273866574,0.4186422779620522,0.6028448802653552,,Brown
SPAG9,Delta VL,0.14686878504551387,-0.22532278502687833,0.48165265634221144,0.43865544580054605,0.6105578733357939,,Brown
PSMD13,Delta VL,0.14481650585620973,-0.22731226355001366,0.4800406036482423,0.4451491874225266,0.6105578733357939,,Brown
FAM120A,Delta VL,0.19338836268842935,-0.17937849607883707,0.5175957208747841,0.30586823579262323,0.5165870415203017,,Brown
USP5,Delta VL,0.2920859571212336,-0.07620196645292766,0.5902440462204865,0.11729754255127056,0.289519652462117,,Brown
REEP5,Delta VL,0.16747041232019144,-0.20517811603276187,0.4977105499635698,0.3763899857072033,0.5826666175531273,,Brown
GCN1,Delta VL,0.2285024863888905,-0.1435871793016735,0.5439892049176179,0.22454661879490467,0.4454037439496962,,Brown
CMPK1,Delta LBM,-0.217164960063255,-0.5355350695051343,0.15525074742966752,0.24901663974673666,0.47182100162539575,,Turquoise
MYOF,Delta LBM,-0.15555825540215004,-0.4884531694398595,0.2168646824394565,0.4117384870991263,0.6028448802653552,,Turquoise
OSBPL11,Delta LBM,-0.47736974153924483,-0.7147202189730413,-0.14142260917716865,0.007640135564232844,0.05979236528530052,,Turquoise
VPS13A,Delta LBM,-0.44727969619541136,-0.6954787087696098,-0.10372480338989229,0.013204024195348395,0.09141247519856582,,Turquoise
ASPSCR1,Delta LBM,-0.40116689411338885,-0.6652839075243686,-0.04780714691414406,0.0280105238053239,0.14405412242738008,,Turquoise
YBX3,Delta LBM,-0.02180782802187884,-0.379098590795233,0.3411416384162551,0.9089331577307348,0.940275680411105,,Turquoise
RRM2B,Delta LBM,-0.4395250176161923,-0.6904615006859446,-0.09416686769857048,0.015089633467301413,0.09895495074680158,,Turquoise
ALKBH3,Delta LBM,-0.4011859895233048,-0.6652965926736949,-0.04782985304218909,0.02800236054936991,0.14405412242738008,,Turquoise
RPS7,Delta LBM,-0.05811725148839593,-0.4098060143523363,0.3086136802158185,0.7603256124237809,0.8253607865390092,,Turquoise
CLCC1,Delta LBM,-0.36366796453959155,-0.6400755312396302,-0.00391117814891579,0.04821314444468308,0.19285257777873233,,Turquoise
