gene,n_methods,tier
NDUFV2,2,moderate
NDUFS7,2,moderate
MAPT,2,moderate
KPNB1,3,high
NACA,3,high
MSN,2,moderate
TUBA4A,2,moderate
DCTN6,2,moderate
CLCC1,2,moderate
ASPSCR1,2,moderate
OSBPL11,2,moderate
ETFB,2,moderate
IDH2,2,moderate
CRAT,2,moderate
ETFA,2,moderate
ALDH5A1,2,moderate
HMGCL,2,moderate
TST,2,moderate
FH,2,moderate
RPL17,2,moderate
RPL23A,2,moderate
TPM1,2,moderate
TNNT3,2,moderate
TNNI2,2,moderate
MYOM1,2,moderate
TPM2,2,moderate
UTP15,2,moderate
TMOD4,2,moderate
ACTN4,2,moderate
ACTN1,2,moderate
DDI2,2,moderate
RPS27A,2,moderate
NDUFA11,2,moderate
LRMDA,2,moderate
SLC25A11,2,moderate
PSMD3,2,moderate
RPS3A,2,moderate
RPL22,2,moderate
COL4A1,2,moderate
COL3A1,2,moderate
FLNA,2,moderate
FLNC,2,moderate
FLNB,2,moderate
KLHL40,2,moderate
CAMK2D,2,moderate
NRAP,2,moderate
DYNC1H1,2,moderate
C3,2,moderate
CLU,2,moderate
CP,2,moderate
PSMD14,2,moderate
HNRNPR,2,moderate
EIF3G,2,moderate
CTSD,2,moderate
YBX3,2,moderate
NCL,2,moderate
TPSB2,2,moderate
RAB6A,2,moderate
CAPN3,2,moderate
ACAT1,2,moderate
HADHA,2,moderate
RPS10,2,moderate
EMD,2,moderate
PSMD7,2,moderate
HDGF,2,moderate
CSE1L,3,high
ACTR3,2,moderate
RPS7,2,moderate
RPS23,2,moderate
RPL38,2,moderate
RPL24,2,moderate
SF3B2,2,moderate
PPP1R3A,2,moderate
MICOS10,2,moderate
LMOD2,2,moderate
BZW1,2,moderate
MAVS,2,moderate
PREX1,2,moderate
SLC25A46,2,moderate
OTUB1,2,moderate
PYURF,2,moderate
MRPL9,2,moderate
MYOF,2,moderate
SH3GLB1,2,moderate
RNF114,2,moderate
MOB4,2,moderate
