gene,Limma Interaction,FCM Core,WGCNA Hubs,DIABLO
STXBP3,1,1,0,0
BIN1,1,1,0,0
PRMT5,1,1,0,1
SLC16A3,1,1,0,0
NDUFB5,1,1,0,0
NDUFB3,1,1,0,1
ACTN4,1,1,1,1
NDUFS5,1,1,0,0
NDUFS7,1,1,1,0
NDUFS2,1,1,0,0
CILP,1,1,0,0
ATP6V1G1,1,1,0,1
NDUFS6,1,1,0,0
SEC22B,1,1,0,0
NDUFS3,1,1,0,0
GLRX3,1,1,0,0
TOMM70,1,1,0,0
NDUFB6,1,1,0,1
NDUFA3,1,1,1,0
NDUFB4,1,1,0,1
NDUFB8,1,1,0,0
NDUFA7,1,1,1,0
NDUFC2,1,1,1,0
NDUFA10,1,1,0,0
TACC2,1,1,0,0
ARIH2,1,1,0,1
ACSL3,1,1,0,0
SNAP29,1,1,0,0
LSM8,1,1,0,0
DDAH2,1,1,0,0
NDUFB10,1,1,0,0
TOMM40,1,1,0,0
MT-CO1,1,1,0,0
MT-CO3,1,1,0,0
HLA-B,1,1,0,0
COL1A1,1,1,0,0
COL3A1,1,1,1,0
COL4A1,1,1,1,0
LMNA,1,1,0,0
LRG1,1,1,0,0
FTH1,1,1,0,0
MT-ND1,1,1,0,0
MT-ND2,1,1,0,0
MYL1,1,1,0,0
TPM3,1,1,0,1
H1-0,1,1,0,0
CA3,1,1,0,0
EPRS1,1,1,0,0
COL1A2,1,1,1,0
CTSG,1,1,0,0
COL4A2,1,1,1,0
MYL3,1,1,0,0
NFIC,1,1,0,0
SNRPA,1,1,0,0
CLTB,1,1,0,0
COX6C,1,1,0,0
PARP1,1,1,0,0
UCHL1,1,1,0,0
COX5B,1,1,0,0
MYL2,1,1,0,0
LAMC1,1,1,1,0
COL6A1,1,1,0,0
MYH7,1,1,0,0
VCAN,1,1,0,0
COX7A2,1,1,0,0
NID1,1,1,1,0
COX6B1,1,1,0,0
HNRNPL,1,1,0,0
DARS1,1,1,0,0
EZR,1,1,0,0
RPA2,1,1,0,1
TMEM11,1,1,0,0
NDUFB7,1,1,0,0
FLT1,1,1,0,0
NDUFV2,1,1,1,1
RAB6A,1,1,0,0
COX5A,1,1,1,0
TGM2,1,1,0,1
HRC,1,1,0,1
AHCY,1,1,0,0
COX7B,1,1,0,0
ACP1,1,1,0,1
MPST,1,1,0,0
RPS12,1,1,0,0
MSN,1,1,1,0
S100A4,1,1,0,0
VARS1,1,1,1,1
NDUFS1,1,1,1,0
EEF1D,1,1,0,0
ALDH1B1,1,1,0,0
HNRNPH1,1,1,0,0
RPL22,1,1,1,0
ACTN2,1,1,0,0
RPL3,1,1,0,0
COL15A1,1,1,0,1
