quadrant,gene
UU,DYNC1H1
UU,MSN
UU,VARS1
UU,GLRX3
UU,ALDH1B1
UU,CCT6A
UU,RPS11
UU,S100A13
UU,S100A4
UU,FARSB
UU,PSME1
UU,DYNC1LI1
UU,DYNC1I2
UU,DYNLT1
UU,CCT5
UU,USP9X
UU,CCT8
UU,CBR1
UU,DCTN2
UU,FSCN1
UU,PRKAG1
UU,CAPN2
UU,EZR
UU,S100A6
UU,PSME2
UU,EEF1G
UU,EEF1D
UU,CARNS1
UU,CALU
UU,HSPB6
UU,NACA
UU,TUBB6
UU,HPRT1
UU,TUBB
UU,GBE1
UU,RAB6A
UU,TUBB2A
UU,USP5
UU,S100A11
UU,DCTN1
UU,DDX1
UU,HSPB1
UU,MAPT
UU,CCT7
UU,YBX1
UU,HSPB7
UU,NME2
UU,TARS1
UU,EHBP1L1
UU,TUBA1B
UU,SERPINH1
UU,ACTR2
UU,DYSF
UU,RTCB
UU,PADI2
UU,JPT2
UU,LGALS3
UU,BCAP31
UU,CCT4
UU,GLUD1
UU,PDIA3
UU,TXNDC5
UU,MARCKS
UU,TPM4
UU,CCT2
UU,TCP1
UU,PLIN3
UU,GSN
UU,ANXA1
UU,BOLA2
UU,FLNA
UU,FLNC
UU,CCT3
UU,ABCE1
UU,ME2
UU,AHCYL1
UU,YWHAH
UU,CAMK2D
UU,CLTC
UU,DNAJA2
UU,GART
UU,SLC25A3
UU,PSMD11
UU,PPP1R14B
UU,HSP90B1
UU,HYOU1
UU,RPS6
UU,ARHGAP1
UU,LAP3
UU,CSRP3
UU,KPNA1
UU,CLIC1
UU,ATP1A1
UU,SEC23IP
UU,AKR1C1
UU,AP2M1
UU,ATIC
UU,UNC45B
UU,VCL
UU,ANXA2
UU,PSMC2
UU,KIF5B
UU,HSPB2
UU,ANKRD2
UU,QARS1
UU,PRKDC
UU,TMEM43
UU,ACTR1A
UU,BLVRA
UU,APMAP
UU,SSBP1
UU,CAPNS1
UU,HSP90AB1
UU,FLNB
UU,MTDH
UU,CRYAB
UU,F13A1
UU,SEC23A
UU,PRDX3
UU,PSMC1
UU,DNAJA4
UU,PHKG1
UU,SEPTIN7
UU,MYBPH
UU,GYS1
UU,EEF1B2
UU,CANX
UU,HUWE1
UU,KPNA4
UU,IDH3B
UU,SARS1
UU,DHRS7
UU,IGHG2
UU,RPS2
UU,IGHG1
UU,KLHL41
UU,VAT1
UU,SMPX
UU,HSPA5
UU,TUFM
UU,EIF2B1
UU,ARPC1B
UU,GSR
UU,AHCYL2
UU,SLC16A1
UU,PSMC4
UU,ARPC4
UU,ANXA4
UU,TIPRL
UU,NME1
UU,IDH3G
UU,ACY1
UU,SPTAN1
UU,IDH3A
UU,PSMA7
UU,IQGAP1
UU,HSPB3
UU,NAGK
UU,SAMHD1
UU,PSMC6
UU,PHKA1
UU,FHL1
UU,ERAP1
UU,CALM1
UU,TNPO1
UU,AP2A1
UU,PRDX5
UU,CD99
UU,APOL2
UU,ACTR3
UU,PAK2
UU,PSMD9
UU,IGKC
UU,EIF2S1
UU,TMEM63A
UU,SPTBN1
UU,ETF1
UU,GAPDH
UU,TFG
UU,AP1B1
UU,IGLC3
UU,CSNK2B
UU,CCDC124
UU,HK1
UU,ERO1A
UU,GLIPR2
DD,EIF4B
DD,PEPD
DD,PAFAH2
DD,PARK7
DD,GSS
DD,FABP4
DD,PANK4
DD,HSPA1A
DD,MPC1
DD,GCSH
DD,GSTP1
DD,RTN4
DD,CYB5R1
DD,ADRM1
DD,RCSD1
DD,IFIT2
DD,FBP1
DD,FDX1
DD,KARS1
DD,ROMO1
DD,CKM
DD,RAD23A
DD,CDC42
DD,CUL4A
DD,PYGB
DD,ST13
DD,PIN4
DD,AZGP1
DD,SAR1A
DD,MMAB
DD,JCHAIN
DD,RNH1
DD,RAB12
DD,TNMD
DD,RNF123
