pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,ID,p.adjust,GeneRatio,geneID
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,7.445339216403357e-11,1.6201058134893705e-7,1.8794037940379404,73,126,,GO:BP,3.352438590245639,Reversed (Aging Up / Training Down),Small Molecule Catabolic Process,GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,1.6201058134893705e-7,73/656,AASDHPPT/ACAA1/ACAA2/ACADS/ACADSB/ACADVL/ACAT1/ACSS1/ACSS2/ADH5/ADHFE1/ADIPOQ/AKR1A1/ALDH1L1/ALDH2/ALDH4A1/ALDH5A1/ALDH6A1/APOE/BCAT2/BCL2L13/CPT1B/CPT2/CRAT/DBT/DCXR/DLD/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FAH/GALK1/GCDH/GCSH/GLUL/GNPDA1/GOT1/GPD2/GPT/GPT2/GSK3A/HADH/HADHA/HADHB/HAGH/HSD17B10/HSD17B4/IVD/LDHD/MCCC1/MCCC2/MCEE/MLYCD/MPST/MTAP/NUDT3/OXCT1/PARK7/PCCA/PDXP/PGAM2/PGM1/PLIN5/RIDA/SHMT1/SULT1A1/TIGAR/TKFC/TST
GOBP_LIPID_OXIDATION,1.8935055773109253e-8,1.3734227120761913e-5,2.454845088991431,28,37,,GO:BP,7.247699929228592,Reversed (Aging Up / Training Down),Lipid Oxidation,GOBP_LIPID_OXIDATION,1.3734227120761913e-5,28/656,ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADH5/ADIPOQ/APOD/CPT1B/CPT2/CRAT/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/GCDH/HADH/HADHA/HADHB/HSD17B10/HSD17B4/IVD/MLYCD/PLIN5
GOBP_LIPID_CATABOLIC_PROCESS,3.2990140355266825e-8,1.6416688212551594e-5,2.1085365853658535,39,60,,GO:BP,4.3674461680944665,Reversed (Aging Up / Training Down),Lipid Catabolic Process,GOBP_LIPID_CATABOLIC_PROCESS,1.6416688212551594e-5,39/656,ABHD16A/ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADIPOQ/APOC2/APOE/ASAH1/BCO2/CPT1B/CPT2/CRAT/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/GCDH/HADH/HADHA/HADHB/HSD17B10/HSD17B4/IAH1/IDH1/IVD/MCEE/MLYCD/OXCT1/PAFAH1B3/PCCA/PLIN5/PRDX6/RAB7A/SCARB2
GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,2.684527753564402e-7,8.345046273937341e-5,2.1861081654294807,31,46,,GO:BP,4.8178133333333335,Reversed (Aging Up / Training Down),Monocarboxylic Acid Catabolic Process,GOBP_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS,8.345046273937341e-5,31/656,ACAA1/ACAA2/ACADS/ACADVL/ACAT1/ADIPOQ/AKR1A1/CPT1B/CPT2/CRAT/DCXR/ECH1/ECHDC2/ECI1/ECI2/ETFA/ETFB/ETFDH/FAH/GCDH/HADH/HADHA/HADHB/HSD17B10/HSD17B4/IVD/LDHD/MCEE/MLYCD/PCCA/PLIN5
WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES,1.357469287236704e-6,3.282059076696742e-4,1.8246951219512197,45,80,,WikiPathways,3.0238484919335984,Reversed (Aging Up / Training Down),Fatty Acid And Lipoprotein Transport In He...,WP_FATTY_ACID_AND_LIPOPROTEIN_TRANSPORT_IN_HEPATOCYTES,3.282059076696742e-4,45/656,ACAA1/ACAA2/ACADS/ACAT1/ACSL1/ADIPOQ/APOC2/APOE/APOO/CDC42/CPT1B/CPT2/CYB5R3/DBI/DNM1L/DNM2/ECH1/ECHDC2/ECI1/ECI2/EHD1/EHD2/FABP3/FABP4/FDPS/HADH/HADHA/HADHB/HSD17B10/HSD17B4/IDI1/LSS/NPC2/OCIAD1/PICALM/RAB1A/RAB5B/RAB7A/SCARB2/SLC27A1/SNX5/TFRC/TOM1/TRIP10/VDAC1
GOBP_FATTY_ACID_METABOLIC_PROCESS,3.481368176738418e-6,7.575457152582797e-4,1.6843339587242028,54,104,,GO:BP,2.5510963455149502,Reversed (Aging Up / Training Down),Fatty Acid Metabolic Process,GOBP_FATTY_ACID_METABOLIC_PROCESS,7.575457152582797e-4,54/656,ACAA1/ACAA2/ACAD9/ACADS/ACADSB/ACADVL/ACAT1/ACOT2/ACSF2/ACSL1/ACSS1/ACSS2/ADH5/ADIPOQ/AKR1B1/ALDH3A2/APOC2/ASAH1/C3/CBR4/CPT1B/CPT2/CRAT/DBI/ECH1/ECHDC2/ECHDC3/ECI1/ECI2/ETFA/ETFB/ETFDH/FABP3/FABP5/GCDH/GPX1/GSTP1/HADH/HADHA/HADHB/HSD17B10/HSD17B4/HSD17B8/IVD/MCEE/MECR/MLYCD/PCCA/PDK1/PLAA/PLIN5/PTGES3/SLC27A1/UBR4
HALLMARK_ADIPOGENESIS,5.084060541055543e-6,0.0010057196124851693,1.6514412416851443,56,110,,Hallmark,2.4508641975308643,Reversed (Aging Up / Training Down),Adipogenesis,HALLMARK_ADIPOGENESIS,0.0010057196124851693,56/656,ACAA2/ACADS/ACO2/ADIPOQ/AK2/ALDH2/ALDOA/APOE/ARAF/BCL2L13/C3/CAT/CAVIN1/CAVIN2/CMBL/COQ3/COQ5/COQ9/COX7B/CPT2/CRAT/CS/DBT/DLD/ECH1/ETFB/FABP4/FAH/GPD2/GPHN/GPX3/GRPEL1/HADH/IDH1/IMMT/ITGA7/MCCC1/NDUFA5/NDUFB7/NDUFS3/ORM1/PGM1/PLIN2/PPM1B/PREB/SAMM50/SDHB/SLC27A1/SOD1/STOM/SUCLG1/SULT1A1/TALDO1/TST/UBQLN1/YWHAG
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,8.504779333746038e-6,0.001423569217710106,1.986062717770035,30,49,,Reactome,3.6648730452328904,Reversed (Aging Up / Training Down),Metabolism Of Vitamins And Cofactors,REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,0.001423569217710106,30/656,AASDHPPT/ACO1/ALDH1L1/APOC2/APOE/BCO2/COQ3/COQ5/COQ6/COQ7/COQ8A/COQ9/CYB5A/CYB5R3/GPC1/GPHN/GSTO1/IDH1/MCCC1/MCCC2/MTHFD1/NADK2/NAXD/NAXE/PANK4/PCCA/PNPO/RBP4/SHMT1/SPR
HALLMARK_XENOBIOTIC_METABOLISM,8.274290720494034e-6,0.001423569217710106,1.9015979814970563,34,58,,Hallmark,3.297963558413719,Reversed (Aging Up / Training Down),Xenobiotic Metabolism,HALLMARK_XENOBIOTIC_METABOLISM,0.001423569217710106,34/656,ACO2/ADH5/AHCY/ALDH2/ALDH9A1/APOE/ATP2A2/BLVRB/CA2/CAT/CNDP2/CYB5A/DCXR/DDAH2/ECH1/EPHA2/ETFDH/FAH/FBLN1/FBP1/GSS/GSTO1/IDH1/KARS1/LONP1/MAOA/MCCC2/MT2A/MTHFD1/PGD/PGRMC1/PTGES3/RBP4/TKFC
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,2.1212175778681825e-5,0.0032969781781722607,1.7246063599876504,42,79,,GO:BP,2.6529624086627344,Reversed (Aging Up / Training Down),Sulfur Compound Metabolic Process,GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,0.0032969781781722607,42/656,ABHD14B/ACAT1/ACOT2/ACSF2/ACSL1/ACSS1/ACSS2/AHCY/AKR1A1/ARL6IP5/BPNT1/CBR4/DLD/GCDH/GLO1/GPC1/GPX1/GSS/GSTO1/GSTP1/HAGH/HSD17B4/IDH1/MAT2B/MCCC1/MCCC2/MCEE/MLYCD/MPST/MTHFD1/OGDH/OPLAH/PANK4/PDK1/SOD1/SOD2/STAT5B/SUCLG1/SUCLG2/SULT1A1/SUOX/TST
