gene,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,pi_score_Reversal,significance,quadrant,imputed
HSPH1,-1.4757,0.3686,0.149943,0.8813,0.145508,NS,Reversed (Aging Down / Training Up),TRUE
TMEM14C,-0.7661,-0.5542,0.282929,0.606819,0.965426,NS,Exacerbated Down,TRUE
S100A16,-0.7486,0.4431,0.206639,0.445182,0.051742,NS,Reversed (Aging Down / Training Up),TRUE
MYOZ2,-0.689,-0.414,0.351861,0.697585,0.929151,NS,Exacerbated Down,TRUE
MYOZ3,-0.7279,0.3697,0.133549,0.74619,0.111072,NS,Reversed (Aging Down / Training Up),TRUE
ZNF33A,-0.8526,-0.2382,0.101224,0.867326,0.569427,NS,Exacerbated Down,FALSE
TXNDC12,0.4378,-0.589,0.657865,0.231385,0.117862,NS,Reversed (Aging Up / Training Down),TRUE
NECTIN1,0.6703,-0.3402,0.421235,0.796194,0.306457,NS,Reversed (Aging Up / Training Down),TRUE
S100A6,-0.4647,0.5317,0.49142,0.283079,0.090067,NS,Reversed (Aging Down / Training Up),TRUE
UBAP2L,-0.5474,0.4472,0.257815,0.353524,0.050278,NS,Reversed (Aging Down / Training Up),TRUE
TPM3,-0.8053,0.1789,0.077104,0.91107,0.115977,NS,Reversed (Aging Down / Training Up),FALSE
UTP15,-0.8686,0.113,0.059404,0.9706,0.141426,NS,Reversed (Aging Down / Training Up),TRUE
ACTA1,-0.6309,0.3445,0.14449,0.578126,0.054976,NS,Reversed (Aging Down / Training Up),FALSE
NPC2,0.8876,-0.0497,0.053196,0.988005,0.071262,NS,Reversed (Aging Up / Training Down),TRUE
TPD52,-0.3202,0.5987,0.63848,0.078524,0.055614,NS,Reversed (Aging Down / Training Up),TRUE
IGLC2,0.5923,0.3259,0.174368,0.603376,0.862969,NS,Exacerbated Up,FALSE
SERPINH1,0.097,0.8176,0.986525,0.156129,0.579507,NS,Exacerbated Up,TRUE
ACTB,-0.6493,0.2642,0.103917,0.728276,0.068345,NS,Reversed (Aging Down / Training Up),FALSE
SRM,0.7695,0.1407,0.163326,0.939139,0.479512,NS,Exacerbated Up,TRUE
SVIL,-0.669,-0.2311,0.064918,0.763292,0.596715,NS,Exacerbated Down,TRUE
IFT81,-0.8117,-0.0878,0.108443,0.983188,0.426192,NS,Exacerbated Down,TRUE
COL1A1,-0.8675,0.0287,0.078519,0.998286,0.243811,NS,Reversed (Aging Down / Training Up),TRUE
DAZAP1,-0.5373,0.356,0.565366,0.719912,0.347035,NS,Reversed (Aging Down / Training Up),TRUE
MYH4,-0.8115,0.071,0.118911,0.98882,0.26134,NS,Reversed (Aging Down / Training Up),TRUE
C6orf136,-0.3287,-0.553,0.757143,0.322384,0.934735,NS,Exacerbated Down,TRUE
SPATA20,-0.6546,0.2263,0.259367,0.853905,0.218183,NS,Reversed (Aging Down / Training Up),TRUE
ALDH1B1,-0.4726,0.4062,0.359026,0.408722,0.086334,NS,Reversed (Aging Down / Training Up),TRUE
DRG2,-0.4098,0.4599,0.409829,0.2872,0.072912,NS,Reversed (Aging Down / Training Up),TRUE
MYL9,-0.4444,0.4222,0.704973,0.503427,0.317103,NS,Reversed (Aging Down / Training Up),TRUE
COL1A2,-0.7826,-0.0828,0.217185,0.987199,0.529141,NS,Exacerbated Down,TRUE
IGKC,0.4926,0.3679,0.20718,0.38713,0.962954,NS,Exacerbated Up,FALSE
SEC61B,0.3559,-0.4881,0.793883,0.377446,0.310969,NS,Reversed (Aging Up / Training Down),TRUE
SSR4,-0.6122,0.2299,0.197033,0.691759,0.084427,NS,Reversed (Aging Down / Training Up),TRUE
CARNS1,-0.3738,0.453,0.500258,0.224098,0.080524,NS,Reversed (Aging Down / Training Up),TRUE
GLUL,0.5648,-0.2591,0.21588,0.607585,0.070745,NS,Reversed (Aging Up / Training Down),TRUE
MYH7,-0.5668,0.2561,0.302629,0.79801,0.214026,NS,Reversed (Aging Down / Training Up),FALSE
CORO6,-0.6459,0.1708,0.069726,0.875102,0.094895,NS,Reversed (Aging Down / Training Up),TRUE
FTL,0.406,0.4101,0.714734,0.649323,0.999983,NS,Exacerbated Up,TRUE
TRMT112,-0.6734,0.1406,0.149227,0.906869,0.125879,NS,Reversed (Aging Down / Training Up),TRUE
DHCR24,-0.5927,0.2211,0.124533,0.693556,0.053019,NS,Reversed (Aging Down / Training Up),TRUE
NUDT2,-0.3444,0.467,0.653545,0.314702,0.154992,NS,Reversed (Aging Down / Training Up),TRUE
COX6A2,-0.6352,0.1735,0.086037,0.862901,0.091696,NS,Reversed (Aging Down / Training Up),TRUE
