ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ONTOLOGY,module
GO:0042773,ATP synthesis coupled electron transport,62/147,74/2061,0.8378378378378378,11.746828461114175,26.086664570820485,6.841419810436832e-65,5.0660713696284745e-62,4.997837208887539e-62,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFA12/CHCHD2/NDUFB9,62,BP,red
GO:0042775,mitochondrial ATP synthesis coupled electron transport,62/147,74/2061,0.8378378378378378,11.746828461114175,26.086664570820485,6.841419810436832e-65,5.0660713696284745e-62,4.997837208887539e-62,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFA12/CHCHD2/NDUFB9,62,BP,red
GO:0022904,respiratory electron transport chain,62/147,81/2061,0.7654320987654321,10.73167044595616,24.75817444731526,3.4924650740672356e-60,1.7241135915645255e-57,1.700891762387833e-57,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFA12/CHCHD2/NDUFB9,62,BP,red
GO:0019646,aerobic electron transport chain,58/147,70/2061,0.8285714285714286,11.616909620991255,25.039913320720302,8.876667684816539e-60,3.2865862103033236e-57,3.242319670138252e-57,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/NDUFB9,58,BP,red
GO:0022900,electron transport chain,62/147,82/2061,0.7560975609756098,10.600796416127427,24.581738851040647,1.3714379955633416e-59,4.0621993428586175e-57,4.0074861849303543e-57,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFA12/CHCHD2/NDUFB9,62,BP,red
GO:0006119,oxidative phosphorylation,65/147,102/2061,0.6372549019607843,8.934573829531812,22.773395276542733,7.021547086444346e-55,1.7331518725040128e-52,1.7098083080675007e-52,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFB11/NDUFA13/NDUFA12/STOML2/CHCHD2/NDUFB9,65,BP,red
GO:0009060,aerobic respiration,65/147,127/2061,0.5118110236220472,7.175799453639724,19.90618890851843,3.34018230936817e-46,7.066871428820372e-44,6.97168879007973e-44,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFB11/NDUFA13/NDUFA12/STOML2/CHCHD2/NDUFB9,65,BP,red
GO:0045333,cellular respiration,67/147,143/2061,0.46853146853146854,6.569002426145284,19.126805221835795,1.5937434505767823e-44,2.950417562880268e-42,2.91067882815865e-42,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/PNPT1/GHITM/NDUFB11/NDUFA13/NDUFA12/SLC25A13/STOML2/CHCHD2/NDUFB9,67,BP,red
GO:1902600,proton transmembrane transport,53/147,89/2061,0.5955056179775281,8.349231827562486,19.63834141585177,1.3252363415490532e-41,2.180750024260164e-39,2.1513778269825568e-39,NDUFS8/COX7A2L/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/SLC25A12/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX8A/COX5B/COX4I1/COX6B1/NDUFB7/NDUFV2/COX5A/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/NDUFA5/NDUFA9/PHB2/GHITM/NDUFA12/SLC25A13/NDUFB9,53,BP,red
GO:0015980,energy derivation by oxidation of organic compounds,68/147,174/2061,0.39080459770114945,5.47923997185081,17.108593790105967,7.658298282345569e-39,1.1341939756153787e-36,1.1189176858837526e-36,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/MT-ND5/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/PNPT1/SORBS1/GHITM/NDUFB11/NDUFA13/NDUFA12/SLC25A13/STOML2/CHCHD2/NDUFB9,68,BP,red
