ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,contrast,database,pathway_label
GOCC_MYOSIN_FILAMENT,GOCC_MYOSIN_FILAMENT,5/61,16/1879,0.3125,9.626024590163935,6.345707178104191,1.0146229050011637e-4,0.01653835335151897,0.01653835335151897,MYH3/MYH1/MYOM1/MYOM2/MYBPC2,5,Aging,GO:CC,Myosin Filament
HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_JUNCTION,11/88,41/1024,0.2682926829268293,3.1219512195121952,4.250028025734131,3.7208287905826393e-4,0.013767066525155766,0.012924984219918643,MAPK13/ACTN4/ACTN1/MSN/FBN1/ACTN2/ACTN3/NEXN/FLNC/SPEG/NRAP,11,Reversal,Hallmark,Apical Junction
GOBP_MYOFIBRIL_ASSEMBLY,GOBP_MYOFIBRIL_ASSEMBLY,17/172,43/2049,0.3953488372093023,4.7097079502433745,7.4405587042950785,1.44434683920372e-8,2.0293073090812266e-5,2.0293073090812266e-5,TPM1/NEB/CSRP1/ACTN2/TNNT3/CSRP3/MYBPH/FLNC/PLEC/OBSCN/MYOM3/LMOD2/NRAP/TTN/SYNPO2L/MYOZ1/TMOD4,17,Reversal,GO:BP,Myofibril Assembly
GOBP_SARCOMERE_ORGANIZATION,GOBP_SARCOMERE_ORGANIZATION,14/172,31/2049,0.45161290322580644,5.379969992498125,7.436840452737434,3.8623179623722586e-8,2.7132783685665116e-5,2.7132783685665116e-5,TPM1/CSRP1/ACTN2/TNNT3/CSRP3/MYBPH/FLNC/PLEC/OBSCN/MYOM3/LMOD2/TTN/SYNPO2L/MYOZ1,14,Reversal,GO:BP,Sarcomere Organization
GOBP_MUSCLE_CELL_DEVELOPMENT,GOBP_MUSCLE_CELL_DEVELOPMENT,22/172,75/2049,0.29333333333333333,3.4944186046511625,6.660754975590391,5.97825681994728e-8,2.7998169440086428e-5,2.7998169440086428e-5,ACTN4/TPM1/UCHL1/ACTN1/NEB/CSRP1/ACTN2/TNNT3/CSRP3/ACTN3/MYBPH/FLNC/PLEC/KLHL40/OBSCN/MYOM3/LMOD2/NRAP/TTN/SYNPO2L/MYOZ1/TMOD4,22,Reversal,GO:BP,Muscle Cell Development
GOMF_ACTIN_BINDING,GOMF_ACTIN_BINDING,31/168,146/1938,0.21232876712328766,2.4493639921722115,5.609416799530405,7.833064321940764e-7,1.9817652734510134e-4,1.9211620915917876e-4,PDLIM1/ACTN4/FLNB/TPM2/TPM1/ACTN1/NEB/FLNA/MSN/ACTN2/TNNT3/TNNI2/CSRP3/ACTN3/NEXN/SNTA1/FLNC/PLEC/LMOD2/XIRP1/NRAP/SYNE2/TTN/SYNPO2L/MYOZ1/PHPT1/TMOD4/MYH2/MYH13/SYNPO2/TLN2,31,Reversal,GO:MF,Actin Binding
GOMF_STRUCTURAL_MOLECULE_ACTIVITY,GOMF_STRUCTURAL_MOLECULE_ACTIVITY,41/168,241/1938,0.17012448132780084,1.9625074096028454,4.918180908978187,5.382870502091451e-6,4.694254938148012e-4,4.5507027276408857e-4,DCTN3/COL3A1/MYL1/TPM2/VIM/TPM1/ACTN1/DES/NEB/CSRP1/MSN/RPL10/RPL22/FBN1/ACTN2/HMGCL/RPS19/COL15A1/RPL35/RPS10/CSRP3/RPS3A/RPL37A/RPS7/RPS23/RPL23A/RPL23/RPS15/RPL32/RPL38/RPS21/RPL24/ACTN3/NEXN/MYBPH/SNTA1/PLEC/OBSCN/TTN/MRPL9/TLN2,41,Reversal,GO:MF,Structural Molecule Activity
GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE,GOMF_STRUCTURAL_CONSTITUENT_OF_MUSCLE,13/168,37/1938,0.35135135135135137,4.053088803088803,5.775399862007398,5.566310203337564e-6,4.694254938148012e-4,4.5507027276408857e-4,MYL1/TPM2/TPM1/NEB/CSRP1/ACTN2/CSRP3/ACTN3/NEXN/MYBPH/PLEC/OBSCN/TTN,13,Reversal,GO:MF,Structural Constituent Of Muscle
GOCC_CONTRACTILE_MUSCLE_FIBER,GOCC_CONTRACTILE_MUSCLE_FIBER,36/156,144/1879,0.25,3.011217948717949,7.555411050885424,1.7092133799793094e-10,4.050835710550963e-8,3.8682197546900165e-8,PDLIM1/ACTN4/FLNB/SCO1/MYL1/TPM2/TPM1/ACTN1/DES/NEB/CSRP1/FLNA/ACTN2/TNNT3/TNNI2/CSRP3/ACTN3/NEXN/MYBPH/SQSTM1/FLNC/PLEC/KLHL40/OBSCN/MYOM3/LMOD2/NRAP/SYNE2/TTN/TRIM54/SYNPO2L/MYOZ1/TMOD4/MYH2/MYH13/SYNPO2,36,Reversal,GO:CC,Contractile Muscle Fiber
GOCC_I_BAND,GOCC_I_BAND,23/156,86/1879,0.26744186046511625,3.221302921884317,6.343578567556809,1.4589898147788674e-7,1.7289029305129578e-5,1.6509621588287183e-5,PDLIM1/ACTN4/FLNB/ACTN1/DES/NEB/CSRP1/FLNA/ACTN2/CSRP3/ACTN3/NEXN/FLNC/PLEC/KLHL40/OBSCN/NRAP/SYNE2/TTN/TRIM54/SYNPO2L/MYOZ1/SYNPO2,23,Reversal,GO:CC,I Band
