pathway,gene_count,genes
Amino Acid & Cofactor Metabolism,25,ACAT1/ALDH4A1/ALDH5A1/ALDH6A1/ASS1/CP/ECHS1/ETFA/ETFB/GCLM/GPT2/GPX3/GSTM1/GSTO1/HMGCL/MCCC1/MCEE/MGST2/MPST/MT2A/NXN/PCCB/PNPO/SOD2/TYMP
Transport,25,ACTN2/ACTN4/ARHGAP1/CAMK2D/CAPN3/CPT2/CSRP3/DES/DPYSL2/EMC2/EMC3/LAMTOR1/LRPAP1/MICOS10/MICU1/MT-CO1/RPL23/RPS15/S100A13/SLC27A1/SPAG9/SQSTM1/TMEM38A/TST/VAPB
ECM & Adhesion,23,ACTN1/ACTN3/CAPZA1/CAST/CD151/COL15A1/COL3A1/CSRP1/EPDR1/FNDC3A/HMOX1/LRG1/MYBPC2/MYBPH/MYOF/MYOZ1/NEXN/PDLIM5/PREX1/SNTA1/TLN2/TPM1/YWHAZ
Other,23,NA
Protein Homeostasis,21,CLEC3B/CLU/COPS7B/CTSB/CTSD/CTSZ/DDI2/FXN/GAA/HP/KLHL40/LRBA/MUSTN1/NGLY1/PPIA/PRUNE1/PSAP/PSMD7/RNF114/SLC25A46/STBD1
Translation & Ribosome,20,EIF3C/NARS1/RPL10/RPL22/RPL23A/RPL27A/RPL32/RPL34/RPL35/RPL35A/RPL37A/RPL38/RPS10/RPS19/RPS21/RPS23/RPS27A/RPS3A/RPS7/UTP15
Cytoskeleton & Motility,19,ARHGDIB/CAP1/CLIC4/DYNLT1/FLNA/FLNC/MIEN1/MSN/MYOM1/MYOM3/NEB/NRAP/PDLIM1/PHPT1/SYNE2/SYNPO2/SYNPO2L/UCHL1/XIRP1
Carbohydrate & Energy Metabolism,18,ABHD6/ACADM/DCXR/ENO2/FBN1/GALK1/GPD1L/HPRT1/IDH2/MYH3/NAMPT/NAXD/NT5C1A/PGM5/PHKA2/PHKB/PPP1R3A/SLC25A11
Transcription & Chromatin,15,CAPRIN1/CELF1/EWSR1/FLT1/HAT1/MDP1/NCL/OBSCN/PRDX6/RBM3/SNRPD3/SPEG/TGM2/THRB/VIM
Lipid Metabolism,13,ABHD11/ABHD16A/ACADS/ADH1B/AKR7A2/COQ5/COQ7/CRAT/HADHA/HADHB/IDI1/PCYT2/PLIN5
DNA & Cell Cycle,12,BANF1/CARM1/CDC42/DCTN3/HMGB1/HMGB2/NAE1/OTUB1/PLEC/PSMD14/RPL24/TTN
Muscle & Contractile,11,LMOD2/MYH1/MYH13/MYH2/MYL1/MYOM2/SYNM/TMOD4/TNNT3/TPM2/TPM4
Immune & Inflammation,8,ANXA3/C3/DHRS7B/FLNB/IGHG2/MAPK13/TRIM54/UBE2K
Mitochondria & Energy,8,LONP1/MARCHF5/MAVS/MT-ND2/MT-ND4/NDUFA1/NDUFA11/SCO1
Development,5,CRYBG3/DDAH2/LRMDA/MAOB/TMX2
