gene,logFC_Aging,logFC_Training_Young,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,category
ACTN3,-2.1254,-0.9403,-0.0166,2e-6,0.999621,Attenuated
LRBA,-1.6593,-0.7489,-0.2027,1.22e-4,0.924395,Attenuated
NEB,-1.4746,-0.0306,-0.0425,0,0.994097,Attenuated
FNDC3A,-1.4686,0.0604,-0.0159,4.6e-4,0.999607,Attenuated
LMOD2,-2.2637,-0.501,0.1565,0,0.946809,Reversed
MYBPH,-2.2342,1.0138,1.7207,0,5e-6,Reversed
ACTN1,-2.0379,-0.9384,0.3834,0,0.731653,Reversed
ACTN2,-1.9351,-0.884,0.4933,1e-6,0.554066,Reversed
SYNPO2L,-1.8304,-0.5209,0.0887,0,0.972496,Reversed
ACTN4,-1.753,-0.7896,0.3669,1e-6,0.693083,Reversed
MYOZ1,-1.7495,-0.6821,0.0791,2.3e-5,0.988822,Reversed
TTN,-1.6986,-0.1586,0.0185,0,0.99896,Reversed
GPT2,1.683,1.872,-0.592,6.67e-4,0.060907,Reversed
HAT1,-1.6475,-0.2267,0.7992,1.87e-4,0.144243,Reversed
THRB,-1.6328,-0.6264,0.2689,1e-6,0.808867,Reversed
DES,-1.5002,-0.253,0.2096,0,0.838427,Reversed
MUSTN1,-1.3625,-0.0292,0.7722,2.4e-5,0.042317,Reversed
TMX3,-1.3572,-0.2239,0.155,0.011606,0.908883,Reversed
MICOS10,-1.3239,-0.307,0.1616,0,0.868863,Reversed
TPM1,-1.2591,-0.4206,0.3012,9.1e-5,0.709757,Reversed
RPS7,-1.2008,0.1083,0.2795,0,0.532816,Reversed
TNNI2,-1.1719,-0.3138,0.2674,1.51e-4,0.748157,Reversed
PLIN2,1.1196,0.1637,-0.4254,8.5e-5,0.286028,Reversed
TNNT3,-1.1102,-0.3022,0.2918,9.83e-4,0.721998,Reversed
LRG1,1.0802,0.1841,-0.4154,5.6e-5,0.214092,Reversed
TPM2,-1.048,-0.436,0.2598,0.002715,0.781155,Reversed
GSTM1,-1.0306,-0.3312,0.5993,0.115998,0.464662,Reversed
KLHL40,-1.029,0.4043,0.3362,3.59e-4,0.545279,Reversed
MYH2,-1.0187,-0.2736,0.4817,0.004026,0.345553,Reversed
COPS7B,1.0134,0.828,-0.4555,0.012069,0.218858,Reversed
