pathway,pathway_label,database,NES_Training_Young,NES_Training_Old,padj_Training_Young,padj_Training_Old,padj_Interaction,significance,set_size
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,Regulation Of Telomere Maintenance Via Tel...,GO:BP,2.07,1.864,0.004895,0.07525,0.4208,Sig Young only,15
GOBP_RESPONSE_TO_HEAT,Response To Heat,GO:BP,2.162,1.503,3.694e-4,0.2325,0.1305,Sig Young only,31
GOBP_ESTABLISHMENT_OF_CELL_POLARITY,Establishment Of Cell Polarity,GO:BP,1.918,1.708,0.01235,0.1209,0.2397,Sig Young only,24
GOBP_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION,Epigenetic Regulation Of Gene Expression,GO:BP,-1.975,-1.545,0.01235,0.2402,0.3197,Sig Young only,20
GOBP_RNA_LOCALIZATION,RNA Localization,GO:BP,1.945,1.539,0.006983,0.2015,0.3267,Sig Young only,39
GOBP_CELL_DIVISION,Cell Division,GO:BP,1.903,1.419,0.001882,0.2123,0.06821,Sig Young only,83
GOBP_RESPONSE_TO_TOPOLOGICALLY_INCORRECT_PROTEIN,Response To Topologically Incorrect Protein,GO:BP,1.753,1.283,0.03712,0.4278,0.1647,Sig Young only,44
GOBP_TRNA_METABOLIC_PROCESS,Trna Metabolic Process,GO:BP,1.964,0.99,0.005698,0.7824,0.05641,Sig Young only,39
GOBP_CELL_MORPHOGENESIS,Cell Morphogenesis,GO:BP,1.625,1.308,0.02225,0.3185,0.2333,Sig Young only,108
HALLMARK_PI3K_AKT_MTOR_SIGNALING,Pi3k Akt Mtor Signaling,Hallmark,1.678,1.177,0.03579,0.4571,0.608,Sig Young only,33
HALLMARK_UV_RESPONSE_DN,UV Response Dn,Hallmark,-1.837,-0.896,0.01701,0.7696,0.06604,Sig Young only,17
GOBP_NEGATIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH,Negative Regulation Of Programmed Cell Death,GO:BP,1.577,1.048,0.04097,0.7007,0.2865,Sig Young only,138
