gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
MAPK3,-0.1556,0.708,0.77601,0.745204,NS
CZIB,-0.1403,0.7824,0.776653,0.709741,NS
FBP1,-0.2345,0.4681,0.776676,0.844384,NS
TIMM10,-0.1528,0.7179,0.776756,0.743281,NS
ANXA2,0.1432,0.7659,0.77682,0.714002,NS
ETFRF1,-0.2016,0.5441,0.776837,0.832337,NS
ROMO1,-0.1828,0.5935,0.778926,0.825435,NS
STXBP3,0.1416,0.7658,0.779091,0.714002,NS
COPB2,0.146,0.7417,0.779272,0.726841,NS
DYNLL1,-0.1378,0.7813,0.780395,0.709936,NS
AZGP1,-0.1575,0.6836,0.780437,0.750095,NS
EIF1,-0.1561,0.6879,0.780945,0.745204,NS
TPM2,0.2598,0.4129,0.781155,0.860227,NS
DYNC1H1,0.1194,0.8952,0.781874,0.669471,NS
CST3,0.1533,0.697,0.781938,0.745204,NS
ANXA7,-0.1044,1.0233,0.782021,0.624526,NS
DDX19A,-0.1145,0.926,0.783402,0.664525,NS
PCYT1A,-0.1291,0.8184,0.783995,0.701512,NS
TNMD,-0.1691,0.6224,0.784833,0.794303,NS
HSP90B1,0.1177,0.8935,0.78494,0.669471,NS
UBE2L3,-0.1096,0.9512,0.7865,0.656461,NS
UBE2N,-0.1251,0.833,0.786615,0.693013,NS
CMYA5,-0.1349,0.7724,0.786662,0.714002,NS
HNRNPL,0.1438,0.7241,0.786749,0.741042,NS
CCT2,0.1201,0.8664,0.786954,0.676954,NS
NIPSNAP1,-0.2253,0.4601,0.787711,0.846383,NS
PRXL2A,-0.1868,0.5537,0.788119,0.832337,NS
MYH7,0.2547,0.406,0.788156,0.861591,NS
EZR,0.197,0.5243,0.788352,0.832337,NS
DHRS11,0.1795,0.5752,0.788385,0.825788,NS
FABP5,-0.1587,0.6459,0.789693,0.775044,NS
NDUFAF4,0.1859,0.5517,0.789703,0.832337,NS
MGST3,-0.151,0.6717,0.791658,0.760881,NS
MYH13,0.2649,0.3829,0.791728,0.871828,NS
RPS8,0.1376,0.7319,0.79307,0.732755,NS
VIM,0.1835,0.5474,0.793501,0.832337,NS
PFDN2,-0.1275,0.787,0.793677,0.707966,NS
AP1G1,0.1694,0.5925,0.793702,0.825435,NS
RPS28,0.1637,0.6114,0.794202,0.802102,NS
RPS5,0.1398,0.7156,0.794216,0.743281,NS
MRPL13,0.1538,0.65,0.794423,0.771839,NS
MT-ATP6,-0.1772,0.5628,0.794855,0.832337,NS
ENOPH1,-0.1321,0.753,0.795239,0.724429,NS
PSAP,-0.1473,0.6706,0.796581,0.760881,NS
ATP1A1,0.1105,0.8922,0.796932,0.669471,NS
SPAG9,0.1577,0.6241,0.797281,0.794303,NS
AGT,-0.1503,0.6527,0.797768,0.769548,NS
UBE2M,-0.1096,0.8919,0.798506,0.669471,NS
DAG1,-0.1202,0.8111,0.798969,0.702597,NS
HIBCH,0.1784,0.5461,0.799047,0.832337,NS
PHYKPL,-0.1697,0.5721,0.79972,0.828168,NS
PKIA,-0.135,0.7171,0.80023,0.743281,NS
MTAP,-0.1653,0.5838,0.800699,0.825788,NS
SFXN4,0.1692,0.5695,0.801004,0.829536,NS
UBE2D3,-0.1369,0.7032,0.801237,0.745204,NS
COL6A2,0.2555,0.3747,0.802158,0.871828,NS
RPL4,0.1893,0.5058,0.802188,0.837048,NS
TUBB2A,0.1216,0.7872,0.802252,0.707966,NS
PTGR2,-0.1444,0.6622,0.802401,0.766762,NS
PLAA,-0.1143,0.8333,0.803115,0.693013,NS
FXN,-0.1459,0.6525,0.8032,0.769548,NS
EIF3E,0.1439,0.6607,0.803416,0.767496,NS
FABP4,-0.1333,0.7118,0.803756,0.745204,NS
PRDX4,0.1548,0.6103,0.804513,0.802797,NS
RPL13A,0.1934,0.4851,0.805729,0.839093,NS
KARS1,-0.1042,0.8987,0.80602,0.669471,NS
SCRN3,-0.1685,0.5553,0.806146,0.832337,NS
PYGB,-0.1267,0.7384,0.806233,0.726841,NS
TIMM8B,0.1554,0.5987,0.807137,0.819528,NS
ETF1,0.1513,0.6138,0.807532,0.800115,NS
CSE1L,-0.1097,0.8453,0.807725,0.693013,NS
NQO2,-0.2588,0.3583,0.807744,0.874582,NS
IMPDH2,0.1164,0.7942,0.808301,0.707966,NS
PAFAH1B2,0.1876,0.492,0.808563,0.839093,NS
HMGB1,-0.1195,0.7712,0.808839,0.714002,NS
THRB,0.2689,0.3426,0.808867,0.877367,NS
DPYSL3,-0.1627,0.565,0.809265,0.832337,NS
TLN1,0.097,0.9453,0.809732,0.659761,NS
PLEC,-0.1588,0.5763,0.810029,0.825788,NS
NUCKS1,-0.1178,0.7761,0.810108,0.714002,NS
HHATL,-0.1637,0.5576,0.810461,0.832337,NS
PPID,-0.2093,0.4348,0.810945,0.855788,NS
HADH,-0.1133,0.803,0.810947,0.707473,NS
AKR1C2,0.1998,0.4553,0.811032,0.851755,NS
RNF181,-0.176,0.5154,0.811493,0.832337,NS
PPP1CA,0.1226,0.7388,0.81177,0.726841,NS
MAT2A,-0.0997,0.9074,0.812023,0.669471,NS
SH3GLB1,-0.1358,0.6661,0.812031,0.762785,NS
RDH14,0.1376,0.6554,0.812459,0.769548,NS
TMOD4,0.2434,0.3697,0.812899,0.871828,NS
DAD1,-0.173,0.5185,0.813444,0.832337,NS
NPEPPS,-0.1094,0.8197,0.813447,0.701512,NS
HADHB,-0.1095,0.8165,0.813962,0.701523,NS
