pathway,contrast,NES,padj,size,database,sig,pathway_label,pattern,sort_key,leading_edge
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,Aging,2.719,1.204e-11,86,GO:BP,TRUE,Organic Acid Catabolic Process,Reversed,2.7187816999802012,HMGCL;HADHA;DCXR;HADHB;ECHS1;ACADM;ALDH5A1;ACAT1;CRAT;ALDH6A1;ETFB;MPST;ECI1;ALDH4A1;ETFA;MCCC1;HADH;PCCB;CPT2;TST;ECH1;ACAA2;FAH;IVD;PCCA;ACAD8;ECI2;GPT2;MCEE;ADIPOQ;ACADS;ACADVL;HIBADH;ACADSB;RIDA;MLYCD;NAGK;GCDH;DBT;SLC16A1;PLIN5;GPT;CPT1B;GOT2;GLUL
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,Training_Old,-1.98,0.001311,86,GO:BP,TRUE,Organic Acid Catabolic Process,Reversed,2.7187816999802012,ALDH6A1;GPT2;MPST;KYAT1;RIDA;ACADS;CPT1B;ECHDC2;PLIN5;GPT;QDPR;GLUL;TST;ALDH1L1;ACAA2;GSTZ1;HADHB;CPT2;SORD;HADH;ACAT1;CPT1A;SHMT1;ADIPOQ;GOT1;GNPDA1;ECI1;DCXR;ACADVL;AASDHPPT;MCCC1;ETFA;HADHA;BCKDHA;GCSH;BLMH;ACAA1;KYAT3;ILVBL;ACADSB;ALDH5A1
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Aging,1.897,0.003148,49,Reactome,TRUE,Metabolism Of Vitamins And Cofactors,Reversed,1.8966915743801283,NAXD;COQ7;COQ5;PNPO;MCCC1;PCCB;PCCA;GSTO1;COQ8A;CYB5R3;CYB5A;NADK2;NAXE;COQ3;APOC2;COQ9;TTR;SPR;MMUT;PANK4;GPHN;ACO1;APOE;SHMT1
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS,Training_Old,-1.87,0.02015,50,Reactome,TRUE,Metabolism Of Vitamins And Cofactors,Reversed,1.8966915743801283,SLC25A42;GSTO1;MMAB;GPC1;COQ7;BCO2;COQ9;GPHN;ALDH1L1;NAXD;IDH1;PNPO;SHMT1;PANK4;ACO1;RBP4;NAXE;AASDHPPT;CYB5A;MCCC1;PDXK;COQ8A;SPR;NADK2;MTHFD1;COQ3
HALLMARK_ADIPOGENESIS,Aging,1.845,4.447e-4,109,Hallmark,TRUE,Adipogenesis,Reversed,1.8451996922035696,ECHS1;ACADM;CRAT;PLIN2;COQ5;ETFB;MCCC1;HADH;CPT2;TST;ECH1;ACO2;ACAA2;FAH;ALDH2;C3;FABP4;TALDO1;ADIPOQ;ACADS;SLC27A1;DBT;GPX3;CS;YWHAG;COQ3;SDHB;COQ9;SUCLG1;MDH2;SULT1A1;HIBCH;ATP5PO;PREB;STOM;AK2;ORM1;DECR1;COX8A;PPM1B;MTCH2;ITGA7;CAVIN1;IDH3G;UQCRC1;GPHN;SAMM50;APOE;CD36;CYC1;BCL2L13;TKT
HALLMARK_ADIPOGENESIS,Training_Old,-1.711,0.01301,109,Hallmark,TRUE,Adipogenesis,Reversed,1.8451996922035696,MYLK;SSPN;SLC27A1;GPX3;ATL2;TALDO1;CAVIN2;ACADS;PLIN2;ME1;ITGA7;SOD1;CMBL;COQ9;UBQLN1;QDPR;GPHN;TST;ACAA2;CPT2;SORBS1;HADH;GPD2;IDH1;MGST3;FABP4;ADIPOQ;NMT1
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,Aging,1.723,0.01116,79,GO:BP,TRUE,Sulfur Compound Metabolic Process,Reversed,1.7226341654366204,SOD2;ACAT1;SUOX;MPST;MCCC1;TST;OPLAH;MAT2B;CBR4;GSTO1;ACOT9;MCEE;ACSF2;BPNT1;MLYCD;ACSS2;GCDH;HAGH;ACSL1;SUCLA2;STAT5B;SUCLG1;GSTP1;ACOT2;MMUT;SULT1A1;PANK4
GOBP_SULFUR_COMPOUND_METABOLIC_PROCESS,Training_Old,-1.89,0.004291,79,GO:BP,TRUE,Sulfur Compound Metabolic Process,Reversed,1.7226341654366204,MPST;GSTO1;GSTP1;GPC1;HAGH;STAT5B;GPX1;GLO1;ACSS2;SOD1;SUOX;MAT2A;TST;ACSF2;GSTZ1;ENOPH1;IDH1;ACAT1;PDHX;PANK4;AHCY;MCCC1;OPLAH;GSS;ABHD14B;SULT1A1;BLMH;MTHFD1;ARL6IP5;MCEE;ETHE1;OXSM;ACSL1;DLD;MPC2;SUCLG2;GCDH;COASY;ACOT2;ACSS1;DLAT;MAT2B;SOD2;PDK1
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Aging,1.632,0.03419,52,GO:BP,TRUE,Modified Amino Acid Metabolic Process,Reversed,1.6322858740086132,SOD2;ACADM;CRAT;ALDH4A1;CTSB;CKB;CPT2;OPLAH;GSTO1;GAMT;HAGH;CKMT2;ABHD16A;CPT1B;GOT2;ALDH9A1;CKM;GSTP1;SULT1A1;PANK4;ALDH7A1;ASS1;ARL6IP5;GSS;SHMT1;GSTK1
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,Training_Old,-1.861,0.01828,52,GO:BP,TRUE,Modified Amino Acid Metabolic Process,Reversed,1.6322858740086132,ASS1;SLC25A42;ABHD16A;GSTO1;GSTP1;HAGH;GPX1;GLO1;CPT1B;SOD1;ALDH9A1;ALDH1L1;GSTZ1;CPT2;PARK7;IDH1;CPT1A;SHMT1;PANK4;PCYOX1;AASDHPPT;GAMT;OPLAH;GSS;SULT1A1;CKB;CKM
