uniprot_id,kME,module,gene
P28331,0.9471731144673075,green,NDUFS1
P49821,0.926815435596574,green,NDUFV1
O95298,0.9190185164122933,green,NDUFC2
O95168,0.9182988670704946,green,NDUFB4
P19404,0.9131012107107693,green,NDUFV2
O95167,0.9123904160916683,green,NDUFA3
O95182,0.9088692052266104,green,NDUFA7
Q16718,0.9053054941783827,green,NDUFA5
O00217,0.9052251785644583,green,NDUFS8
O75251,0.8988423847624111,green,NDUFS7
P26038,0.8889599415056675,blue,MSN
Q00765,0.886273657560762,blue,REEP5
Q14204,0.8449132970451256,blue,DYNC1H1
Q14974,0.8242704055811166,blue,KPNB1
O75923,0.819462297959891,blue,DYSF
P10636,0.8191165355961817,blue,MAPT
P11142,0.8027709837984702,blue,HSPA8
E9PAV3,0.7913293822851893,blue,NACA
P48643,0.7860797398685999,blue,CCT5
P68363,0.7788726603096454,blue,TUBA1B
P09493,0.9424362132544162,yellow,TPM1
P07951,0.9365949935779511,yellow,TPM2
P48788,0.9276772189383109,yellow,TNNI2
O43707,0.9133812562463299,yellow,ACTN4
P52179,0.9105945980171041,yellow,MYOM1
Q9NZQ9,0.9099924669600943,yellow,TMOD4
P45378,0.9039510801170302,yellow,TNNT3
P35609,0.903258121193563,yellow,ACTN2
P12814,0.8968774139546523,yellow,ACTN1
P10828,0.8932885144672353,yellow,THRB
P38117,0.9262326354226931,turquoise,ETFB
P48735,0.9072034579796627,turquoise,IDH2
P51649,0.901065516734416,turquoise,ALDH5A1
P13804,0.8975473806966981,turquoise,ETFA
P43155,0.8943115272646918,turquoise,CRAT
Q16762,0.8680954772525398,turquoise,TST
Q99798,0.8670324386367652,turquoise,ACO2
P35914,0.8414205020311746,turquoise,HMGCL
P00505,0.8353151001578336,turquoise,GOT2
P07954,0.8310233759222672,turquoise,FH
P18621,0.9180733496507713,black,RPL17
P46777,0.9164625658591237,black,RPL5
P05387,0.906973970335272,black,RPLP2
P46779,0.9042047794907572,black,RPL28
P62906,0.9024158134381849,black,RPL10A
P84098,0.897074511240592,black,RPL19
Q02878,0.8961728550192053,black,RPL6
P05388,0.8909633407404736,black,RPLP0
P18124,0.8829480518039311,black,RPL7
P36578,0.8752110224798703,black,RPL4
Q9UHG3,0.8681702413654725,brown,PCYOX1
O14983,0.8405469656310677,brown,ATP2A1
Q93084,0.8375971599562434,brown,ATP2A3
P10768,0.7925550650187876,brown,ESD
P25789,0.7742923961528694,brown,PSMA4
P63241,0.7736804424757545,brown,EIF5A
P60900,0.7575169760863467,brown,PSMA6
Q5VU43,0.7533299367659853,brown,PDE4DIP
O75298,0.7532050173875459,brown,RTN2
P49773,0.7527917124148945,brown,HINT1
P25705,0.8879804505648,pink,ATP5F1A
Q00325,0.8585313122052682,pink,SLC25A3
Q02218,0.8555491596617066,pink,OGDH
P56385,0.8515488272803003,pink,ATP5ME
O75964,0.8322594256670475,pink,ATP5MG
Q9H7Z7,0.8047793774314855,pink,PTGES2
P24539,0.80077058016778,pink,ATP5PB
P48047,0.7800682996885934,pink,ATP5PO
P42704,0.7759124659177636,pink,LRPPRC
Q96A26,0.769138261727631,pink,FAM162A
P62269,0.930703153063859,magenta,RPS18
P63244,0.893810346441907,magenta,RACK1
P62701,0.8806544571045077,magenta,RPS4X
P61247,0.8630468161975062,magenta,RPS3A
P35268,0.8542118660687615,magenta,RPL22
Q13557,0.8272608433865688,magenta,CAMK2D
P08865,0.8159031805826662,magenta,RPSA
P62249,0.8110765240816413,magenta,RPS16
P63220,0.7860016439570543,magenta,RPS21
P46782,0.7857772677532925,magenta,RPS5
P01024,0.9284351393966641,red,C3
P10909,0.8524339108908274,red,CLU
P02768,0.8389575528554721,red,ALB
P01011,0.8260451003759893,red,SERPINA3
P02787,0.8230715114734242,red,TF
P01009,0.8060758099861371,red,SERPINA1
P69905,0.8024887454695819,red,HBA1
P00751,0.7955270882474587,red,CFB
P08603,0.7952153122689329,red,CFH
P00738,0.7867509116683545,red,HP
