module,age_num,time_num,interaction,VL_thick_cm,DXA_LBM_kg,BMI,Type_I_fCSA,Type_II_fCSA,deadlift_1rm_kg
MEblue,-0.5352435099185808,0.3971663553639706,-0.18760914728384911,0.09784803258240907,-0.04658650512274761,-0.38283581781409426,-0.17003832526278176,0.11334202143865126,0.1976864198297754
MEblack,-0.34712366207238976,0.13910968333126483,-0.09674625092259731,0.23521074219141683,-0.03336539459825245,-0.2357961351385687,-0.10497292348656229,0.0914177448571641,0.019289527861780783
MEmagenta,-0.25222715495054165,0.18903460930527394,0.02675798693056979,0.07581777911691333,0.07677824756809001,-0.07163787738280737,-0.05347706343542286,0.022498739656442158,-0.09883198110554277
MEbrown,-0.18128154756331297,-0.0489226025345948,-0.16052598197490098,0.084490032282045,0.05300207076126583,0.21835964581589584,-0.06536640763340362,0.1278226706519224,0.15299555604729234
MEyellow,-0.44911900047851533,-0.12697538972774983,-0.25571266858191793,0.37712041861027584,0.08813689544602521,-0.1574555564572885,0.1490331780199879,0.381732716578382,0.22449320352974844
MEred,0.381163916206956,0.02335441839370801,0.20114758952564352,-0.2558577878202424,-0.25075721844758603,0.3653209577567355,-0.10297579604607857,-0.15172825370260773,-0.19497322431025033
MEgreen,0.2800402721789806,-0.20141410373136923,0.18067934083752413,-0.0061826326386362875,0.16831844126385484,-0.11216134760777559,0.24388518328509684,-0.035514322203821495,-0.13924893346743253
MEpink,-0.0605436203269648,0.10460874647023412,-0.020924600269587156,0.06026173938430739,0.12147880209108025,-0.1460069012356684,0.11788260375061028,0.13995088429783428,0.04674491821175988
MEturquoise,0.6888113363691586,-0.05710799067686399,0.3645738239339308,-0.26515276962995216,0.0313881827328408,0.2600495333290484,0.014612019269189097,-0.35185561536335674,-0.3029714305591249
MEgrey,0.28089465810917985,-0.3214510417767161,-0.011519005234346145,-0.24733234034297602,-0.21929103941087366,0.023373356427056558,0.05133968393966695,-0.21245462252349134,-0.08207991672135183
