ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,ONTOLOGY,module
GO:0042773,ATP synthesis coupled electron transport,61/160,74/2075,0.8243243243243243,10.69045608108108,24.53107110695058,3.098944277611247e-60,2.4807048942278032e-57,2.4628451890489388e-57,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFA12/CHCHD2/NDUFB9,61,BP,green
GO:0042775,mitochondrial ATP synthesis coupled electron transport,61/160,74/2075,0.8243243243243243,10.69045608108108,24.53107110695058,3.098944277611247e-60,2.4807048942278032e-57,2.4628451890489388e-57,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFA12/CHCHD2/NDUFB9,61,BP,green
GO:0022904,respiratory electron transport chain,61/160,81/2075,0.7530864197530864,9.766589506172838,23.25897553792492,9.798233911518884e-56,5.228990830780577e-53,5.19134498469948e-53,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFA12/CHCHD2/NDUFB9,61,BP,green
GO:0019646,aerobic electron transport chain,57/160,70/2075,0.8142857142857143,10.560267857142858,23.514831448893414,2.1368004757101266e-55,8.552543904029782e-53,8.490970311374452e-53,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/NDUFB9,57,BP,green
GO:0022900,electron transport chain,61/160,82/2075,0.7439024390243902,9.64748475609756,23.089953597941424,3.639167518445779e-55,1.1652614394063384e-52,1.1568722006006583e-52,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFA12/CHCHD2/NDUFB9,61,BP,green
GO:0006119,oxidative phosphorylation,64/160,103/2075,0.6213592233009708,8.058252427184465,21.23451379364177,3.748880783795516e-50,1.0003263558094367e-47,9.931245585142509e-48,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFB11/NDUFA13/NDUFA12/STOML2/CHCHD2/NDUFB9,64,BP,green
GO:0009060,aerobic respiration,64/160,128/2075,0.5,6.484375,18.510967987227033,6.829542253087622e-42,1.562013878170469e-39,1.5507682409266634e-39,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/GHITM/NDUFB11/NDUFA13/NDUFA12/STOML2/CHCHD2/NDUFB9,64,BP,green
GO:0045333,cellular respiration,66/160,144/2075,0.4583333333333333,5.944010416666666,17.7725385315442,3.1092404872194837e-40,6.222367525047992e-38,6.177569915396607e-38,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/PNPT1/GHITM/NDUFB11/NDUFA13/NDUFA12/SLC25A13/STOML2/CHCHD2/NDUFB9,66,BP,green
GO:1902600,proton transmembrane transport,53/160,89/2075,0.5955056179775281,7.722963483146067,18.734672765422566,1.7741783530813063e-39,3.156066159203524e-37,3.133344225909676e-37,NDUFS8/COX7A2L/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/SLC25A12/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX8A/COX5B/COX4I1/COX6B1/NDUFB7/NDUFV2/COX5A/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/COX17/NDUFA5/NDUFA9/PHB2/GHITM/NDUFA12/SLC25A13/NDUFB9,53,BP,green
GO:0015980,energy derivation by oxidation of organic compounds,67/160,175/2075,0.38285714285714284,4.965178571428572,15.841086030883153,9.001418751019844e-35,1.441127142038277e-32,1.4307518225305227e-32,NDUFS8/COX7A2L/NDUFAB1/UQCRQ/UQCR11/NDUFA1/NDUFS4/NDUFB5/NDUFB3/NDUFA2/NDUFS5/NDUFS7/NDUFS2/NDUFS6/NDUFB1/NDUFS3/NDUFB6/NDUFA3/NDUFB4/NDUFB8/NDUFA7/NDUFC2/NDUFA10/NDUFB10/MT-CO1/MT-CO2/MT-CO3/MT-ND1/MT-ND3/UQCRH/CYC1/COX6C/COX8A/COX5B/COX4I1/COX7A2/COX6B1/UQCRB/COX7C/NDUFB7/NDUFV2/COX5A/UQCRC2/COX7A1/COX7B/NDUFS1/UQCRC1/UQCRFS1/NDUFV1/NDUFA8/NDUFV3/NDUFA6/CYCS/COX6A2/NDUFA5/NDUFA9/COA6/PNPT1/SORBS1/GHITM/NDUFB11/NDUFA13/NDUFA12/SLC25A13/STOML2/CHCHD2/NDUFB9,67,BP,green
