module,age_num,time_num,interaction,VL_thick_cm,DXA_LBM_kg,BMI,Type_I_fCSA,Type_II_fCSA,deadlift_1rm_kg
MEblue,3.324976416833515e-4,0.028303124025606155,0.3606062515507048,0.6704838068777833,0.8298250599393149,0.028303124025606155,0.42967774086968424,0.6307085522766853,0.33688347626368614
MEblack,0.042803856377067594,0.5159282517999457,0.6704838068777833,0.2275212617638076,0.8964401670702538,0.2275212617638076,0.6606765654841903,0.6964546200843375,0.9121082239557315
MEmagenta,0.20176407477730945,0.3606062515507048,0.9121082239557315,0.7496698815839244,0.7496698815839244,0.7677153243085973,0.8298250599393149,0.9121082239557315,0.6704838068777833
MEbrown,0.37877693118096556,0.8298250599393149,0.46675315709595305,0.7225557661233518,0.8298250599393149,0.27369692949154545,0.8005127144649865,0.5742140116409118,0.48907874120183065
MEyellow,0.00752146627095511,0.5742140116409118,0.20176407477730945,0.028303124025606155,0.7082118907704648,0.47491275211308087,0.4952995410241307,0.028303124025606155,0.2646808741438803
MEred,0.028303124025606155,0.9121082239557315,0.3289414107265571,0.20176407477730945,0.20176407477730945,0.032194682780027725,0.6606770032537155,0.48907874120183065,0.34111338617259856
MEgreen,0.15463547756579754,0.3289414107265571,0.37877693118096556,0.961961866440568,0.42967774086968424,0.6307085522766853,0.21039023644187455,0.8932298505273857,0.5159282517999457
MEpink,0.813472606445208,0.6606765654841903,0.9121082239557315,0.813472606445208,0.6004668646290119,0.5037848403447716,0.6138723041568539,0.5159282517999457,0.8298250599393149
MEturquoise,5.468828802932429e-8,0.8241269520926442,0.032194682780027725,0.1973257019393325,0.8984890770701003,0.20176407477730945,0.9309403926551407,0.041242967495730365,0.10725280580020391
MEgrey,0.15463547756579754,0.07509156829829973,0.9396353147422322,0.20587335628363518,0.27369692949154545,0.9121082239557315,0.8298250599393149,0.2920673998383333,0.7282238723973389
