gene,logFC_Y,logFC_O,sig_int,sig_Y,sig_O,quadrant,concordant
RPL19,0.00302310191625921,0.216264900832073,0,0,0,Q1,TRUE
SRSF3,0.155469691221469,0.22801343873099,0,0,0,Q1,TRUE
MXRA7,0.078462590911144,-0.105577628992004,0,0,0,Q2,FALSE
H3-3A,-0.790580421939872,-0.0447518731898846,0,-1,0,Q3,TRUE
FBLN2,-0.580636646816856,0.153646306412433,0,0,0,Q4,FALSE
HSPG2,-0.50848252164645,-0.0611553883316844,0,0,0,Q3,TRUE
RBM3,-0.617122307172227,0.0331177363398432,0,-1,0,Q4,FALSE
CYCS,-0.227590867353538,0.00134600929778728,0,0,0,Q4,FALSE
MPP1,-0.346467578628728,0.0907784786193613,0,0,0,Q4,FALSE
TFAM,0.096717869320635,-0.137941431747812,0,0,0,Q2,FALSE
PITPNA,-0.0178979850630867,-0.00710874209918799,0,0,0,Q3,TRUE
SLC25A3,0.266594974455753,0.0876130871375658,0,0,0,Q1,TRUE
HDLBP,-0.178411343940898,0.035017774960231,0,0,0,Q4,FALSE
PURA,-0.00863026261310651,-0.12247401263566,0,0,0,Q3,TRUE
CLTC,0.277040947587931,0.0799214598440159,0,0,0,Q1,TRUE
FKBP3,-0.0254652941674607,0.0138455101211967,0,0,0,Q4,FALSE
REEP5,0.351436941020932,-0.015487031032503,0,0,0,Q2,FALSE
SORD,-0.246502056610741,-0.217937593443235,0,0,0,Q3,TRUE
HNRNPU,0.0248762235786089,-0.22465344016754701,0,0,0,Q2,FALSE
MYBPC1,-0.583147511198064,0.158545043243116,0,0,0,Q4,FALSE
PLIN5,-0.0978827584354924,-0.390556600007642,0,0,0,Q3,TRUE
SPTBN1,0.19069572955398,0.157534612834496,0,0,0,Q1,TRUE
TIAL1,0.203548589591161,0.1149702344023,0,0,0,Q1,TRUE
SET,-0.250227122809942,0.30006643692704,0,0,0,Q4,FALSE
AMPD3,-0.18301939268164,0.00614267265252977,0,0,0,Q4,FALSE
FABP5,-0.252669231306974,-0.15874869380465,0,0,0,Q3,TRUE
ANK2,-0.148913410187127,-0.0290899552863095,0,0,0,Q3,TRUE
CAP1,0.0780887795668548,0.285389961535191,0,0,0,Q1,TRUE
EWSR1,0.0794050233214421,-0.16806058141934,0,0,0,Q2,FALSE
TAGLN,0.0495855090067963,0.587896974570235,0,0,0,Q1,TRUE
OGDH,0.0411687234409293,-0.00266688376087032,0,0,0,Q2,FALSE
COX6A2,-0.285228294927474,0.17381268632445,0,0,0,Q4,FALSE
ALDH6A1,-0.224895347986937,-0.521686052607595,0,0,-1,Q3,TRUE
BDH1,-0.338268599043065,-0.320238104925366,0,0,0,Q3,TRUE
COL7A1,0.175869139975671,-0.145339620866633,0,0,0,Q2,FALSE
RPL18A,-0.144153720091875,0.0820670900072926,0,0,0,Q4,FALSE
CACNB1,-0.0372508120363584,-0.0352738283369618,0,0,0,Q3,TRUE
MAP2K1,0.0984519631753962,0.0468123462397934,0,0,0,Q1,TRUE
FKBP4,0.114262916339435,-0.088059290195627,0,0,0,Q2,FALSE
RPL6,0.23695803626877401,0.268562211980569,0,0,0,Q1,TRUE
AKAP12,0.231389340409056,0.273605715083043,0,0,0,Q1,TRUE
SLC25A11,-0.00851600578765854,0.044674663867827,0,0,0,Q4,FALSE
CAV1,-0.305813357659211,-0.0399059524597583,0,0,0,Q3,TRUE
ACY1,0.238144211880272,0.110907629311704,0,0,0,Q1,TRUE
LMNB2,-0.548981826863837,-8.68701794587423e-5,0,0,0,Q3,TRUE
UBXN1,-0.0544123259114251,-0.0449727856867135,0,0,0,Q3,TRUE
GBE1,0.443529439763093,0.246457322735981,0,1,0,Q1,TRUE
EIF4G1,-3.4828494040795e-4,-0.104780374827222,0,0,0,Q3,TRUE
PRKCQ,0.0875098754708006,-0.165374207904904,0,0,0,Q2,FALSE
GLO1,-0.207311036608242,-0.171311936150953,0,0,0,Q3,TRUE
AKR1C1,0.401805904961908,0.0888691194547633,0,0,0,Q1,TRUE
SSBP1,0.244473811991462,0.103494892217153,0,0,0,Q1,TRUE
YWHAH,0.216909032146759,0.0832219208107539,0,0,0,Q1,TRUE
PLP2,0.0391825847740712,0.0809762466741422,0,0,0,Q1,TRUE
UBE3A,0.0522274948371333,-0.031901298261797,0,0,0,Q2,FALSE
SRSF11,-0.287748634657834,0.00426241773024572,0,0,0,Q4,FALSE
EEF1A2,0.170028542314451,0.0664751056434021,0,0,0,Q1,TRUE
CALD1,-0.0873455232026537,0.225590392518342,0,0,0,Q4,FALSE
COL14A1,0.250716350808474,0.0743956325918411,0,0,0,Q1,TRUE
PTPN11,0.024962807278829,0.0337085681987652,0,0,0,Q1,TRUE
PSME1,0.394817828838281,0.115827321701904,0,1,0,Q1,TRUE
CACNG1,-0.286686621082922,-0.417074012082296,0,0,0,Q3,TRUE
ZNF33A,-0.255479538684952,-0.238626976553782,0,0,0,Q3,TRUE
PRDX1,0.0592738397704373,-0.0749785023067666,0,0,0,Q2,FALSE
