module_color,module_id,bio_label,n_proteins,display_label
turquoise,M1,Lipid Catabolism,348,M1: Lipid Catabolism
blue,M2,Cell Cycle/Proteostasis,270,M2: Cell Cycle/Proteostasis
brown,M3,Muscle Contraction,257,M3: Muscle Contraction
yellow,M4,Redox/Glycolysis,195,M4: Redox/Glycolysis
green,M5,Oxidative Phosphorylation,167,M5: Oxidative Phosphorylation
red,M6,Immunity/Heme,101,M6: Immunity/Heme
black,M7,Translation Machinery,88,M7: Translation Machinery
pink,M8,Mitochondrial Biogenesis,79,M8: Mitochondrial Biogenesis
magenta,M9,Translation Initiation,65,M9: Translation Initiation
