uniprot_id,module,gene,kME,GS,functional_group,GS_pheno
P42765,turquoise,ACAA2,0.793627246219959,0.44483804162599117,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P49748,turquoise,ACADVL,0.7820202199041599,0.42778240440099585,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q99798,turquoise,ACO2,0.8652438080055105,0.4954213622683351,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q9Y4W6,turquoise,AFG3L2,0.7437652900120455,0.28354236702428304,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P51649,turquoise,ALDH5A1,0.9031963620750139,0.6482893284343336,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
Q8NI60,turquoise,COQ8A,0.8019429975606175,0.49902127992253703,Other,"Age (Young=0, Old=1)"
P43155,turquoise,CRAT,0.8995890034463742,0.6701080356707992,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
O75390,turquoise,CS,0.7758408500461174,0.39049354680769116,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P13804,turquoise,ETFA,0.8983977787553817,0.5340577814862,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P38117,turquoise,ETFB,0.9261435938634871,0.5741409731029952,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P07954,turquoise,FH,0.8288506620098863,0.513298169314967,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q16595,turquoise,FXN,0.8073699931347389,0.6326333764699502,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P00505,turquoise,GOT2,0.8386975401211495,0.4377507273602535,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P35914,turquoise,HMGCL,0.8415528918422088,0.6885546075963154,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
Q9NSE4,turquoise,IARS2,0.7762837587804966,0.3712827353012942,Other,"Age (Young=0, Old=1)"
P48735,turquoise,IDH2,0.9108552677528297,0.6421544599111204,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P05166,turquoise,PCCB,0.7759853203513792,0.44846713918950476,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
Q9P0J1,turquoise,PDP1,0.7866861933404521,0.5943697317380363,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P30405,turquoise,PPIF,0.8129610501549095,0.44458103455124026,Other,"Age (Young=0, Old=1)"
Q9P2R7,turquoise,SUCLA2,0.7748524737439378,0.3448719019519616,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
P53597,turquoise,SUCLG1,0.7448008088703117,0.2899462971179479,Oxidative Phosphorylation,"Age (Young=0, Old=1)"
Q16762,turquoise,TST,0.8659326746830079,0.46308228755040415,Organic Acid Catabolic Process,"Age (Young=0, Old=1)"
O00499,blue,BIN1,0.7251738221452072,-0.32154584334773517,Other,"Age (Young=0, Old=1)"
P48643,blue,CCT5,0.8012707390562379,-0.21934415575280203,Formation Of Tubulin Folding Int...,"Age (Young=0, Old=1)"
Q99832,blue,CCT7,0.761952726194284,-0.3712527226441028,Formation Of Tubulin Folding Int...,"Age (Young=0, Old=1)"
P50990,blue,CCT8,0.745006906202272,-0.09397756059619068,Formation Of Tubulin Folding Int...,"Age (Young=0, Old=1)"
Q14204,blue,DYNC1H1,0.8385469783970146,-0.5399555439781478,Other,"Age (Young=0, Old=1)"
O75923,blue,DYSF,0.8032864427385127,-0.4796662645554236,Other,"Age (Young=0, Old=1)"
Q14232,blue,EIF2B1,0.7290487787752182,-0.6278925055728036,Other,"Age (Young=0, Old=1)"
P21333,blue,FLNA,0.7291231296612698,-0.54272167793162,Interferon Signaling,"Age (Young=0, Old=1)"
O75369,blue,FLNB,0.7239549908769267,-0.6169791335389576,Interferon Signaling,"Age (Young=0, Old=1)"
Q14315,blue,FLNC,0.7375751184454041,-0.6173424435484651,Other,"Age (Young=0, Old=1)"
P11142,blue,HSPA8,0.8048634467668079,-0.4671455705028893,Interferon Signaling,"Age (Young=0, Old=1)"
Q16082,blue,HSPB2,0.7471178165705393,-0.3378120414702272,Other,"Age (Young=0, Old=1)"
Q14974,blue,KPNB1,0.7973734532717599,-0.669987392066768,Interferon Signaling,"Age (Young=0, Old=1)"
