pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,module,Description
GOBP_ORGANIC_ACID_CATABOLIC_PROCESS,3.9725842741429485e-23,3.948748768498091e-20,3.812550120288693,54,86,,GO:BP,9.947066326530612,turquoise,Organic Acid Catabolic Process
GOBP_FATTY_ACID_CATABOLIC_PROCESS,7.519644827207294e-17,2.49150898608135e-14,4.7590090090090085,29,37,,GO:BP,19.96590909090909,turquoise,Fatty Acid Catabolic Process
GOBP_FATTY_ACID_METABOLIC_PROCESS,3.861509838504665e-15,6.397234632456062e-13,2.9763917061077305,50,102,,GO:BP,5.527232834279814,turquoise,Fatty Acid Metabolic Process
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,1.4045942478347281e-13,4.309352897952007e-11,5.100344827586207,21,25,,Reactome,28.272935779816514,turquoise,Citric Acid Cycle Tca Cycle
REACTOME_FATTY_ACID_METABOLISM,2.771288037268172e-13,4.309352897952007e-11,3.666016048579484,32,53,,Reactome,8.409885473176612,turquoise,Fatty Acid Metabolism
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA_OXIDATION,8.161793326539372e-13,8.461059081845816e-11,5.243861024033438,19,22,,Reactome,33.918946301925025,turquoise,Mitochondrial Fatty Acid Beta Oxidation
GOBP_LIPID_MODIFICATION,1.101716174083241e-12,1.368882346298427e-10,3.9985281749369217,27,41,,GO:BP,10.520026702269693,turquoise,Lipid Modification
HALLMARK_FATTY_ACID_METABOLISM,2.2954796279179276e-10,8.263726660504539e-9,2.746784345922277,38,84,,Hallmark,4.58078541374474,turquoise,Fatty Acid Metabolism
GOBP_AMINO_ACID_CATABOLIC_PROCESS,9.724392029231908e-11,1.01598335289789e-8,3.7023409027193717,25,41,,GO:BP,8.460719814241486,turquoise,Amino Acid Catabolic Process
GOBP_LIPID_CATABOLIC_PROCESS,1.0221160491930484e-10,1.01598335289789e-8,3.190288330411066,31,59,,GO:BP,6.066584046867958,turquoise,Lipid Catabolic Process
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,1.9810850376334382e-10,1.7901804794614887e-8,3.1957047791893527,30,57,,GO:BP,6.07267645003494,turquoise,Alpha Amino Acid Metabolic Process
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,1.7506884929299055e-9,4.376721232324764e-8,2.4894540229885056,41,100,,GO Slim,3.8616463313642138,turquoise,Amino Acid Metabolic Process
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,2.802532357316496e-9,2.142859356286613e-7,4.793557168784029,15,19,,GO:BP,19.83108108108108,turquoise,Branched Chain Amino Acid Metabolic Process
GOBP_TRICARBOXYLIC_ACID_CYCLE,1.0286105918746233e-8,7.303135202309825e-7,4.128850574712644,17,25,,GO:BP,11.279833836858007,turquoise,Tricarboxylic Acid Cycle
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,1.3994520380112053e-8,1.088073959553712e-6,2.6364564428312156,33,76,,Reactome,4.195348837209302,turquoise,Mitochondrial Protein Degradation
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS,3.7581711437026255e-8,2.490414744560273e-6,3.2580599943930477,22,41,,GO:BP,6.2014853083629315,turquoise,Dicarboxylic Acid Metabolic Process
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.194693653152781e-7,7.550448575675006e-6,1.9461022693781316,50,156,,Hallmark,2.625997214131949,turquoise,OXPHOS
