gene,pathway,database,classification,logFC_Aging,logFC_Training_Old,pathway_pvalue
CAP1,Cytoskeleton & Motility,GO_Slim,Aging Up,0.6121,0.2854,0.3179
CDC42,DNA & Cell Cycle,GO_Slim,Aging Up,0.4154,-0.0849,0.9823
DDAH2,Development,GO_Slim,Aging Up,0.4748,0.0052,0.4873
YWHAZ,ECM & Adhesion,GO_Slim,Aging Up,0.3851,-0.0364,0.09513
NCL,Gene Expression,GO_Slim,Aging Up,0.482,0.0187,0.2865
TGM2,Gene Expression,GO_Slim,Aging Up,0.6188,0.3836,0.2865
C3,Immune & Inflammation,GO_Slim,Aging Up,0.6187,-0.0291,0.7558
IGHG2,Immune & Inflammation,GO_Slim,Aging Up,0.6643,0.1777,0.7558
ABHD11,Metabolism,GO_Slim,Aging Up,0.6796,0.0802,0.1703
ACADM,Metabolism,GO_Slim,Aging Up,0.6119,0.0959,0.1703
AKR7A2,Metabolism,GO_Slim,Aging Up,0.4583,-0.0054,0.1703
ALDH4A1,Metabolism,GO_Slim,Aging Up,0.4228,-0.0532,0.1703
CP,Metabolism,GO_Slim,Aging Up,0.6351,-0.0292,0.1703
CRAT,Metabolism,GO_Slim,Aging Up,0.449,-0.0445,0.1703
ECHS1,Metabolism,GO_Slim,Aging Up,0.4585,0.0094,0.1703
ETFB,Metabolism,GO_Slim,Aging Up,0.5514,-0.0436,0.1703
IDH2,Metabolism,GO_Slim,Aging Up,0.4028,0.0155,0.1703
PCCB,Metabolism,GO_Slim,Aging Up,0.4997,0.0241,0.1703
PGM5,Metabolism,GO_Slim,Aging Up,0.5045,-0.0733,0.1703
LONP1,Mitochondria & Energy,GO_Slim,Aging Up,0.4706,-0.0039,0.7448
TPM4,Muscle & Contractile,GO_Slim,Aging Up,0.6738,0.2016,0.04104
IBA57,Other,Other,Aging Up,0.6599,-0.1042,1
JPT2,Other,Other,Aging Up,0.7348,0.4141,1
TPSB2,Other,Other,Aging Up,0.8179,0.1098,1
CLEC3B,Protein Homeostasis,GO_Slim,Aging Up,0.6891,-0.0723,0.8862
CLU,Protein Homeostasis,GO_Slim,Aging Up,0.6378,-0.0913,0.8862
CTSB,Protein Homeostasis,GO_Slim,Aging Up,0.4832,0.1568,0.8862
GAA,Protein Homeostasis,GO_Slim,Aging Up,0.5263,-0.0621,0.8862
HP,Protein Homeostasis,GO_Slim,Aging Up,0.9334,-0.0604,0.8862
PPIA,Protein Homeostasis,GO_Slim,Aging Up,0.4735,0.0435,0.8862
DPYSL2,Transport,GO_Slim,Aging Up,0.3767,0.0364,0.5905
LAMTOR1,Transport,GO_Slim,Aging Up,0.5564,1e-4,0.5905
LRPAP1,Transport,GO_Slim,Aging Up,0.6243,-0.0031,0.5905
CLIC4,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.6376,0.2519,0.3179
DYNLT1,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.3729,0.2535,0.3179
FLNA,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.5931,0.2675,0.3179
FLNC,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.7706,0.2122,0.3179
MIEN1,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.5023,0.3171,0.3179
MSN,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.2906,0.2481,0.3179
MYOM3,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-1.3052,-0.0327,0.3179
NEB,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-1.4746,-0.0425,0.3179
NRAP,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.9053,0.3331,0.3179
SYNPO2,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.7581,0.038,0.3179
SYNPO2L,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-1.8304,0.0887,0.3179
UCHL1,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.7786,0.1236,0.3179
XIRP1,Cytoskeleton & Motility,GO_Slim,Rev. (Age Down),-0.7327,0.4336,0.3179
BANF1,DNA & Cell Cycle,GO_Slim,Rev. (Age Down),-0.5731,0.2038,0.9823
CARM1,DNA & Cell Cycle,GO_Slim,Rev. (Age Down),-0.8571,0.4087,0.9823
DCTN3,DNA & Cell Cycle,GO_Slim,Rev. (Age Down),-0.6529,0.2874,0.9823
PLEC,DNA & Cell Cycle,GO_Slim,Rev. (Age Down),-0.9558,-0.1588,0.9823
RPL24,DNA & Cell Cycle,GO_Slim,Rev. (Age Down),-0.6611,0.3757,0.9823
TTN,DNA & Cell Cycle,GO_Slim,Rev. (Age Down),-1.6986,0.0185,0.9823
ACTN1,ECM & Adhesion,GO_Slim,Rev. (Age Down),-2.0379,0.3834,0.09513
ACTN3,ECM & Adhesion,GO_Slim,Rev. (Age Down),-2.1254,-0.0166,0.09513
CAST,ECM & Adhesion,GO_Slim,Rev. (Age Down),-0.459,0.1904,0.09513
COL15A1,ECM & Adhesion,GO_Slim,Rev. (Age Down),-0.6087,0.314,0.09513
COL3A1,ECM & Adhesion,GO_Slim,Rev. (Age Down),-0.9545,0.3477,0.09513
CSRP1,ECM & Adhesion,GO_Slim,Rev. (Age Down),-0.5697,0.425,0.09513
FNDC3A,ECM & Adhesion,GO_Slim,Rev. (Age Down),-1.4686,-0.0159,0.09513
MYBPH,ECM & Adhesion,GO_Slim,Rev. (Age Down),-2.2342,1.7207,0.09513
MYOF,ECM & Adhesion,GO_Slim,Rev. (Age Down),-0.8863,0.0605,0.09513
MYOZ1,ECM & Adhesion,GO_Slim,Rev. (Age Down),-1.7495,0.0791,0.09513
NEXN,ECM & Adhesion,GO_Slim,Rev. (Age Down),-0.6038,0.279,0.09513
PREX1,ECM & Adhesion,GO_Slim,Rev. (Age Down),-0.8451,0.4448,0.09513
SNTA1,ECM & Adhesion,GO_Slim,Rev. (Age Down),-0.5291,0.0655,0.09513
TPM1,ECM & Adhesion,GO_Slim,Rev. (Age Down),-1.2591,0.3012,0.09513
CAPRIN1,Gene Expression,GO_Slim,Rev. (Age Down),-0.9019,0.2795,0.2865
EIF3C,Gene Expression,GO_Slim,Rev. (Age Down),-0.4911,0.1632,0.2865
HAT1,Gene Expression,GO_Slim,Rev. (Age Down),-1.6475,0.7992,0.2865
OBSCN,Gene Expression,GO_Slim,Rev. (Age Down),-1.0356,0.0452,0.2865
RPL10,Gene Expression,GO_Slim,Rev. (Age Down),-0.5252,0.3537,0.2865
RPL22,Gene Expression,GO_Slim,Rev. (Age Down),-0.57,0.3841,0.2865
RPL23A,Gene Expression,GO_Slim,Rev. (Age Down),-0.5915,0.2541,0.2865
RPL32,Gene Expression,GO_Slim,Rev. (Age Down),-0.6434,0.5106,0.2865
RPL35,Gene Expression,GO_Slim,Rev. (Age Down),-0.5784,0.2434,0.2865
RPL37A,Gene Expression,GO_Slim,Rev. (Age Down),-0.5423,0.4403,0.2865
RPL38,Gene Expression,GO_Slim,Rev. (Age Down),-0.4834,0.1241,0.2865
RPS10,Gene Expression,GO_Slim,Rev. (Age Down),-0.7401,0.2607,0.2865
RPS19,Gene Expression,GO_Slim,Rev. (Age Down),-0.3587,0.2204,0.2865
RPS21,Gene Expression,GO_Slim,Rev. (Age Down),-0.2976,0.2909,0.2865
RPS23,Gene Expression,GO_Slim,Rev. (Age Down),-0.6209,0.0822,0.2865
RPS3A,Gene Expression,GO_Slim,Rev. (Age Down),-0.4241,0.2682,0.2865
RPS7,Gene Expression,GO_Slim,Rev. (Age Down),-1.2008,0.2795,0.2865
SNRPD3,Gene Expression,GO_Slim,Rev. (Age Down),-0.3857,0.1732,0.2865
SPEG,Gene Expression,GO_Slim,Rev. (Age Down),-0.7823,-0.0995,0.2865
THRB,Gene Expression,GO_Slim,Rev. (Age Down),-1.6328,0.2689,0.2865
UTP15,Gene Expression,GO_Slim,Rev. (Age Down),-0.9473,0.1131,0.2865
VIM,Gene Expression,GO_Slim,Rev. (Age Down),-0.7439,0.1835,0.2865
DHRS7B,Immune & Inflammation,GO_Slim,Rev. (Age Down),-0.7864,-0.1268,0.7558
FLNB,Immune & Inflammation,GO_Slim,Rev. (Age Down),-0.8205,0.2589,0.7558
TRIM54,Immune & Inflammation,GO_Slim,Rev. (Age Down),-0.5735,0.0862,0.7558
ENO2,Metabolism,GO_Slim,Rev. (Age Down),-0.5022,0.1909,0.1703
GCLM,Metabolism,GO_Slim,Rev. (Age Down),-0.7118,0.1356,0.1703
GSTM1,Metabolism,GO_Slim,Rev. (Age Down),-1.0306,0.5993,0.1703
