gene,f3_class,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Reversal
MYH3,Aging Down,-1.4367,-0.4081,0.001289,0.216624
PVALB,Aging Down,-1.3114,-0.6534,0.020344,0.671005
CRYBG3,Aging Down,-1.2091,-0.2367,0.007048,0.220615
SYNM,Aging Down,-1.032,-0.1663,1.43e-4,0.059607
FLT1,Aging Down,-1.0221,0.0423,0.044737,0.163971
RPL34,Aging Down,-0.9934,-0.1673,0.003667,0.162571
MYH1,Aging Down,-0.9731,-0.1147,0.023205,0.239753
MYBPC2,Aging Down,-0.9473,0.111,0.016573,0.064723
HMOX1,Aging Down,-0.9468,-0.1799,0.002321,0.143655
RPS27A,Aging Down,-0.8966,-0.208,4.26e-4,0.137539
MT-ND4,Aging Down,-0.8165,-0.2179,4e-4,0.169395
NDUFA11,Aging Down,-0.765,-0.2221,0.007828,0.351858
TMX2,Aging Down,-0.7638,-0.0922,9.14e-4,0.070746
RPL35A,Aging Down,-0.7084,-0.0163,0.046337,0.22323
ABHD6,Aging Down,-0.6989,-0.0361,0.003372,0.082829
RPL27A,Aging Down,-0.6916,-0.0128,0.012214,0.12739
MYOM1,Aging Down,-0.6829,-0.0976,0.002763,0.138183
RBM3,Aging Down,-0.6806,0.0331,0.047268,0.167855
MYOM2,Aging Down,-0.6792,-0.1796,9.64e-4,0.204913
EMC3,Aging Down,-0.6754,-0.0309,0.006075,0.1019
MGST2,Aging Down,-0.6497,0.0962,0.018734,0.066444
CD151,Aging Down,-0.6442,-0.0854,0.020009,0.233183
CAPZA1,Aging Down,-0.6224,0.1067,0.018502,0.051782
CELF1,Aging Down,-0.6181,0.0687,0.014825,0.051639
LRMDA,Aging Down,-0.6017,0.0068,0.006931,0.079317
SCRN3,Aging Down,-0.6002,-0.1685,0.040951,0.44454
PDLIM5,Aging Down,-0.5509,-0.2521,0.013495,0.620737
TMEM38A,Aging Down,-0.549,-0.126,0.04197,0.431884
CAPN3,Aging Down,-0.5097,0.1161,0.03256,0.058033
NARS1,Aging Down,-0.4399,0.0159,0.03717,0.161147
STBD1,Aging Down,-0.4291,-0.0317,0.014687,0.179315
VAPB,Aging Down,-0.4098,-0.097,0.016197,0.356166
PSMD14,Aging Down,-0.3437,0.0497,0.034968,0.096427
HP,Aging Up,0.9334,-0.0604,0.009335,0.063719
TPSB2,Aging Up,0.8179,0.1098,0.002613,0.118981
JPT2,Aging Up,0.7348,0.4141,0.033521,0.735453
CLEC3B,Aging Up,0.6891,-0.0723,0.023462,0.055126
ABHD11,Aging Up,0.6796,0.0802,0.025514,0.249695
TPM4,Aging Up,0.6738,0.2016,0.002872,0.278688
IGHG2,Aging Up,0.6643,0.1777,0.026817,0.426227
IBA57,Aging Up,0.6599,-0.1042,0.024898,0.052826
CLU,Aging Up,0.6378,-0.0913,0.035867,0.093792
CP,Aging Up,0.6351,-0.0292,0.009195,0.057817
LRPAP1,Aging Up,0.6243,-0.0031,0.00817,0.061562
TGM2,Aging Up,0.6188,0.3836,0.048681,0.839241
C3,Aging Up,0.6187,-0.0291,0.04194,0.166814
CAP1,Aging Up,0.6121,0.2854,0.008062,0.594372
ACADM,Aging Up,0.6119,0.0959,0.001148,0.113649
LAMTOR1,Aging Up,0.5564,1e-4,0.012575,0.072353
ETFB,Aging Up,0.5514,-0.0436,0.007525,0.053141
GAA,Aging Up,0.5263,-0.0621,0.047222,0.129113
PGM5,Aging Up,0.5045,-0.0733,0.043539,0.110944
PCCB,Aging Up,0.4997,0.0241,0.032318,0.204982
CTSB,Aging Up,0.4832,0.1568,0.022027,0.483979
NCL,Aging Up,0.482,0.0187,0.028551,0.201922
DDAH2,Aging Up,0.4748,0.0052,0.031668,0.167948
PPIA,Aging Up,0.4735,0.0435,0.014114,0.191395
LONP1,Aging Up,0.4706,-0.0039,0.014566,0.117975
ECHS1,Aging Up,0.4585,0.0094,0.009969,0.115078
AKR7A2,Aging Up,0.4583,-0.0054,0.004608,0.064168
CRAT,Aging Up,0.449,-0.0445,0.013045,0.065304
ALDH4A1,Aging Up,0.4228,-0.0532,0.03356,0.103255
CDC42,Aging Up,0.4154,-0.0849,0.032925,0.066506
IDH2,Aging Up,0.4028,0.0155,0.017522,0.163497
YWHAZ,Aging Up,0.3851,-0.0364,0.023377,0.096532
DPYSL2,Aging Up,0.3767,0.0364,0.034569,0.275571
LMOD2,Rev. (Age Down),-2.2637,0.1565,0,0
MYBPH,Rev. (Age Down),-2.2342,1.7207,0,0
ACTN3,Rev. (Age Down),-2.1254,-0.0166,2e-6,0.001765
ACTN1,Rev. (Age Down),-2.0379,0.3834,0,1.4e-5
ACTN2,Rev. (Age Down),-1.9351,0.4933,1e-6,5e-6
SYNPO2L,Rev. (Age Down),-1.8304,0.0887,0,0
ACTN4,Rev. (Age Down),-1.753,0.3669,1e-6,1.8e-5
MYOZ1,Rev. (Age Down),-1.7495,0.0791,2.3e-5,0.0025959999999999998
TTN,Rev. (Age Down),-1.6986,0.0185,0,5e-6
LRBA,Rev. (Age Down),-1.6593,-0.2027,1.22e-4,0.040844
HAT1,Rev. (Age Down),-1.6475,0.7992,1.87e-4,6e-6
THRB,Rev. (Age Down),-1.6328,0.2689,1e-6,3.5e-5
DES,Rev. (Age Down),-1.5002,0.2096,0,5e-6
NEB,Rev. (Age Down),-1.4746,-0.0425,0,3.08e-4
FNDC3A,Rev. (Age Down),-1.4686,-0.0159,4.6e-4,0.034956
MUSTN1,Rev. (Age Down),-1.3625,0.7722,2.4e-5,0
TMX3,Rev. (Age Down),-1.3572,0.155,0.011606,0.009979
MICOS10,Rev. (Age Down),-1.3239,0.1616,0,5e-6
MYOM3,Rev. (Age Down),-1.3052,-0.0327,2e-6,0.002257
TPM1,Rev. (Age Down),-1.2591,0.3012,9.1e-5,3.55e-4
RPS7,Rev. (Age Down),-1.2008,0.2795,0,0
TNNI2,Rev. (Age Down),-1.1719,0.2674,1.51e-4,6.47e-4
DDI2,Rev. (Age Down),-1.1496,0.1422,1.19e-4,0.002443
TNNT3,Rev. (Age Down),-1.1102,0.2918,9.83e-4,0.002
TPM2,Rev. (Age Down),-1.048,0.2598,0.002715,0.005775
OBSCN,Rev. (Age Down),-1.0356,0.0452,0,9.2e-5
GSTM1,Rev. (Age Down),-1.0306,0.5993,0.115998,0.032295
KLHL40,Rev. (Age Down),-1.029,0.3362,3.59e-4,3.17e-4
MYH2,Rev. (Age Down),-1.0187,0.4817,0.004026,6.63e-4
BZW1,Rev. (Age Down),-1.0035,0.0382,6.6e-5,0.006161
TMOD4,Rev. (Age Down),-0.99,0.2434,0.00641,0.013035
PLEC,Rev. (Age Down),-0.9558,-0.1588,0,0.009879
COL3A1,Rev. (Age Down),-0.9545,0.3477,0.042803,0.030012
UTP15,Rev. (Age Down),-0.9473,0.1131,0.003652,0.024149
MYH13,Rev. (Age Down),-0.9145,0.2649,0.04857,0.038072
NRAP,Rev. (Age Down),-0.9053,0.3331,0.002091,0.001138
CAPRIN1,Rev. (Age Down),-0.9019,0.2795,0.006074,0.003064
MRPL9,Rev. (Age Down),-0.897,0.3138,0.008767,0.005969
MYOF,Rev. (Age Down),-0.8863,0.0605,1.4e-5,0.0014
MYL1,Rev. (Age Down),-0.877,0.4062,0.011786,0.003032
PYURF,Rev. (Age Down),-0.858,0.1396,0.007305,0.018865
CARM1,Rev. (Age Down),-0.8571,0.4087,0.001478,3.67e-4
PREX1,Rev. (Age Down),-0.8451,0.4448,0.002292,4.8e-5
FLNB,Rev. (Age Down),-0.8205,0.2589,5.32e-4,5.54e-4
MT-ND2,Rev. (Age Down),-0.8033,0.1431,0.00346,0.010863
DHRS7B,Rev. (Age Down),-0.7864,-0.1268,7e-5,0.048181
SPEG,Rev. (Age Down),-0.7823,-0.0995,9.6e-5,0.035231
UCHL1,Rev. (Age Down),-0.7786,0.1236,0.014695,0.046893
NDUFA1,Rev. (Age Down),-0.7741,0.2619,0.050163,0.034508
FLNC,Rev. (Age Down),-0.7706,0.2122,0.002059,0.003408
SYNPO2,Rev. (Age Down),-0.7581,0.038,8.1e-4,0.01855
MT-CO1,Rev. (Age Down),-0.7513,0.2848,0.013916,0.005971
VIM,Rev. (Age Down),-0.7439,0.1835,0.002733,0.005999
RPS10,Rev. (Age Down),-0.7401,0.2607,4.31e-4,2.55e-4
XIRP1,Rev. (Age Down),-0.7327,0.4336,0.038977,0.00527
EMC2,Rev. (Age Down),-0.7295,0.145,0.001703,0.005583
TES,Rev. (Age Down),-0.7267,0.3646,0.136731,0.038591
GCLM,Rev. (Age Down),-0.7118,0.1356,0.008474,0.020925
SQSTM1,Rev. (Age Down),-0.6958,0.118,1.22e-4,0.001139
RPL24,Rev. (Age Down),-0.6611,0.3757,0.001571,4.5e-5
DCTN3,Rev. (Age Down),-0.6529,0.2874,0.044635,0.006688
RPL32,Rev. (Age Down),-0.6434,0.5106,0.120955,0.009564
CLIC4,Rev. (Age Down),-0.6376,0.2519,0.00408,0.001594
SLC25A11,Rev. (Age Down),-0.6338,0.0447,0.002735,0.031106
RPS23,Rev. (Age Down),-0.6209,0.0822,0.009356,0.040026
SCO1,Rev. (Age Down),-0.6184,0.2707,0.025831,0.006224
FSD2,Rev. (Age Down),-0.6182,0.131,0.003776,0.008105
PSMD7,Rev. (Age Down),-0.6137,0.1784,5e-5,7.5e-5
SPAG9,Rev. (Age Down),-0.6136,0.1577,0.010319,0.013352
COL15A1,Rev. (Age Down),-0.6087,0.314,0.072614,0.022271
NEXN,Rev. (Age Down),-0.6038,0.279,0.075028,0.032446
MARCHF5,Rev. (Age Down),-0.6029,0.0949,0.019172,0.043678
ARHGAP1,Rev. (Age Down),-0.6004,0.4728,0.006074,1.3e-5
FLNA,Rev. (Age Down),-0.5931,0.2675,0.024598,0.008813
RPL23A,Rev. (Age Down),-0.5915,0.2541,0.008189,0.002725
EEFSEC,Rev. (Age Down),-0.5802,0.3665,0.098759,0.008352
RPL35,Rev. (Age Down),-0.5784,0.2434,0.043643,0.022502
NT5C1A,Rev. (Age Down),-0.5775,0.2613,0.06668,0.031041
TRIM54,Rev. (Age Down),-0.5735,0.0862,0.009789,0.038001
BANF1,Rev. (Age Down),-0.5731,0.2038,0.034371,0.026715
RPL22,Rev. (Age Down),-0.57,0.3841,0.012227,3.05e-4
CSRP1,Rev. (Age Down),-0.5697,0.425,0.102133,0.009476
RPL37A,Rev. (Age Down),-0.5423,0.4403,0.077566,0.002826
SNTA1,Rev. (Age Down),-0.5291,0.0655,0.010727,0.048892
RPL10,Rev. (Age Down),-0.5252,0.3537,0.057721,0.005314
CAMK2D,Rev. (Age Down),-0.5222,0.5428,0.049367,1.06e-4
MIEN1,Rev. (Age Down),-0.5023,0.3171,0.105444,0.009507
ENO2,Rev. (Age Down),-0.5022,0.1909,0.024857,0.015752
PPP1R3A,Rev. (Age Down),-0.4951,0.1807,0.010148,0.006627
EIF3C,Rev. (Age Down),-0.4911,0.1632,0.011295,0.009994
RPL38,Rev. (Age Down),-0.4834,0.1241,0.02994,0.044876
TYMP,Rev. (Age Down),-0.4751,0.1317,0.039884,0.041731
CAST,Rev. (Age Down),-0.459,0.1904,0.03315,0.016959
PHKA2,Rev. (Age Down),-0.4404,0.3587,0.060225,0.001755
RPS3A,Rev. (Age Down),-0.4241,0.2682,0.048175,0.005354
NGLY1,Rev. (Age Down),-0.4135,0.2806,0.114272,0.011615
PHKB,Rev. (Age Down),-0.3971,0.2263,0.064051,0.013733
CSRP3,Rev. (Age Down),-0.3925,0.5084,0.346471,0.013776
RPL23,Rev. (Age Down),-0.3917,0.2065,0.103101,0.037893
SNRPD3,Rev. (Age Down),-0.3857,0.1732,0.061042,0.027131
NAMPT,Rev. (Age Down),-0.3762,0.3942,0.368179,0.048569
DYNLT1,Rev. (Age Down),-0.3729,0.2535,0.074596,0.006476
RPS19,Rev. (Age Down),-0.3587,0.2204,0.117511,0.027635
RPS15,Rev. (Age Down),-0.3422,0.3738,0.24354,0.010324
EEF1G,Rev. (Age Down),-0.3226,0.1649,0.042962,0.011571
S100A13,Rev. (Age Down),-0.3067,0.6614,0.687034,0.042243
