cluster,theme,n_proteins
C1,Metabolic & Redox Regulation,97
C1,Intracellular Transport & Signaling,71
C1,Other,39
C1,Immune & Complement,35
C2,Mitochondrial & Energy Metabolism,229
C2,Metabolic & Redox Regulation,11
C2,Other,6
C3,Proteostasis & Stress Response,127
C3,Cytoskeletal & Cell Division,67
C3,Intracellular Transport & Signaling,17
C3,Other,7
C4,Muscle Structure & Myogenesis,49
C4,ECM & Tissue Remodeling,48
C4,Other,46
C4,Cytoskeletal & Cell Division,15
C4,Intracellular Transport & Signaling,9
