cluster,mean_logFC,median_logFC,n_sig_FDR05,n_total,contrast
1,-0.040356573425977496,-0.0259078961144574,131,1189,Training_Young
2,-0.02560799460467437,-0.00251660703120749,146,935,Training_Young
1,0.007941986895186983,0.00536138014572529,4,1189,Training_Old
2,0.020911840562291655,0.0104628729612841,0,935,Training_Old
1,-0.0520163748584486,-0.0291986940006872,247,1189,Aging
2,-0.04355260798979069,-0.00213381451566619,192,935,Aging
1,0.04829856032116453,0.0185671834740884,0,1189,Interaction
2,0.04651983516696604,-0.00959471906410769,0,935,Interaction
