k,concordance,method,contrast
1,1,cycloess_none,Training_Young
2,0.5,cycloess_none,Training_Young
3,0.6666666666666666,cycloess_none,Training_Young
4,0.75,cycloess_none,Training_Young
5,0.6,cycloess_none,Training_Young
6,0.8333333333333334,cycloess_none,Training_Young
7,0.7142857142857143,cycloess_none,Training_Young
8,0.625,cycloess_none,Training_Young
9,0.6666666666666666,cycloess_none,Training_Young
10,0.6,cycloess_none,Training_Young
11,0.6363636363636364,cycloess_none,Training_Young
12,0.75,cycloess_none,Training_Young
13,0.8461538461538461,cycloess_none,Training_Young
14,0.8571428571428571,cycloess_none,Training_Young
15,0.8666666666666667,cycloess_none,Training_Young
16,0.875,cycloess_none,Training_Young
17,0.8235294117647058,cycloess_none,Training_Young
18,0.7777777777777778,cycloess_none,Training_Young
19,0.7368421052631579,cycloess_none,Training_Young
20,0.75,cycloess_none,Training_Young
21,0.7619047619047619,cycloess_none,Training_Young
22,0.7727272727272727,cycloess_none,Training_Young
23,0.7391304347826086,cycloess_none,Training_Young
24,0.7083333333333334,cycloess_none,Training_Young
25,0.72,cycloess_none,Training_Young
26,0.6923076923076923,cycloess_none,Training_Young
27,0.7037037037037037,cycloess_none,Training_Young
28,0.7142857142857143,cycloess_none,Training_Young
29,0.7586206896551724,cycloess_none,Training_Young
30,0.7666666666666667,cycloess_none,Training_Young
31,0.7741935483870968,cycloess_none,Training_Young
32,0.78125,cycloess_none,Training_Young
33,0.7575757575757576,cycloess_none,Training_Young
34,0.7647058823529411,cycloess_none,Training_Young
35,0.7714285714285715,cycloess_none,Training_Young
36,0.7777777777777778,cycloess_none,Training_Young
37,0.7567567567567568,cycloess_none,Training_Young
38,0.7631578947368421,cycloess_none,Training_Young
39,0.7692307692307693,cycloess_none,Training_Young
40,0.775,cycloess_none,Training_Young
41,0.7804878048780488,cycloess_none,Training_Young
42,0.8095238095238095,cycloess_none,Training_Young
43,0.7906976744186046,cycloess_none,Training_Young
