contrast,median_absLFC,ci_lower,ci_upper,boot_se,n_proteins
Training_Young,0.13885486390653412,0.1324264251382523,0.14604804139372618,0.0036003189060484866,2113
Training_Old,0.09198388672367663,0.0867775764654084,0.09803031693388853,0.0028649532156655813,2124
Aging,0.18173983011215,0.17299242998184994,0.1915684379951763,0.004609552575241027,2115
Interaction,0.12912508277846513,0.12209048402366209,0.13732006896880833,0.004052045496222806,2113
