pathway,database,gene_count,fold_enrichment,pvalue,p_adjust,genes
Muscle & Contractile,Consolidated,43,5.801,7.323e-17,2.197e-16,CAMK2D/CAPN3/CDC42/CSRP1/CSRP3/DES/GAA/GPD1L/GSTO1/KLHL40/LMOD2/MYBPC2/MYBPH/MYH1/MYH13/MYH2/MYH3/MYL1/MYOF/MYOM1/MYOM2/MYOM3/MYOZ1/NEB/OBSCN/PDLIM1/PDLIM5/PGM5/PLEC/SNTA1/SOD2/SPAG9/SYNM/SYNPO2L/TMEM38A/TMOD4/TNNI2/TNNT3/TPM1/TPM2/TPM4/TTN/UCHL1
ECM & Adhesion,Consolidated,12,6.095,1.245e-5,1.868e-5,ACTN1/ACTN2/ACTN3/ACTN4/CAP1/FBN1/FLNC/MAPK13/MSN/NEXN/NRAP/SPEG
Metabolism,Consolidated,17,0.524,0.9991,0.9991,ABHD16A/ABHD6/ACADM/ACADS/ACAT1/CPT2/CRAT/ECHS1/ETFA/ETFB/HADHA/HADHB/MCEE/MGST2/PCCB/PLIN5/PRDX6
Other,Other,174,NA,1,1,ABHD11/ADH1B/AKR7A2/ALDH4A1/ALDH5A1/ALDH6A1/ANXA3/ARHGAP1/ARHGDIB/ASS1/BANF1/BZW1/C3/CA3/CAPRIN1/CAPZA1/CARM1/CAST/CD151/CELF1/CLEC3B/CLIC4/CLU/COL15A1/COL3A1/COPS7B/COQ5/COQ7/CP/CRYBG3/CTSB/CTSD/CTSZ/DCTN3/DCXR/DDAH2/DDI2/DHRS7B/DPYSL2/DYNLT1/EEF1G/EEFSEC/EIF3C/EMC2/EMC3/ENO2/EPDR1/EWSR1/FLNA/FLNB/FLT1/FNDC3A/FSD2/FXN/GALK1/GCLM/GPT2/GPX3/GSTM1/HAT1/HMGB1/HMGB2/HMGCL/HMOX1/HP/HPRT1/IBA57/IDH2/IDI1/IGHG2/JPT2/LAMTOR1/LONP1/LRBA/LRG1/LRMDA/LRPAP1/MAOA/MAOB/MARCHF5/MAVS/MCCC1/MDP1/MICOS10/MICU1/MIEN1/MPST/MRPL9/MRPS36/MT-CO1/MT-ND2/MT-ND4/MT2A/MUSTN1/NAE1/NAMPT/NARS1/NAXD/NCL/NDUFA1/NDUFA11/NGLY1/NT5C1A/NXN/OTUB1/PCYT2/PHKA2/PHKB/PHPT1/PLIN2/PLIN4/PNPO/PPIA/PPP1R3A/PREX1/PRUNE1/PSAP/PSMD14/PSMD7/PVALB/PYURF/RBM3/RNF114/RPL10/RPL22/RPL23/RPL23A/RPL24/RPL27A/RPL32/RPL34/RPL35/RPL35A/RPL37A/RPL38/RPS10/RPS15/RPS19/RPS21/RPS23/RPS27A/RPS3A/RPS7/S100A13/SCO1/SCRN3/SELENBP1/SLC25A11/SLC25A46/SLC27A1/SNRPD3/SQSTM1/STBD1/SUOX/SYNE2/SYNPO2/TES/TGM2/THRB/TLN2/TMPO/TMX2/TMX3/TPSB2/TRIM54/TST/TYMP/UBE2K/UTP15/VAPB/VIM/VWA8/XIRP1/YWHAZ
