uniprot_id,protein,gene,description,OP_S06_Pre,OP_S11_Pre,OP_S12_Pre,OP_S17_Pre,O_S05_Pre,O_S06_Pre,O_S07_Pre,O_S10_Pre,O_S16_Pre,O_S17_Pre,O_S24_Pre,O_S28_Pre,O_S29_Pre,O_S32_Pre,O_S35_Pre,OP_S06_Post,OP_S11_Post,OP_S12_Post,OP_S17_Post,O_S05_Post,O_S06_Post,O_S07_Post,O_S10_Post,O_S16_Post,O_S17_Post,O_S24_Post,O_S28_Post,O_S29_Post,O_S32_Post,O_S35_Post,YP_S14_Pre,YP_S45_Pre,YP_S56_Pre,Y_S01_Pre,Y_S07_Pre,Y_S10_Pre,Y_S11_Pre,Y_S16_Pre,Y_S28_Pre,Y_S30_Pre,Y_S31_Pre,Y_S32_Pre,Y_S34_Pre,Y_S35_Pre,Y_S36_Pre,Y_S40_Pre,YP_S14_Post,YP_S45_Post,YP_S56_Post,Y_S01_Post,Y_S05_Post,Y_S10_Post,Y_S11_Post,Y_S16_Post,Y_S28_Post,Y_S30_Post,Y_S31_Post,Y_S32_Post,Y_S34_Post,Y_S35_Post,Y_S36_Post,Y_S40_Post,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,pi_score,sig_pi
Q9BV79,MECR_HUMAN,MECR,"Enoyl-[acyl-carrier-protein] reductase, mitochondrial",20.59920976424416,21.362081422356763,21.36462065258619,21.7691248109407,21.50634159005731,21.75322535576867,20.3679194306061,20.893173375943732,21.42487834939857,21.175815485536436,21.30626884627988,20.92689818085978,21.56631699229941,21.692866761717205,21.648002951101013,20.766191724809932,21.608894922783257,21.186789914242556,21.548108459262583,21.47803811166636,20.908659081174573,21.267389612676176,21.012758287920686,21.576829988656197,21.58361947285564,21.52012880230892,21.10216436789307,21.016932846076124,20.917185931247666,20.94963381694217,21.34853041150317,20.636280575571675,21.281792931486272,21.073523958803325,20.702752158808728,20.592646333744092,21.35450055559813,20.914183602042876,21.360561571968137,20.78477182988103,21.271497093168566,20.875377053058127,21.416357722556945,20.720132113495488,20.832027954380127,21.62342600634675,21.33076594636472,20.868508321955836,20.65715282915191,21.215028025039615,21.62727986258211,21.0766019692844,21.623915570385495,21.30812623699893,21.071807822126623,20.90739499906144,20.950907415120746,20.88107133458231,20.844307641842686,20.80341492731314,20.767802574138805,20.694452801566328,0.23078064568088763,-0.01960668811581101,0.48116797947758627,21.148660797744203,1.8424283717052152,-4.7158134616435055,0.07019358320875847,0.22560562746981366,0.5416862004048922,0
Q9BV86,NTM1A_HUMAN,NTMT1,N-terminal Xaa-Pro-Lys N-methyltransferase 1,16.746754845607125,16.915145172666847,16.608144224440068,17.203187015875123,16.065219608918998,17.420914677241704,NA,17.528693831930624,17.249084877028043,17.077285538150107,16.32953321981203,16.990046486121685,17.135446016431906,17.485811931721525,17.699797010739342,17.104195387487938,18.228048318826545,17.17970685157939,16.40495245527227,17.272817334389607,17.359741322744824,17.67662616847366,16.390061026434303,17.080163773307483,17.780473635888644,17.00603046874169,17.350351734790813,17.483665032529537,17.23720926941766,17.48583414190848,NA,16.82498481527996,15.968777622386414,NA,NA,16.66645125997138,NA,17.49182582795,17.35895294639119,16.341708094240204,16.68559580714788,15.714407748116033,NA,16.174217591546753,17.23088280597766,16.467080609497845,NA,16.178576022181716,NA,16.13194439980944,16.487234457252555,NA,17.16984382973605,NA,NA,15.6913106797716,16.63194562746669,NA,16.619632852257737,16.714594638408542,16.963868321399776,16.857989919624046,0.40533140871566076,0.010417921387124884,0.8002448960441966,16.917335345097833,2.0615232769071623,-4.237827373380602,0.04446890192850626,0.17225591131646656,0.2831488475616146,0
Q9BVC6,TM109_HUMAN,TMEM109,Transmembrane protein 109,21.60195273238183,21.194473074369583,21.72160827510315,21.125695757543145,21.87685198083719,21.258882719909177,21.98631440504094,21.63985861141265,21.860014481794245,21.579339687398942,21.66946119548996,20.98550394945119,21.13892431935552,20.67355257397179,21.430283596479224,21.71608428606618,20.530635967672584,21.290927392756156,21.291616767455253,21.387023298905696,21.357712050542315,21.423239463986945,21.52437507083633,21.43092465398844,21.13968730324968,21.537320122371224,21.043213724703865,21.362788423388192,21.401051213451428,20.53464725329778,21.525643000605257,21.787587058794163,21.128553281059173,21.662284805981336,22.179162492585775,22.336156420596115,21.992558365165753,21.389133255684975,21.46336038992348,21.292748264674454,21.003727516756907,21.66391256340376,22.263490271891097,21.6707686724327,21.70254929728784,20.919530290364772,21.169870826321443,21.799666230138055,21.254775120403927,21.44531765043204,21.92529751625536,22.16712014369703,20.87976737443375,21.469502746127677,21.99396959165669,21.72823665642087,21.343017615846623,21.309704276225077,21.5304714679537,21.159100101743107,21.099278654464545,21.164945501161423,-0.18219375067863197,-0.4512914938676815,0.08690399251041758,21.45379309312419,-1.353402596106058,-5.4537029274146,0.18083927524922616,0.40007852212564154,0.7322904693472695,0
Q9BVK6,TMED9_HUMAN,TMED9,Transmembrane emp24 domain-containing protein 9,20.346097539043804,21.02516153985936,20.999223914658845,20.029584862775643,20.83006150173441,20.978499836485533,20.496145432717075,20.898104922956495,20.958750943305255,21.0530247301601,20.223339960739736,21.05303903068143,20.856881260313912,20.985907785118417,20.663373281884684,20.682515606705728,21.11896831628796,20.87928033282467,NA,20.762536566321113,21.13992951852641,19.73246056559332,20.652159125461655,20.71662711362065,20.662866444808884,20.613641429098475,20.312406332936643,21.684352937321897,21.267128235684854,21.17272078760517,20.124004677073884,NA,20.852029493784,20.44392762520592,20.407257507459573,21.336400462856236,NA,20.678340913291542,20.002664333141528,21.33352015334153,20.771129839816524,20.87056527533565,21.038831228323023,20.248150283424575,20.219772569015316,20.648818565877395,20.784607222651037,NA,20.98606773953623,20.31366961091577,NA,21.522090768957632,NA,21.20788537400041,21.48314569214778,21.292175000723045,20.558531277251543,20.754072973596426,NA,20.322068104935223,20.05419643985481,20.804580417628895,0.11871217940421985,-0.18961847723289382,0.42704283604133353,20.760968971006864,0.77158210004069006,-6.017543475208688,0.4436632170633651,0.654940977016475,0.9080315587680946,0
Q9BVV7,TIM21_HUMAN,TIMM21,Mitochondrial import inner membrane translocase subunit Tim21,17.728316946183,18.259178440283865,18.22303410931972,19.226202819230625,17.508955381305558,19.125265277747484,17.60569405283177,18.0049464359439,17.819248493721744,18.294920982280157,17.992896602577083,18.168232699899537,18.667534955214407,18.06740743362097,19.051598980732464,17.768163999001093,18.90927151046061,18.346832396068276,18.962435595761622,18.240865899053095,17.99596789235178,18.34582296928395,18.043214735403037,18.548270720039465,18.513006983411955,18.353805628038508,18.649605981113307,17.956153000058745,18.098403558808233,18.308599303437084,18.4346520127962,17.747773930781516,18.189714770023095,NA,NA,NA,NA,18.07900417747063,18.16813626803612,18.33763858830173,18.227374459336065,17.849553152824587,NA,18.081473024435976,17.618903467069032,18.06477785350713,17.82144063494792,17.681165811492356,17.290234783640155,18.803271502039163,18.398686047692102,NA,18.62049526532899,18.184640039490542,17.688240097110786,18.15649794304464,17.744856531570885,18.151357704434258,18.550230990248533,18.158870731487156,17.86264913914498,17.747172910212495,0.1223815004414135,-0.20450461926931707,0.44926762015214405,18.186476171779468,0.7499783417528159,-5.976905952353697,0.45640595325441247,0.6629853620822446,0.9084706498873939,0
Q9BW30,TPPP3_HUMAN,TPPP3,Tubulin polymerization-promoting protein family member 3,21.630522151929323,22.067280801473142,20.730409735497837,20.21606173265725,20.456272482301696,20.320016020296787,21.699758295646372,20.289065530094312,20.74065080678465,21.087131203992925,21.89147406237415,NA,21.61262587468618,20.34307231229568,21.285757942991076,21.431776155405235,21.675167529498644,20.722271112249295,NA,20.913289502920097,22.588528246033658,20.894796762174305,20.915826280165852,21.20296497242059,NA,21.412103992813,NA,20.39702056048677,20.455326530541395,20.76616102840585,20.585568523790272,NA,21.225403876889505,21.196213898307963,NA,20.772871818691147,NA,20.654251305544346,NA,20.98820598453721,NA,NA,NA,NA,20.34057081280096,20.45410630202908,20.334483648955334,NA,21.72024339095052,20.342469335303107,NA,22.81842866550213,NA,NA,20.64827456865571,21.110882253474987,NA,20.75773682398843,NA,20.66066401628166,21.05205939533539,20.954297431432167,0.2858843303380958,-0.2657039087435332,0.8374725694197248,21.008228719968315,1.0445363940125816,-5.620051799473073,0.3019393698200173,0.538450056635191,0.7100962258317794,0
Q9BW91,NUDT9_HUMAN,NUDT9,"ADP-ribose pyrophosphatase, mitochondrial",16.279065473754898,16.0819571039683,16.233314026183137,16.195780506243896,15.965609023757068,16.004754226728895,15.660836485960786,16.561005279470386,16.171415876347115,16.195795424055476,16.791598116331706,15.71819799000344,16.317562425167797,NA,16.43189381384555,16.071623640398837,16.139949223177656,16.254234232715326,16.44848668759602,16.10307976348365,15.442105641703211,16.275285598658837,16.157884417860032,16.295137649146483,16.39582937574016,16.47150240579356,15.617243470510592,15.813382575706164,16.00118601498476,16.302654371775464,NA,NA,16.062550155144027,15.697783407616614,NA,NA,16.537381215469228,16.44670752403562,16.128129169962655,15.457380867453514,NA,16.349082943224225,NA,16.139683316908368,16.282176479792472,16.22919262713431,15.961322764483144,NA,16.029660713311355,15.793455954414275,NA,16.857445649301567,NA,16.30629472555022,NA,16.328251134777467,NA,15.675795703663608,16.003796121584482,16.209435507873465,16.181981940778456,15.46185154987436,0.034911302360633556,-0.23536066696718966,0.30518327168845677,16.130754606268457,0.25944481474284087,-6.177891770828845,0.7963568679118354,0.8939993501239553,0.9920819361352644,0
Q9BWH2,FUND2_HUMAN,FUNDC2,FUN14 domain-containing protein 2,24.230655134351924,24.221619358794676,24.466888180692653,24.885710521193,24.641095314940944,24.493633847542895,24.70136695426997,24.19641758999836,24.343682213953088,24.47438925423414,24.65498819904471,24.137353886919875,24.33406434364844,23.962283474072677,24.6680756988957,24.470172834451695,23.778294526056925,24.53031011619066,24.56187215427576,24.01428163515161,24.02401765586765,24.13186095379839,24.53684605882646,23.94879441630082,24.34366247440705,24.64760088539642,24.46570439847876,23.721597635092877,24.218925461261016,23.989816448844987,24.54207957867363,24.39774031420618,24.474527589577686,24.501509820441385,24.63862121892161,24.74186323226199,24.793200664511357,24.398919084129773,24.359131737342256,24.693735340013987,23.89111418890381,24.454836811926288,24.57031346285268,24.417225664644437,24.289846248308542,24.428899660579273,24.80876531067028,24.38134843691585,24.391203794648103,24.55479501792021,25.15118272546435,24.976195705447974,23.61273304230773,24.515409270440067,24.40647765673688,24.70740186813539,24.099377686006697,24.672539175559933,24.418267203753047,24.318633868581905,24.19782111390886,24.236872367221867,-0.05906465451724685,-0.272161338033739,0.15403202899924526,24.400622104644643,-0.5540571473199477,-6.191763927375362,0.5815319905411424,0.7625171481677099,0.9684888421943056,0
Q9BX66,SRBS1_HUMAN,SORBS1,Sorbin and SH3 domain-containing protein 1,NA,18.69826414691314,17.2940149934735,NA,17.378197086576982,18.351927451108885,NA,18.078482197054175,18.72460822367471,18.71379403588043,NA,18.526362317351143,19.114854022486657,18.621072469668793,NA,NA,17.37229725343735,NA,17.518913318903554,18.162179078850357,16.91894813230275,18.31147219343328,NA,19.24766882978335,18.362945549936057,NA,NA,18.366869965921794,18.39556086454608,18.116678020378473,NA,18.46074468678831,NA,18.925569267928314,NA,NA,NA,NA,18.05131217254872,NA,NA,NA,NA,18.094248042049212,NA,NA,NA,NA,NA,NA,NA,17.881289441222265,NA,NA,NA,17.182819702454392,NA,17.222835025016096,18.018168558672677,NA,NA,NA,-0.038118877071212864,-0.7127134671163715,0.6364757129739458,18.14686060887005,-0.11574397120220092,-5.864256498261476,0.9086809428936622,0.9576380707570887,0.9963563431853508,0
Q9BX68,HINT2_HUMAN,HINT2,"Histidine triad nucleotide-binding protein 2, mitochondrial",21.590557397698937,21.54684243005673,21.964222661607632,22.25505904582781,22.082078414892848,22.172291735575826,21.562597038170576,21.60064909699682,21.493019373606497,21.847387020790386,22.136955913128705,21.443830805325835,21.597713104518174,21.95840912319419,22.297143804011,21.705629849045874,21.4634644298412,21.709007714572365,22.29087022624309,21.555838591972428,21.04504667850148,21.861127635254995,21.775563511019573,21.974374007365416,22.09406174395436,22.0707044483969,21.65814519133861,21.39484259501312,21.33483379070041,21.071485320151176,21.851661641043716,21.113344599381396,21.60530993427983,21.06336688406029,23.46037528716369,23.268464358074255,23.71313377168418,22.19497138020403,21.515161262225973,21.38194025943558,21.818028564258977,21.507161660614216,22.021031364850455,21.44484610142025,21.22009750717365,21.71166409036354,21.707079738827847,21.415272689811378,21.37356689248916,21.5181109984942,22.87708724980976,22.972803470330312,22.014311594194005,22.072767063868195,21.472617784503427,21.4158388386045,21.27316109794135,21.611669553777386,21.503711637276112,21.904861349056027,21.27291366263907,21.041281533157033,-0.11393717342780008,-0.4966430443807756,0.26876869752517546,21.7885704277385,-0.595119116434568,-6.1686443796590025,0.5539290776129064,0.7410246673948748,0.9349101881510872,0
