gene,log2_fold_change,neg_log10_pvalue,pi_score,adjusted_pvalue,direction
ACTN1,-2.0379,3.1123,0,0.012098,Down
DES,-1.5002,5.1163,0,5.99e-4,Down
NEB,-1.4746,5.1759,0,5.75e-4,Down
RPS7,-1.2008,7.0759,0,5.1e-5,Down
MYBPH,-2.2342,3.8399,0,0.004132,Down
PLEC,-0.9558,6.6639,0,6.6e-5,Down
MICOS10,-1.3239,5.6563,0,3.88e-4,Down
OBSCN,-1.0356,6.9691,0,5.1e-5,Down
LMOD2,-2.2637,5.2439,0,5.57e-4,Down
TTN,-1.6986,6.0614,0,2.02e-4,Down
SYNPO2L,-1.8304,6.8071,0,5.5e-5,Down
CTSZ,1.0453,6.9227,0,5.1e-5,Up
ACTN4,-1.753,3.3807,1e-6,0.007929,Down
THRB,-1.6328,3.7646,1e-6,0.004601,Down
ACTN2,-1.9351,3.0832,1e-6,0.012746,Down
ACTN3,-2.1254,2.6872,2e-6,0.024061,Down
MYOM3,-1.3052,4.3722,2e-6,0.002003,Down
PDLIM1,1.0193,5.4846,3e-6,4.66e-4,Up
IDI1,0.8735,6.019,6e-6,2.02e-4,Up
HMGB2,0.7617,6.4634,1.2e-5,9.1e-5,Up
MYOF,-0.8863,5.4812,1.4e-5,4.66e-4,Down
MYOZ1,-1.7495,2.6476,2.3e-5,0.02546,Down
MUSTN1,-1.3625,3.3938,2.4e-5,0.007765,Down
PSMD7,-0.6137,7.0068,5e-5,5.1e-5,Down
LRG1,1.0802,3.9374,5.6e-5,0.003646,Up
BZW1,-1.0035,4.1683,6.6e-5,0.002556,Down
DHRS7B,-0.7864,5.2819,7e-5,5.57e-4,Down
PLIN2,1.1196,3.6368,8.5e-5,0.005484,Up
TPM1,-1.2591,3.2082,9.1e-5,0.010486,Down
SPEG,-0.7823,5.1376,9.6e-5,5.93e-4,Down
MAOA,0.7757,5.1679,9.8e-5,5.75e-4,Up
SOD2,0.8246,4.8125,1.08e-4,0.001051,Up
OTUB1,0.5169,7.6114,1.16e-4,5.1e-5,Up
DDI2,-1.1496,3.4126,1.19e-4,0.007644,Down
LRBA,-1.6593,2.3583,1.22e-4,0.038462,Down
SQSTM1,-0.6958,5.6225,1.22e-4,3.88e-4,Down
SYNM,-1.032,3.7265,1.43e-4,0.004695,Down
TNNI2,-1.1719,3.2603,1.51e-4,0.009844,Down
HAT1,-1.6475,2.2636,1.87e-4,0.043786,Down
