quadrant,max_neg_log10_pvalue,n_hotspot_genes,n_ora_pathways,matrix_rows,matrix_cols,n_shared_genes
Concordant_Up,35.06,160,44,213,213,2113
Concordant_Down,31.84,439,4,213,213,2113
Discordant_YoungUp_OldDown,37.52,214,0,213,213,2113
Discordant_YoungDown_OldUp,27.15,311,4,213,213,2113
