pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,ID,p.adjust,GeneRatio,geneID
REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,4.3675295660547894e-8,9.464436569640729e-5,2.4171716547118476,37,104,,Reactome,3.4968406144460182,Discordant (Y Down / O Up),Respiratory Electron Transport,REACTOME_RESPIRATORY_ELECTRON_TRANSPORT,9.464436569640729e-5,37/311,COQ10A/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A2/CYC1/GOT2/HSCB/MT-CO1/MT-ND2/MT-ND5/NDUFA1/NDUFA10/NDUFA6/NDUFA7/NDUFAF4/NDUFB5/NDUFB8/NDUFB9/NDUFC2/NDUFS2/NDUFV3/NUBPL/PYURF/SCO1/SFXN4/SLC25A12/SLC25A13/TIMM21/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ
WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,6.916659381328463e-7,6.974466502843434e-4,3.6235798499464096,16,30,,WikiPathways,6.9268765133171915,Discordant (Y Down / O Up),Striated Muscle Contraction Pathway,WP_STRIATED_MUSCLE_CONTRACTION_PATHWAY,6.974466502843434e-4,16/311,ACTA1/ACTN2/ACTN4/DES/MYBPC1/MYBPC2/MYL1/MYL2/MYL9/TNNC1/TNNC2/TNNI2/TNNT3/TPM1/TPM2/TPM3
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,9.655468162681265e-7,6.974466502843434e-4,2.5031308173971905,28,76,,GO:BP,3.615429917550059,Discordant (Y Down / O Up),ATP Synthesis Coupled Electron Transport,GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,6.974466502843434e-4,28/311,CHCHD2/COX5A/COX5B/COX6A2/COX6B1/COX6C/COX7A2/CYC1/GHITM/MT-CO1/MT-ND2/MT-ND5/NDUFA1/NDUFA10/NDUFA6/NDUFA7/NDUFB5/NDUFB8/NDUFB9/NDUFC2/NDUFS2/NDUFV3/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C,1.1309222639220947e-4,0.035010122084559704,4.755948553054663,7,10,,GO:BP,13.80811403508772,Discordant (Y Down / O Up),Mitochondrial Electron Transport Ubiquinol...,GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_UBIQUINOL_TO_CYTOCHROME_C,0.035010122084559704,7/311,CYC1/UQCRB/UQCRC1/UQCRC2/UQCRFS1/UQCRH/UQCRQ
