pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,ID,p.adjust,GeneRatio,geneID
GOBP_CELL_CELL_RECOGNITION,1.384150123733954e-7,2.0637678344873254e-4,7.864764267990075,9,13,,GO:BP,24.444915254237287,Concordant Up,Cell Cell Recognition,GOBP_CELL_CELL_RECOGNITION,2.0637678344873254e-4,9/186,CCT2/CCT3/CCT4/CCT5/CCT7/CCT8/LGALS3/MSN/TCP1
GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,1.1360170000096685e-6,5.818595783462115e-4,7.5734767025089615,8,12,,GO:BP,21.60674157303371,Concordant Up,Positive Regulation Of DNA Biosynthetic Pr...,GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,5.818595783462115e-4,8/186,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/TCP1
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,2.7321801802276994e-6,5.818595783462115e-4,6.9909015715467335,8,13,,GO:BP,17.27640449438202,Concordant Up,Positive Regulation Of Telomere Maintenanc...,GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,5.818595783462115e-4,8/186,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/TCP1
GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,1.7496444503182182e-6,5.818595783462115e-4,6.390120967741935,9,16,,GO:BP,13.946731234866828,Concordant Up,RNA Templated DNA Biosynthetic Process,GOBP_RNA_TEMPLATED_DNA_BIOSYNTHETIC_PROCESS,5.818595783462115e-4,9/186,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/HSP90AB1/TCP1
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,2.186476110088548e-6,5.818595783462115e-4,4.078025916735594,14,39,,GO:BP,6.192558139534884,Concordant Up,Chaperone Mediated Protein Folding,GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,5.818595783462115e-4,14/186,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/ERO1A/HSP90AB1/HSPA5/HSPB1/HSPB6/TCP1/UNC45B
GOBP_PROTEIN_FOLDING,1.1923897704967024e-6,5.818595783462115e-4,2.9031660692951013,23,90,,GO:BP,3.9172236974636023,Concordant Up,Protein Folding,GOBP_PROTEIN_FOLDING,5.818595783462115e-4,23/186,CANX/CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/CRYAB/DNAJA2/DNAJA4/ERO1A/HSP90AB1/HSP90B1/HSPA5/HSPB1/HSPB2/HSPB6/HYOU1/PDIA3/TCP1/TXNDC5/UNC45B
GOBP_DNA_BIOSYNTHETIC_PROCESS,6.356035301984613e-6,7.897373862715882e-4,5.68010752688172,9,18,,GO:BP,10.836158192090396,Concordant Up,DNA Biosynthetic Process,GOBP_DNA_BIOSYNTHETIC_PROCESS,7.897373862715882e-4,9/186,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/HSP90AB1/TCP1
GOBP_RESPONSE_TO_HEAT,3.240819063210417e-5,0.003451472302319094,4.031044051335415,11,31,,GO:BP,5.993428571428572,Concordant Up,Response To Heat,GOBP_RESPONSE_TO_HEAT,0.003451472302319094,11/186,CRYAB/DNAJA2/DNAJA4/EEF1D/EIF2B1/EIF2S1/HSP90AB1/HSPB1/HSPB2/HSPB6/MAPT
GOBP_CELL_RECOGNITION,4.753416048961063e-5,0.004724895552667297,4.647360703812317,9,22,,GO:BP,7.486310299869622,Concordant Up,Cell Recognition,GOBP_CELL_RECOGNITION,0.004724895552667297,9/186,CCT2/CCT3/CCT4/CCT5/CCT7/CCT8/LGALS3/MSN/TCP1
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,1.0063781519514162e-4,0.008826528379762126,4.78324844368987,8,19,,GO:BP,7.828396322778345,Concordant Up,Positive Regulation Of Telomere Maintenance,GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,0.008826528379762126,8/186,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/TCP1
GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,1.0685551866079109e-4,0.008851198795735529,4.26008064516129,9,24,,GO:BP,6.48135593220339,Concordant Up,Positive Regulation Of Protein Localizatio...,GOBP_POSITIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_NUCLEUS,0.008851198795735529,9/186,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/FLNA/TCP1
HALLMARK_MITOTIC_SPINDLE,1.1643138780125798e-4,0.009136799958509245,3.5703533026113674,11,35,,Hallmark,4.984047619047619,Concordant Up,Mitotic Spindle,HALLMARK_MITOTIC_SPINDLE,0.009136799958509245,11/186,DYNC1H1/EZR/FLNA/FLNB/FSCN1/GSN/KIF5B/MARCKS/SPTAN1/SPTBN1/VCL
GOBP_TELOMERE_ORGANIZATION,2.539260363955828e-4,0.01720926001208245,3.5500672043010755,10,32,,GO:BP,4.919938016528926,Concordant Up,Telomere Organization,GOBP_TELOMERE_ORGANIZATION,0.01720926001208245,10/186,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/HSP90AB1/PRKDC/TCP1
HALLMARK_UNFOLDED_PROTEIN_RESPONSE,2.539260363955828e-4,0.01720926001208245,3.5500672043010755,10,32,,Hallmark,4.919938016528926,Concordant Up,Unfolded Protein Response,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,0.01720926001208245,10/186,DCTN1/DNAJA4/EIF2S1/ERO1A/HSP90B1/HSPA5/HYOU1/KIF5B/TARS1/TUBB2A
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,4.411763734723076e-4,0.02859973794987872,3.3412397216951293,10,34,,GO:BP,4.505208333333333,Concordant Up,Regulation Of Chromosome Organization,GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION,0.02859973794987872,10/186,CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/DYNC1LI1/MAPT/TCP1
GOBP_PROTEIN_REFOLDING,5.038800940959159e-4,0.029179327522410457,4.417861409796894,7,18,,GO:BP,6.8115794819705435,Concordant Up,Protein Refolding,GOBP_PROTEIN_REFOLDING,0.029179327522410457,7/186,CRYAB/DNAJA2/DNAJA4/HSPA5/HSPB1/HSPB2/HSPB6
HALLMARK_MYC_TARGETS_V1,5.088279782579959e-4,0.029179327522410457,2.0412886424731185,23,128,,Hallmark,2.4484954718083554,Concordant Up,MYC Targets V1,HALLMARK_MYC_TARGETS_V1,0.029179327522410457,23/186,ABCE1/CANX/CCT2/CCT3/CCT4/CCT5/CCT7/EEF1B2/EIF2S1/ETF1/HPRT1/HSP90AB1/NME1/PRDX3/PSMA7/PSMC4/PSMC6/RPS2/RPS6/SLC25A3/SSBP1/TCP1/TUFM
GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS,5.493683990536957e-4,0.030337343814409643,3.0478625753999475,11,41,,GO:BP,3.974666666666667,Concordant Up,Positive Regulation Of DNA Metabolic Process,GOBP_POSITIVE_REGULATION_OF_DNA_METABOLIC_PROCESS,0.030337343814409643,11/186,ACTR2/CCT2/CCT3/CCT4/CCT5/CCT6A/CCT7/CCT8/PRKDC/SSBP1/TCP1
GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,7.079153968777208e-4,0.037696494883738635,4.868663594470046,6,14,,GO:BP,7.995833333333334,Concordant Up,Protein Localization To Cell Junction,GOBP_PROTEIN_LOCALIZATION_TO_CELL_JUNCTION,0.037696494883738635,6/186,FLNA/HSPB1/KIF5B/MAPT/PAK2/VCL
GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,7.170430267979704e-8,1.0691111529557739e-4,2.9275659499002438,25,52,,GO:BP,5.000575109270762,Concordant Down,Modified Amino Acid Metabolic Process,GOBP_MODIFIED_AMINO_ACID_METABOLIC_PROCESS,1.0691111529557739e-4,25/347,AASDHPPT/ALDH9A1/ASS1/CKB/CKM/CPT1A/CPT1B/CPT2/GAMT/GLO1/GPX1/GSS/GSTO1/GSTP1/GSTZ1/HAGH/IDH1/OPLAH/PANK4/PARK7/PCYOX1/SHMT1/SLC25A42/SOD1/SULT1A1
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,3.1343513848604735e-6,0.002336658957413483,1.9814509857737526,41,126,,GO:BP,2.649788542868128,Concordant Down,Small Molecule Catabolic Process,GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS,0.002336658957413483,41/347,AASDHPPT/ACAA2/ACADS/ACADVL/ACAT1/ACSS2/ADH5/ALDH6A1/BCKDHA/CPT1A/CPT1B/CPT2/DCXR/ECHDC2/ECI1/GCSH/GLUL/GNPDA1/GOT1/GPD2/GPT/GSK3A/GSTZ1/HADH/HADHB/HAGH/KYAT1/MCCC1/MPI/MTAP/NUDT3/OXCT1/PARK7/PLIN5/QDPR/RBKS/RIDA/SHMT1/SORD/SULT1A1/TST
GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS,1.7504223845880746e-5,0.00869959925140273,4.059558117195005,10,15,,GO:BP,10.451038575667656,Concordant Down,Water Soluble Vitamin Metabolic Process,GOBP_WATER_SOLUBLE_VITAMIN_METABOLIC_PROCESS,0.00869959925140273,10/347,AASDHPPT/GSTO1/MCCC1/MMAB/PANK4/PDXK/PLPBP/PNPO/SHMT1/SLC25A42
GOBP_POLYOL_METABOLIC_PROCESS,1.4917087134273937e-4,0.03706896152867074,3.1896528063675036,11,21,,GO:BP,5.748809523809523,Concordant Down,Polyol Metabolic Process,GOBP_POLYOL_METABOLIC_PROCESS,0.03706896152867074,11/347,GOT1/GPD2/IMPA1/IMPA2/MECP2/NUDT3/PCBD1/PCBD2/PRKG1/QDPR/SORD
