quadrant,gene
UU,VARS1
UU,MSN
UU,DYNC1H1
UU,GLRX3
UU,RPS11
UU,ALDH1B1
UU,FARSB
UU,DYNLT1
UU,CCT6A
UU,S100A4
UU,S100A13
UU,PSME1
UU,USP9X
UU,DYNC1I2
UU,CCT5
UU,FSCN1
UU,CBR1
UU,CAPN2
UU,PSME2
UU,CCT8
UU,HSPB6
UU,DCTN2
UU,ABCE1
UU,CALU
UU,EEF1G
UU,S100A6
UU,CARNS1
UU,TUBB
UU,GLUD1
UU,DCTN1
UU,NACA
UU,QARS1
UU,PRKAG1
UU,USP5
UU,S100A11
UU,YWHAH
UU,HSPB1
UU,HPRT1
UU,TARS1
UU,ACTR2
UU,EZR
UU,HSPB7
UU,GBE1
UU,EHBP1L1
UU,TUBB6
UU,CCT2
UU,NME2
UU,TUBB2A
UU,JPT2
UU,LGALS3
UU,RTCB
UU,TUBA1B
UU,TXNDC5
UU,PDIA3
UU,MARCKS
UU,DYSF
UU,TPM4
UU,CCT7
UU,ME2
UU,FLNA
UU,PADI2
UU,CCT4
UU,ANXA1
UU,FLNC
UU,BCAP31
UU,SLC25A3
UU,ARHGAP1
UU,DNAJA2
UU,BOLA2
UU,HYOU1
UU,DDX1
UU,KIF5B
UU,CAMK2D
UU,VCL
UU,TCP1
UU,HSPB2
UU,CCT3
UU,GSN
UU,KPNA1
UU,DNAJA4
UU,LAP3
UU,PRDX3
UU,AHCYL1
UU,TUFM
UU,ATP1A1
UU,ANXA2
UU,HSP90B1
UU,CSRP3
UU,IDH3B
UU,SERPINH1
UU,RPS6
UU,SMPX
UU,CLTC
UU,APMAP
UU,MYBPH
UU,SSBP1
UU,ANKRD2
UU,SLC16A1
UU,IGHG2
UU,PPP1R14B
UU,CLIC1
UU,UNC45B
UU,KPNA4
UU,IGHG1
UU,FLNB
UU,HUWE1
UU,SEC23A
UU,ACTR1A
UU,PSMC2
UU,GYS1
UU,CRYAB
UU,ATIC
UU,TMEM43
UU,IDH3G
UU,PRDX5
UU,HSPA5
UU,ARPC1B
UU,HSP90AB1
UU,PHKG1
UU,RPS2
UU,GAPDH
UU,ACY1
UU,IDH3A
UU,NME1
UU,CAPNS1
UU,SARS1
UU,IQGAP1
UU,DHRS7
UU,SPTBN1
UU,SAMHD1
UU,NAGK
UU,SPTAN1
UU,HSPB3
UU,AP2A1
UU,IGKC
UU,CD99
UU,BAG3
UU,APOL2
UU,TLN1
UU,HK1
UU,AP1B1
UU,CALM1
UU,CCDC124
UU,ETF1
UU,ERO1A
UU,SEPTIN7
UU,GLIPR2
UU,PSMD11
UU,FHL1
UU,PHKA1
UU,STX7
UU,ERAP1
UU,FH
UU,GCN1
UU,CLIC4
UU,TNPO1
UU,IGLC2
UU,SLK
UU,PSMC6
UU,TXNL1
DD,SRP14
DD,RAB10
DD,GPX4
DD,NIPSNAP3B
DD,SNX5
DD,RNF114
DD,PKIA
DD,CA2
DD,MDP1
DD,MPC1
DD,SPR
DD,HDGF
DD,UBE2L3
DD,NIT2
DD,ACSL1
DD,COA3
DD,FABP3
DD,FKBP1A
DD,ASMTL
DD,NT5C3A
DD,RNF123
DD,RCSD1
DD,ACO1
DD,RTN4
DD,PAFAH2
DD,EHD1
DD,DMAC2L
DD,GCSH
DD,CYB5R1
DD,PRKG1
DD,CDH13
DD,CKM
DD,TNMD
DD,DDX17
DD,TKFC
DD,NUTF2
DD,ATP2A2
DD,SPTB
DD,FUNDC2
DD,FDX1
DD,NIT1
DD,ADRM1
DD,TST
DD,AZGP1
DD,SRL
DD,PIN4
DD,GSS
DD,TIMM10
DD,MMAB
DD,JCHAIN
DD,EIF4B
DD,PDHX
DD,VPS26A
DD,BCKDHA
DD,RAB12
DD,SAR1A
DD,COPS5
DD,RBP4
DD,OTUB1
DD,VCAN
DD,NDUFA11
DD,HSPA1A
DD,BABAM2
DD,OLA1
DD,PDLIM5
DD,ST13
DD,SNTB2
DD,LPP
DD,CHMP1B
DD,PITHD1
DD,GSK3A
DD,SOD1
