pathway,pval,padj,NES,size,leadingEdge,database,ES,log2err,contrast
GOBP_MYOFIBRIL_ASSEMBLY,2.148722709360561e-9,1.439644215271576e-7,-2.5886510915990812,43,PLEC;OBSCN;SYNPO2L;TTN;NEB;LMOD2;MYOM2;MYOM3;MYBPH;FLNC;MYOM1;TPM1;NRAP;ACTN2;CAPN3;TNNT3;MYOZ1;TMOD4;MYH3;MYBPC2;CSRP1;TCAP;WDR1;ACTA1;TMOD1;CSRP3;LMOD3;KLHL41;MYPN;TNNT1,GO:BP,-0.6857320175357834,0.7749390301364363,Aging
GOBP_LIPID_CATABOLIC_PROCESS,2.8900959155457062e-9,1.8153414969521468e-7,2.5152471440742734,60,HADHA;HADHB;ECHS1;ACADM;ACAT1;CRAT;ETFB;ECI1;ETFA;HADH;PRDX6;PCCB;CPT2;ECH1;ASAH1;ACAA2;YWHAH;IVD;PCCA;ECI2;MCEE;ADIPOQ;ACADS;ACADVL;MLYCD;GCDH;PLIN5;CPT1B;ABHD16A;APOC2;ACAA1,GO:BP,0.619209805522492,0.7749390301364363,Aging
GOBP_RIBOSOME_BIOGENESIS,3.919545985598264e-8,2.317143362074268e-6,-2.3575080569146225,58,RPS7;RPL24;RPS27A;RPS23;RPL38;RPS3A;RPL27;RPS19;RPS27;RPS24;RPL35;RPS5;RPS25;RPL35A;RPS15;EIF5;RPS14;RPS21;RPS17;UTP15;RPL5;EIF2A;RPL26;DDX3X;TRMT112;RPL7A;RPS13;RPLP0;RPS12,GO:BP,-0.5876142672491461,0.7195128263389107,Aging
GOBP_SARCOMERE_ORGANIZATION,4.170978615907139e-8,2.328796393881486e-6,-2.498543240991605,31,PLEC;OBSCN;SYNPO2L;TTN;LMOD2;MYOM2;MYOM3;MYBPH;FLNC;MYOM1;TPM1;ACTN2;CAPN3;TNNT3;MYOZ1;MYH3;MYBPC2;CSRP1;TCAP;WDR1,GO:BP,-0.7155244011026585,0.7195128263389107,Aging
GOBP_RIBONUCLEOPROTEIN_COMPLEX_BIOGENESIS,6.566633602258533e-8,3.473403563299908e-6,-2.1887168256680853,100,RPS7;RPL24;EIF3C;RPS27A;RPS23;RPL38;CELF1;RPS3A;SNRPD3;RPL27;EIF3G;RPS19;RPS27;RPS24;RPL35;RPS5;RPS25;EIF3M;EIF2S3;RPL35A;RPS15;EIF5;EIF3D;RPS14;RPS21;RPS17;UTP15;RPL5;EIF2A;DDX39B;RPL26;DDX3X;TRMT112;RPL7A;EIF3A;RPS13;RPLP0;RPS12;EIF3K;EIF3J;EIF3I;RPL11;C1QBP;RPS16;RPL14;PUF60;RPL13A;EIF3L;EIF3B;RPS8;PA2G4,GO:BP,-0.49322360092328466,0.7049757151672383,Aging
GOBP_MUSCLE_SYSTEM_PROCESS,7.005260557547136e-8,3.5201434301674357e-6,-2.100387330169361,141,TTN;MYOF;DES;LMOD2;MYOM2;MYBPH;SNTA1;SYNM;PDLIM5;TNNI2;TPM1;HMOX1;FLNA;TNNT3;HRC;ACTN3;MYOZ1;CAMK2D;SMTN;TPM2;MYH2;TMEM38A;TMOD4;MYL1;EEF2;FXYD1;MYH3;JPH2;TNNC2;MYH1;GLRX3;TCAP;LMNA;TRDN;MYH13;JPH1;TPM3;CACNA1S;ACTA1;CALM1;UTRN;CAMK2G;STAC3;MYH4;STUB1;TMOD1;CSRP3;LMOD3;MAP2K1;SMPX;KLHL41;SSPN;TNNT1;MYH7;MYOT,GO:BP,-0.4465504886545374,0.7049757151672383,Aging
GOBP_MUSCLE_ORGAN_DEVELOPMENT,1.6629025740049708e-7,7.958176604166645e-6,-2.2042123563548888,91,PLEC;TTN;SPEG;NEB;DES;MYOM2;FLNB;KLHL40;MYOM1;MUSTN1;TPM1;YBX3;CAPN3;NACA;ACTN3;MYOZ1;FHL3;SMTN;EEF2;MYH3;SVIL;JPH2;TCAP;LMNA;COL3A1;JPH1;CACNA1S;ACTA1;UTRN;STAC3;CSRP3;LMOD3;LAMA2;KLHL41;ERO1A,GO:BP,-0.5039706709123536,0.6901324587967956,Aging
GOBP_MUSCLE_CONTRACTION,2.87119878232332e-7,1.3116158073795165e-5,-2.0991855284934178,118,TTN;MYOF;DES;LMOD2;MYOM2;MYBPH;SNTA1;SYNM;TNNI2;TPM1;FLNA;TNNT3;HRC;ACTN3;CAMK2D;SMTN;TPM2;MYH2;TMEM38A;TMOD4;MYL1;EEF2;FXYD1;MYH3;JPH2;TNNC2;MYH1;TCAP;TRDN;MYH13;JPH1;TPM3;CACNA1S;ACTA1;CALM1;UTRN;STAC3;MYH4;STUB1;TMOD1;CSRP3;LMOD3;MAP2K1;SMPX;KLHL41;SSPN;TNNT1;MYH7;MYOT,GO:BP,-0.45905000116308964,0.674962860011025,Aging
GOBP_AMINO_ACID_CATABOLIC_PROCESS,1.2469172774222768e-6,5.448486364388645e-5,2.2925331099912047,41,HMGCL;ECHS1;ALDH5A1;ACAT1;ALDH6A1;ETFB;ALDH4A1;ETFA;MCCC1;FAH;IVD;ACAD8;GPT2;HIBADH;ACADSB;RIDA;DBT;GPT;GOT2;GLUL;BCAT2;ADHFE1;HIBCH;GLUD1,GO:BP,0.6112314645486403,0.6435518361507222,Aging
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS,1.5921759407229203e-6,6.667236751777229e-5,2.374918624506524,19,HMGCL;ECHS1;ACAT1;ALDH6A1;MCCC1;PCCB;IVD;PCCA;ACAD8;HIBADH;ACADSB;DBT,GO:BP,0.7693948456522484,0.6435518361507222,Aging
GOBP_AMINO_ACID_METABOLIC_PROCESS,1.7705883579388685e-6,7.117765198914252e-5,2.112730303927618,96,HMGCL;ECHS1;ALDH5A1;ACAT1;ALDH6A1;ETFB;MPST;ALDH4A1;ETFA;MCCC1;DDAH2;PCCB;FAH;IVD;PCCA;ACAD8;FH;GARS1;GPT2;HIBADH;ACADSB;RIDA;ADSS1;GCDH;DBT;HARS1;LRRC47;GPT;GOT2;GLUL;THAP4;IARS2;BCAT2;AARS1;VARS1;MMUT;SARS2;ADHFE1;HIBCH;GLUD1,GO:BP,0.476074436605874,0.6435518361507222,Aging
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,2.0260867567624434e-6,7.83160457902406e-5,-2.130097059312552,72,PLEC;OBSCN;SYNPO2L;TTN;NEB;LMOD2;MYOM2;MYOM3;MYBPH;FLNC;MYOM1;TPM1;NRAP;ACTN2;CAPN3;TNNT3;MYOZ1;TMOD4;MYH3;MYBPC2;CSRP1;TCAP;WDR1;ACTA1;SYNPO;TMOD1;CSRP3;LMOD3;KLHL41;MYPN;TNNT1,GO:BP,-0.5093607261858099,0.6272567397185284,Aging
GOBP_RIBOSOMAL_SMALL_SUBUNIT_BIOGENESIS,5.1789665131649155e-6,1.9277264243447185e-4,-2.2688925660107926,30,RPS7;RPS27A;RPS23;RPS3A;RPS19;RPS27;RPS24;RPS5;RPS25;RPS15;RPS14;RPS21;RPS17;UTP15;TRMT112;RPS13;RPS12,GO:BP,-0.6543008425082322,0.610526878385931,Aging
GOBP_RRNA_PROCESSING,1.5222994610179586e-5,5.463967708296602e-4,-2.17255953632132,32,RPS7;RPL27;RPS19;RPS27;RPS24;RPL35;RPS25;RPL35A;RPS15;RPS14;RPS21;RPS17;UTP15;RPL5;RPL26;TRMT112;RPL7A,GO:BP,-0.6177767889324361,0.5933254763964051,Aging
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS,1.593512261232442e-5,5.522344215650359e-4,2.080275031686766,57,HMGCL;ALDH5A1;ACAT1;ALDH6A1;MPST;ALDH4A1;MCCC1;DDAH2;FAH;IVD;ACAD8;FH;GPT2;HIBADH;ACADSB;RIDA;ADSS1;GCDH;GPT;GOT2;GLUL;THAP4;BCAT2;MMUT;ADHFE1;HIBCH;GLUD1,GO:BP,0.515928052868614,0.5756102610711286,Aging
GOBP_TRANSLATIONAL_INITIATION,1.314715654529676e-4,0.004404297442674414,-1.9895339642047318,56,BZW1;EIF3C;RPS3A;EIF3G;EIF2B1;RPS5;EIF3M;EIF2S3;PPP1CA;EIF5;EIF3D;EIF4A1;RPS3;EIF4E;RPS17;EIF2A;DDX3X;EIF3A;EIF3K;EIF3J;EIF3I;RPL13A;AKT2;EIF3L;EIF3B;HSPB1;EIF2S1;CSDE1,GO:BP,-0.49868522813278315,0.5188480777437918,Aging
