"contrast","database","n_sig","n_up","n_down","median_NES","mean_NES","sd_NES","min_padj","median_padj"
"Aging","GO Slim",5,2,3,-2.07033358923215,-0.685630194626398,2.43028212692336,4.51291299680852e-18,1.31538150506367e-06
"Aging","GO:BP",58,28,30,-1.73072088295988,-0.0761580886921822,2.19137449171805,2.53037527968268e-16,0.00163169076487238
"Aging","Hallmark",6,5,1,1.91149369744712,1.31126737907625,1.55587648812924,1.43686761186668e-05,0.000692857292589375
"Aging","KEGG",16,3,13,-2.2802976397507,-1.36271012775137,1.74458839948249,4.83063084050837e-16,3.65479075279816e-06
"Aging","Reactome",136,14,122,-2.15494755139654,-1.73486933010779,1.30360823629733,2.39529182222821e-20,6.26572371629175e-05
"Aging","WikiPathways",18,13,5,1.96215980450304,0.868820019193609,2.01234783836155,4.31992870803684e-14,0.00146241820629621
"Interaction","GO Slim",10,5,5,0.0519693182747311,0.113086777462979,2.02447152752805,6.08794132708133e-12,0.00161183744671897
"Interaction","GO:BP",65,38,27,1.85696658108114,0.540588360046363,2.12782326897766,1.62937400572568e-21,0.00514406767228622
"Interaction","Hallmark",3,3,0,1.93735778729076,1.95930200885874,0.0559144042322655,7.09400906114459e-06,0.000454773861659051
"Interaction","KEGG",20,10,10,0.123500717952516,0.353642640829379,2.42328503266129,2.76129817417842e-19,0.000263322989314784
"Interaction","Reactome",179,45,134,-1.85308827677843,-0.930504599834414,1.70059596431778,8.63670153767778e-23,0.0016895326882054
"Interaction","WikiPathways",21,13,8,1.87936460962066,0.669000961778275,2.05119571290546,1.29779848727619e-17,0.00369285745413147
"Reversal","GO Slim",6,3,3,0.0870334576814881,0.285283981898483,2.45907352684335,1.03654776524333e-22,3.31908875757828e-05
"Reversal","GO:BP",68,29,39,-1.81839754884619,-0.322692579129638,2.16523378085127,1.32939460906679e-20,0.0042894434252505
"Reversal","Hallmark",9,2,7,-1.74002301346909,-1.07885104854882,1.55252885935422,0.000118677766837721,0.00618224625422152
"Reversal","KEGG",15,13,2,2.15128356480275,1.49941437275569,1.57243533883509,5.59735268327532e-20,0.000110296226402105
"Reversal","Reactome",132,119,13,2.01410882470049,1.71244800702292,1.26355379752751,3.05373502528448e-25,0.00038857847338113
"Reversal","WikiPathways",14,5,9,-1.95639462243505,-0.59850500652892,2.20863226400065,1.22791304570685e-18,0.00148151969286741
"Training_Old","GO Slim",8,5,3,1.73925331864054,0.658438221740398,1.90600922025731,1.71412936569532e-12,0.0135918523983017
"Training_Old","GO:BP",25,15,10,1.82215620863915,0.46486647760507,1.99117444671013,1.03114530453215e-10,0.0158968011156087
"Training_Old","Hallmark",5,3,2,1.67830418596304,0.425015297312223,2.00649632549412,0.00513218037745118,0.00626722626235971
"Training_Old","KEGG",8,8,0,1.9161040109836,2.00026172637971,0.350978111788208,7.34738132301164e-14,0.0101248134769712
"Training_Old","Reactome",38,33,5,2.06843878216643,1.68712063994175,1.4610658658798,5.78413827434254e-13,0.00105501327623569
"Training_Old","WikiPathways",6,3,3,-0.0530288907820471,0.106301516117865,2.35156101916033,5.08985049766644e-13,0.00487138465902428
"Training_Young","GO Slim",7,4,3,1.63846584023383,0.210346259272577,2.16514829492028,2.33707455327257e-09,0.0010915546775874
"Training_Young","GO:BP",68,37,31,1.76806033625413,0.00043291324252638,2.23155608896854,7.5613860097445e-22,0.00196700376801335
"Training_Young","Hallmark",7,4,3,1.58186022120119,0.193516449259352,1.95056294519904,7.97463256033414e-07,0.00895179866423976
"Training_Young","KEGG",25,16,9,1.98471979753863,0.353479678110349,2.50799240668541,1.42610346752124e-22,1.56399099820423e-06
"Training_Young","Reactome",206,176,30,1.91497574206365,1.42381926661861,1.45194793487595,2.23513148678227e-18,0.000508179845034007
"Training_Young","WikiPathways",15,6,9,-1.93770742218645,-0.633056384650655,2.29205337216471,1.93162968685475e-16,0.000287369296182154
