module_color,bio_label
blue,Catabolic Metabolism
brown,Cytoskeletal Remodeling
turquoise,Protein Modification
green,Muscle Structure
black,Translation Machinery
pink,Immune/Complement
yellow,Ubiquitin-Proteasome
red,Red
magenta,Magenta
