module,trait,cor,pval,stars,label,trait_label,xpos
MEpink,age_num,0.3780331710535072,0.02005288325543209,*,0.38*,Age,1
MEred,age_num,0.2790745634763122,0.0971031513139638,,0.28,Age,1
MEblue,age_num,0.7224020531272369,3.067879149507583e-9,***,0.72***,Age,1
MEmagenta,age_num,-0.02184881734105644,0.9131578923644073,,-0.02,Age,1
MEyellow,age_num,-0.06723908534044429,0.7340876039012105,,-0.07,Age,1
MEblack,age_num,-0.3498729096343064,0.02784426576137522,*,-0.35*,Age,1
MEbrown,age_num,-0.5195913657099619,3.39184553822926e-4,***,-0.52***,Age,1
MEgreen,age_num,-0.36152339576827475,0.02667887428554609,*,-0.36*,Age,1
MEturquoise,age_num,-0.45534733731235194,0.00360533816257968,**,-0.46**,Age,1
MEpink,time_num,0.0358063517589656,0.8692500870925466,,0.04,Training,2
MEred,time_num,-0.22366821893454572,0.2265301481159008,,-0.22,Training,2
MEblue,time_num,-0.0575926157715084,0.7674435869465237,,-0.06,Training,2
MEmagenta,time_num,0.10307996738586936,0.5888757219772534,,0.10,Training,2
MEyellow,time_num,0.05783461310599621,0.7674435869465237,,0.06,Training,2
MEblack,time_num,0.17539148779023983,0.3379250063408727,,0.18,Training,2
MEbrown,time_num,0.4016812843487064,0.01399341650693065,*,0.40*,Training,2
MEgreen,time_num,-0.17328665883858901,0.34087033692626434,,-0.17,Training,2
MEturquoise,time_num,-0.17838363525788828,0.3379250063408727,,-0.18,Training,2
MEpink,interaction,0.21729304252041595,0.23644588028092092,,0.22,Age x Trn,3
MEred,interaction,0.18773788902573788,0.32569088587908096,,0.19,Age x Trn,3
MEblue,interaction,0.39430595060995577,0.0151847307156956,*,0.39*,Age x Trn,3
MEmagenta,interaction,0.02291778847491975,0.9131578923644073,,0.02,Age x Trn,3
MEyellow,interaction,-0.04747584923934925,0.8033046098343907,,-0.05,Age x Trn,3
MEblack,interaction,-0.06505829775991716,0.7384827275565155,,-0.07,Age x Trn,3
MEbrown,interaction,-0.17924243477132376,0.3379250063408727,,-0.18,Age x Trn,3
MEgreen,interaction,-0.18845705181039815,0.32569088587908096,,-0.19,Age x Trn,3
MEturquoise,interaction,-0.33234481606858074,0.03740633306543255,*,-0.33*,Age x Trn,3
MEpink,VL_thick_cm,-0.2446346777981037,0.17784400226398572,,-0.24,VL Thick.,4.15
MEred,VL_thick_cm,-0.01298756462839566,0.9411092518936164,,-0.01,VL Thick.,4.15
MEblue,VL_thick_cm,-0.2896069648034437,0.0807224485443615,,-0.29,VL Thick.,4.15
MEmagenta,VL_thick_cm,0.06877574674827946,0.7339502416826,,0.07,VL Thick.,4.15
MEyellow,VL_thick_cm,0.02079058829857632,0.9131578923644073,,0.02,VL Thick.,4.15
MEblack,VL_thick_cm,0.21979869202351723,0.23472001725096667,,0.22,VL Thick.,4.15
MEbrown,VL_thick_cm,0.09555374612137998,0.611896435458566,,0.10,VL Thick.,4.15
MEgreen,VL_thick_cm,0.36051928748279977,0.02667887428554609,*,0.36*,VL Thick.,4.15
MEturquoise,VL_thick_cm,0.1694412763072927,0.3524659047554308,,0.17,VL Thick.,4.15
MEpink,DXA_LBM_kg,-0.2498844148361246,0.16714202182777949,,-0.25,DXA LBM,5.15
MEred,DXA_LBM_kg,0.17623097334201182,0.3379250063408727,,0.18,DXA LBM,5.15
MEblue,DXA_LBM_kg,0.05150534490993934,0.7879772014052635,,0.05,DXA LBM,5.15
MEmagenta,DXA_LBM_kg,0.1368531653751791,0.4814126247255212,,0.14,DXA LBM,5.15
MEyellow,DXA_LBM_kg,0.12219335134251966,0.5177852966893887,,0.12,DXA LBM,5.15
MEblack,DXA_LBM_kg,0.02876589302349192,0.893885657268035,,0.03,DXA LBM,5.15
MEbrown,DXA_LBM_kg,-0.07238423731698818,0.7255552590148195,,-0.07,DXA LBM,5.15
MEgreen,DXA_LBM_kg,0.14275373549639028,0.4644679073359764,,0.14,DXA LBM,5.15
