gene,fcm_cluster,fcm_membership,wgcna_module,concordance_quadrant,reversal_quadrant
MMP24OS,C2,0.9999677431144236,Red,Conc. Down,Reversed (Aging Up / Training Down)
ESYT2,C3,0.99332653464548,Brown,Conc. Up,Reversed (Aging Down / Training Up)
FSD2,C4,0.9894798145606326,Turquoise,Conc. Up,Reversed (Aging Down / Training Up)
TARS3,C2,0.9998520107873112,Magenta,Conc. Down,Reversed (Aging Up / Training Down)
VWA8,C2,0.9997879227394438,Blue,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
CARNS1,C3,0.9369006559221954,Brown,Conc. Up,Reversed (Aging Down / Training Up)
MAP1LC3B2,C4,0.9999459125998124,Black,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
SMTNL1,C1,0.8930541328093898,Yellow,Disc. YUp/ODn,Exacerbated Down
NUDT19,C2,0.9996554370194788,Turquoise,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
NACA,C3,0.9999936277838052,Brown,Conc. Up,Reversed (Aging Down / Training Up)
SLC35A4,C4,0.9022174788224074,Turquoise,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
PDLIM1,C4,0.9272753074172112,Red,Conc. Down,Reversed (Aging Up / Training Down)
MYO1C,C3,0.816359526131921,Blue,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
FXYD1,C3,0.6964663178010393,Turquoise,Conc. Up,Reversed (Aging Down / Training Up)
NDUFS8,C2,0.999969841890266,Red,Conc. Down,Exacerbated Down
PSMD11,C3,0.959823699630133,Yellow,Conc. Up,Reversed (Aging Down / Training Up)
PSMD12,C3,0.9943862827307106,Yellow,Disc. YUp/ODn,Exacerbated Down
PGRMC1,C3,0.5481559158511995,Turquoise,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
CLIC1,C3,0.9177351119629226,Brown,Conc. Up,Reversed (Aging Down / Training Up)
EIF3F,C3,0.9778659674833752,Black,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
PDHX,C2,0.999997515104796,Magenta,Conc. Down,Exacerbated Down
DCTN6,C3,0.9998174674928144,Brown,Conc. Up,Reversed (Aging Down / Training Up)
IPO5,C3,0.9311360586819636,Brown,Disc. YUp/ODn,Exacerbated Down
EEF2K,C1,0.4874654456224457,Turquoise,Conc. Down,Exacerbated Down
EML1,C1,0.975994787312664,Green,Conc. Down,Exacerbated Down
DNM1L,C2,0.9785284810038032,Blue,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
RTCA,C2,0.8486219937643751,Blue,Conc. Down,Reversed (Aging Up / Training Down)
NDUFA4,C2,0.9995319964201492,Magenta,Conc. Up,Exacerbated Up
PSMD14,C3,0.997861316597178,Brown,Conc. Up,Reversed (Aging Down / Training Up)
BIN1,C3,0.999163647465788,Brown,Disc. YUp/ODn,Exacerbated Down
KPNA3,C3,0.9979881286334532,Turquoise,Conc. Up,Reversed (Aging Down / Training Up)
DDX3X,C4,0.9972282933549024,Black,Conc. Up,Reversed (Aging Down / Training Up)
KPNA4,C1,0.8515551606107399,Brown,Conc. Up,Reversed (Aging Down / Training Up)
CES2,C2,0.7262871264576861,Blue,Conc. Up,Exacerbated Up
FBP2,C1,0.9722126846768936,Yellow,Disc. YUp/ODn,Exacerbated Down
PDXK,C1,0.9711646917518094,Turquoise,Conc. Down,Exacerbated Down
SDHD,C2,0.9685201743559524,Magenta,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
COX7A2L,C2,0.9974096415658008,Red,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
HSPB6,C3,0.6377959535387165,Brown,Conc. Up,Exacerbated Up
NDUFAB1,C2,0.9999316120234492,Red,Conc. Down,Exacerbated Down
IMPA2,C1,0.9996177750610288,Yellow,Conc. Down,Exacerbated Down
PRMT5,C3,0.9722605091971888,Brown,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
PSMA7,C3,0.7967832319140923,Brown,Conc. Up,Reversed (Aging Down / Training Up)
OPLAH,C2,0.9592642351378252,Blue,Conc. Down,Reversed (Aging Up / Training Down)
MGST3,C2,0.9148162670368812,Red,Conc. Down,Exacerbated Down
RGS12,C2,0.5046514797701492,Turquoise,Conc. Down,Exacerbated Down
HAT1,C4,0.7600466178400195,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
UQCRQ,C2,0.9999977850319182,Red,Disc. YDn/OUp,Exacerbated Up
MYL12B,C2,0.5536532962477131,Red,Disc. YDn/OUp,Exacerbated Up
UQCR11,C2,0.9999459191047136,Red,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
HGS,C3,0.6066573134744886,Black,Conc. Down,Exacerbated Down
HNRNPDL,C4,0.5843289739110613,Turquoise,Conc. Down,Exacerbated Down
XPO1,C1,0.9975304017894636,Yellow,Disc. YUp/ODn,Reversed (Aging Up / Training Down)
ATP2A1,C1,0.9986075071421316,Yellow,Conc. Up,Reversed (Aging Down / Training Up)
SYNJ2,C1,0.996817314717968,Pink,Disc. YDn/OUp,Exacerbated Up
SYNM,C4,0.9958456297676213,Green,Disc. YUp/ODn,Exacerbated Down
ARPC1B,C3,0.9948623501575056,Brown,Conc. Up,Exacerbated Up
PFDN6,C1,0.6274839759152744,Yellow,Conc. Down,Reversed (Aging Up / Training Down)
NDUFA1,C2,0.9514931245699458,Red,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
SURF4,C3,0.998428732907302,Brown,Disc. YUp/ODn,Exacerbated Down
TCAP,C4,0.9991698129016732,Green,Conc. Down,Exacerbated Down
EIF3D,C4,0.9990700452143751,Black,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
EIF3H,C3,0.7710265962504713,Black,Disc. YUp/ODn,Exacerbated Down
BCAT2,C2,0.99858488970406,Blue,Conc. Down,Reversed (Aging Up / Training Down)
STX7,C3,0.9999260931887324,Brown,Conc. Up,Exacerbated Up
ARPC5,C1,0.5409572767462756,Turquoise,Conc. Up,Exacerbated Up
CYB5B,C1,0.553989299168834,Yellow,Disc. YUp/ODn,Exacerbated Down
NDUFS4,C2,0.8267581752627031,Red,Conc. Down,Exacerbated Down
DYNC1LI2,C3,0.91140880995546,Turquoise,Disc. YUp/ODn,Exacerbated Down
PSMD3,C3,0.591990061820558,Brown,Disc. YUp/ODn,Exacerbated Down
RASA4,C4,0.979593539552641,Blue,Conc. Down,Reversed (Aging Up / Training Down)
HNRNPR,C1,0.46341671629106435,Brown,Conc. Up,Reversed (Aging Down / Training Up)
TXNL1,C3,0.7320787680510346,Turquoise,Conc. Up,Reversed (Aging Down / Training Up)
AKR7A2,C2,0.9997440581164057,Blue,Conc. Down,Reversed (Aging Up / Training Down)
LAT,C1,0.991904423462232,Yellow,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
DENR,C4,0.9548904474872228,Yellow,Conc. Down,Exacerbated Down
DNPH1,C1,0.8006166213462537,Turquoise,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
TIMM44,C2,0.9999978293194084,Blue,Conc. Up,Exacerbated Up
TRAPPC3,C3,0.9748548944011474,Turquoise,Conc. Up,Exacerbated Up
NDUFB5,C2,0.9985423462769628,Red,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
NDUFB3,C2,0.9997100795547736,Red,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
NDUFA2,C2,0.998145629289704,Red,Conc. Down,Exacerbated Down
ACTN4,C4,0.9999833341830452,Green,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
PRKAB2,C1,0.7904995770540076,Yellow,Conc. Up,Exacerbated Up
SYNGR2,C3,0.5247205353255973,Green,Conc. Down,Exacerbated Down
SGTA,C2,0.753041965164019,Blue,Conc. Down,Reversed (Aging Up / Training Down)
SLC25A20,C2,0.9999979198822296,Blue,Disc. YDn/OUp,Exacerbated Up
NARS1,C3,0.9899572323459784,Turquoise,Conc. Up,Reversed (Aging Down / Training Up)
SLC37A4,C1,0.9654423996650436,Yellow,Disc. YUp/ODn,Exacerbated Down
IDH3B,C2,0.999936577494446,Blue,Conc. Up,Exacerbated Up
CALU,C3,0.9745081354455688,Brown,Conc. Up,Reversed (Aging Down / Training Up)
AHCYL1,C3,0.9725149478632356,Brown,Conc. Up,Exacerbated Up
NDUFS5,C2,0.990779078579697,Red,Disc. YDn/OUp,Exacerbated Up
TIMM8A,C2,0.8796115054749694,Red,Disc. YDn/OUp,Exacerbated Up
PPP1R12B,C3,0.9627535901020402,Brown,Disc. YUp/ODn,Exacerbated Down
PRPSAP2,C1,0.5093875765448576,Green,Conc. Down,Exacerbated Down
SPAG9,C3,0.9990449148898628,Brown,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
OPA1,C2,0.9999266388684276,Blue,Conc. Up,Exacerbated Up
TBC1D4,C1,0.869813353210866,Turquoise,Disc. YDn/OUp,Reversed (Aging Down / Training Up)
SYNCRIP,C3,0.8917761938975406,Black,Disc. YUp/ODn,Exacerbated Down
SELENOF,C4,0.8572886846040549,Turquoise,Disc. YDn/OUp,Exacerbated Up
KLHL41,C3,0.7065990863883023,Brown,Conc. Up,Reversed (Aging Down / Training Up)
