gene,pathway,database,expanded_category,logFC_Training_Young,logFC_Training_Old,pathway_pvalue
COL1A2,Circulatory System,GO_Slim,Interaction,-1.359,-0.0832,0.01709
MYH7,Circulatory System,GO_Slim,Interaction,-0.6942,0.2547,0.01709
MYL2,Circulatory System,GO_Slim,Interaction,-0.9503,0.2178,0.01709
MYL3,Circulatory System,GO_Slim,Interaction,-0.8904,0.0464,0.01709
IFT81,Cytoskeleton & Motility,GO_Slim,Interaction,-1.2969,-0.0873,0.5288
XIRP1,Cytoskeleton & Motility,GO_Slim,Interaction,-0.8717,0.4336,0.5288
CAV2,DNA & Cell Cycle,GO_Slim,Interaction,-0.9482,0.3589,0.6528
RPA2,DNA & Cell Cycle,GO_Slim,Interaction,-0.9583,0.0235,0.6528
DCTN5,Development,GO_Slim,Interaction,0.5467,-0.1371,0.445
ACTN1,ECM & Adhesion,GO_Slim,Interaction,-0.9384,0.3834,0.6776
COL1A1,ECM & Adhesion,GO_Slim,Interaction,-1.197,0.0278,0.6776
COL3A1,ECM & Adhesion,GO_Slim,Interaction,-1.1658,0.3477,0.6776
COL4A1,ECM & Adhesion,GO_Slim,Interaction,-1.436,-0.0795,0.6776
COL4A2,ECM & Adhesion,GO_Slim,Interaction,-1.0712,-0.0443,0.6776
LAMC1,ECM & Adhesion,GO_Slim,Interaction,-0.8487,0.0146,0.6776
NID1,ECM & Adhesion,GO_Slim,Interaction,-0.7647,0.1157,0.6776
ACTN4,Gene Expression,GO_Slim,Interaction,-0.7896,0.3669,0.7093
CAPRIN1,Gene Expression,GO_Slim,Interaction,-0.5661,0.2795,0.7093
FLT1,Gene Expression,GO_Slim,Interaction,-1.6632,0.0423,0.7093
RPL24,Gene Expression,GO_Slim,Interaction,-0.2261,0.3757,0.7093
SSU72,Gene Expression,GO_Slim,Interaction,-0.9314,0.0164,0.7093
UBN2,Gene Expression,GO_Slim,Interaction,-1.0031,0.2347,0.7093
CTSG,Immune & Inflammation,GO_Slim,Interaction,-2.0953,0.1002,0.2749
PREX1,Immune & Inflammation,GO_Slim,Interaction,-0.5831,0.4448,0.2749
ALDH1B1,Metabolism,GO_Slim,Interaction,1.2555,0.4064,0.8406
DHRS11,Metabolism,GO_Slim,Interaction,-0.5953,0.1795,0.8406
GPT2,Metabolism,GO_Slim,Interaction,1.872,-0.592,0.8406
MT-CO1,Metabolism,GO_Slim,Interaction,-0.4355,0.2848,0.8406
NDUFA6,Mitochondria & Energy,GO_Slim,Interaction,-0.5195,0.131,0.2656
ACTA1,Muscle & Contractile,GO_Slim,Interaction,-0.4891,0.3426,0.371
TPM3,Muscle & Contractile,GO_Slim,Interaction,-0.7694,0.1787,0.371
CCDC137,Other,Other,Interaction,-1.6782,-0.2164,1
CHDH,Other,Other,Interaction,-0.4576,0.3927,1
CILP,Other,Other,Interaction,-0.7967,0.2433,1
MSRB3,Other,Other,Interaction,-1.2083,-0.0131,1
TES,Other,Other,Interaction,-0.596,0.3646,1
COPS7B,Protein Homeostasis,GO_Slim,Interaction,0.828,-0.4555,0.6648
PLEKHF1,Protein Homeostasis,GO_Slim,Interaction,-0.8051,0.0468,0.6648
SLC25A46,Protein Homeostasis,GO_Slim,Interaction,0.8812,-0.0505,0.6648
UCHL1,Protein Homeostasis,GO_Slim,Interaction,0.9016,0.1236,0.6648
ACTN2,Transport,GO_Slim,Interaction,-0.884,0.4933,0.621
TOMM22,Transport,GO_Slim,Interaction,-0.7784,0.165,0.621
MYLK,ECM & Adhesion,GO_Slim,Sig Both Down,-0.7289,-0.7394,0.6776
ADH1B,Metabolism,GO_Slim,Sig Both Down,-0.8557,-0.6939,0.8406
FSCN1,Cytoskeleton & Motility,GO_Slim,Sig Both Up,0.709,0.6485,0.5288
S100A13,Immune & Inflammation,GO_Slim,Sig Both Up,1.2092,0.6614,0.2749
HPRT1,Metabolism,GO_Slim,Sig Both Up,0.5482,0.5572,0.8406
MYBPH,Muscle & Contractile,GO_Slim,Sig Both Up,1.0138,1.7207,0.371
ANXA3,Immune & Inflammation,GO_Slim,Sig Old Down,-0.486,-0.5736,0.2749
ALDH6A1,Metabolism,GO_Slim,Sig Old Down,-0.2249,-0.5217,0.8406
ASS1,Metabolism,GO_Slim,Sig Old Down,-0.2463,-0.6463,0.8406
PCYT2,Metabolism,GO_Slim,Sig Old Down,-0.0951,-0.4799,0.8406
SLC25A42,Metabolism,GO_Slim,Sig Old Down,-0.3587,-0.7565,0.8406
SYNGR2,Transport,GO_Slim,Sig Old Down,-0.272,-0.4795,0.621
TBC1D24,Transport,GO_Slim,Sig Old Down,0.0541,-0.4739,0.621
GLIPR2,Cytoskeleton & Motility,GO_Slim,Sig Old Up,0.4489,0.6074,0.5288
MUSTN1,Protein Homeostasis,GO_Slim,Sig Old Up,-0.0292,0.7722,0.6648
ARHGAP1,Transport,GO_Slim,Sig Old Up,0.3683,0.4728,0.621
CAMK2D,Transport,GO_Slim,Sig Old Up,0.4289,0.5428,0.621
TNNC1,Circulatory System,GO_Slim,Sig Young Down,-0.7281,0.0911,0.01709
TNNI1,Circulatory System,GO_Slim,Sig Young Down,-0.7107,0.0606,0.01709
H1-0,DNA & Cell Cycle,GO_Slim,Sig Young Down,-0.7195,-0.2365,0.6528
H3-3A,DNA & Cell Cycle,GO_Slim,Sig Young Down,-0.7906,-0.0448,0.6528
NFIC,DNA & Cell Cycle,GO_Slim,Sig Young Down,-0.5819,-0.1288,0.6528
UBE2B,DNA & Cell Cycle,GO_Slim,Sig Young Down,-0.6201,0.0347,0.6528
MAOB,Development,GO_Slim,Sig Young Down,-0.424,-0.1828,0.445
ACP1,Gene Expression,GO_Slim,Sig Young Down,-0.3593,0.0365,0.7093
RBM3,Gene Expression,GO_Slim,Sig Young Down,-0.6171,0.0331,0.7093
SNU13,Gene Expression,GO_Slim,Sig Young Down,-0.508,-0.1851,0.7093
UTP15,Gene Expression,GO_Slim,Sig Young Down,-0.7248,0.1131,0.7093
WBP2,Gene Expression,GO_Slim,Sig Young Down,-0.3821,-0.0342,0.7093
CD81,Immune & Inflammation,GO_Slim,Sig Young Down,-0.6933,-0.1561,0.2749
GNAS,Immune & Inflammation,GO_Slim,Sig Young Down,-0.4918,-0.3092,0.2749
COX7B,Metabolism,GO_Slim,Sig Young Down,-0.601,-0.0304,0.8406
FBN1,Metabolism,GO_Slim,Sig Young Down,-0.8203,-0.3809,0.8406
MGST3,Metabolism,GO_Slim,Sig Young Down,-0.4589,-0.151,0.8406
MT-CO3,Metabolism,GO_Slim,Sig Young Down,-0.5282,-0.0733,0.8406
MYH3,Metabolism,GO_Slim,Sig Young Down,-1.1506,-0.4081,0.8406
NDUFV2,Metabolism,GO_Slim,Sig Young Down,-0.4563,0.0308,0.8406
SORBS1,Metabolism,GO_Slim,Sig Young Down,-0.8063,-0.2996,0.8406
MT-ND4,Mitochondria & Energy,GO_Slim,Sig Young Down,-0.5174,-0.2179,0.2656
NDUFA3,Mitochondria & Energy,GO_Slim,Sig Young Down,-0.6511,-0.0926,0.2656
NDUFB6,Mitochondria & Energy,GO_Slim,Sig Young Down,-0.5514,0.0169,0.2656
NDUFB7,Mitochondria & Energy,GO_Slim,Sig Young Down,-0.5358,-0.0559,0.2656
NDUFS7,Mitochondria & Energy,GO_Slim,Sig Young Down,-0.564,0.0465,0.2656
