pathway,database,gene_count,gene_ratio,pvalue,p_adjust,genes
Extracellular Matrix Organization,GO:BP,9,0.25,1.246e-8,1.034e-5,COL1A1/COL3A1/COL4A1/COL1A2/CTSG/COL4A2/LAMC1/NID1/CAV2
Cell Substrate Adhesion,GO:BP,4,0.1111,2.483e-6,6.871e-4,ACTN4/COL1A1/COL3A1/LAMC1/ACTN1/NID1/ACTN2/PREX1
Muscle Structure Development,GO:BP,5,0.1389,5.5e-6,7.608e-4,ACTN4/COL3A1/MYL3/MYL2/LAMC1/ACTN1/MYH7/NID1/ACTN2/CAV2/ACTA1/XIRP1
Myogenesis,Hallmark,1,0.0278,4.916e-5,8.849e-4,COL1A1/COL3A1/TPM3/COL4A2/MYL3/MYL2/MYH7/ACTN2/ACTA1
Receptor Protein Signaling,GO:BP,2,0.0556,2.883e-4,0.01496,CILP/COL1A1/COL3A1/COL4A1/COL1A2/COL4A2/FLT1/CAV2
Ammonium Ion Metabolic Process,GO:BP,1,0.0278,0.0504,0.3076,CHDH
Estrogen Biosynthetic Process,GO:BP,1,0.0278,0.0504,0.3076,DHRS11
Organelle Assembly,GO:BP,3,0.0833,0.09111,0.34,MYL2/ACTN2/ACTA1/RPL24/CAPRIN1/IFT81
Transmembrane Transport,GO:BP,3,0.0833,0.4023,0.592,ACTN4/MT-CO1/ACTN2/NDUFA6/TOMM22
Other,Other,7,0.1944,1,1,RPA2/CCDC137/UBN2/MSRB3/PLEKHF1/SSU72/TES
