gene,interaction_pattern,logFC_Training_Young,logFC_Training_Old,logFC_Aging,divergence
CTSG,Attenuated,-2.0953,0.1002,-0.0506,2.1956
FLT1,Attenuated,-1.6632,0.0423,-1.0221,1.7056
CCDC137,Attenuated,-1.6782,-0.2164,-0.941,1.4618
COL4A1,Attenuated,-1.436,-0.0795,-0.6848,1.3565
COL1A2,Attenuated,-1.359,-0.0832,-0.7415,1.2759
COL1A1,Attenuated,-1.197,0.0278,-0.8348,1.2248000000000001
IFT81,Attenuated,-1.2969,-0.0873,-0.7544,1.2096
MSRB3,Attenuated,-1.2083,-0.0131,-0.4369,1.1952
COL4A2,Attenuated,-1.0712,-0.0443,-0.2268,1.0269
RPA2,Attenuated,-0.9583,0.0235,0.5005,0.9819
SSU72,Attenuated,-0.9314,0.0164,-0.2995,0.9478
MYL3,Attenuated,-0.8904,0.0464,-0.3531,0.9368
NID1,Attenuated,-0.7647,0.1157,-0.4149,0.8804
LAMC1,Attenuated,-0.8487,0.0146,-0.3754,0.8633
PLEKHF1,Attenuated,-0.8051,0.0468,-0.0164,0.8518
NDUFA6,Attenuated,-0.5195,0.131,-0.3177,0.6505
COL3A1,Down Young / Up Old,-1.1658,0.3477,-0.9545,1.5135
ACTN2,Down Young / Up Old,-0.884,0.4933,-1.9351,1.3772
ACTN1,Down Young / Up Old,-0.9384,0.3834,-2.0379,1.3217
CAV2,Down Young / Up Old,-0.9482,0.3589,-0.3232,1.3071
XIRP1,Down Young / Up Old,-0.8717,0.4336,-0.7327,1.3053
UBN2,Down Young / Up Old,-1.0031,0.2347,-0.2278,1.2378
MYL2,Down Young / Up Old,-0.9503,0.2178,-0.0452,1.168
ACTN4,Down Young / Up Old,-0.7896,0.3669,-1.753,1.1565
CILP,Down Young / Up Old,-0.7967,0.2433,-0.324,1.0401
PREX1,Down Young / Up Old,-0.5831,0.4448,-0.8451,1.028
TES,Down Young / Up Old,-0.596,0.3646,-0.7267,0.9606
MYH7,Down Young / Up Old,-0.6942,0.2547,-0.5233,0.9489
TPM3,Down Young / Up Old,-0.7694,0.1787,-0.7521,0.9482
TOMM22,Down Young / Up Old,-0.7784,0.165,-0.3723,0.9434
CHDH,Down Young / Up Old,-0.4576,0.3927,-0.2334,0.8504
CAPRIN1,Down Young / Up Old,-0.5661,0.2795,-0.9019,0.8456
ACTA1,Down Young / Up Old,-0.4891,0.3426,-0.601,0.8317
DHRS11,Down Young / Up Old,-0.5953,0.1795,0.1019,0.7748
MT-CO1,Down Young / Up Old,-0.4355,0.2848,-0.7513,0.7203
RPL24,Down Young / Up Old,-0.2261,0.3757,-0.6611,0.6018
