gene,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,pi_score_Reversal,significance,quadrant,imputed
DAD1,0.5389,-0.173,0.484044,0.813444,0.302481,NS,Reversed (Aging Up / Training Down),TRUE
PDLIM7,-0.6358,0.0736,0.14041,0.982324,0.264789,NS,Reversed (Aging Down / Training Up),FALSE
FGGY,0.6629,0.044,0.094539,0.98952,0.247279,NS,Exacerbated Up,TRUE
RPL6,-0.428,0.2686,0.302034,0.620749,0.129597,NS,Reversed (Aging Down / Training Up),FALSE
CAPG,-0.2506,0.4455,0.841306,0.259852,0.285398,NS,Reversed (Aging Down / Training Up),TRUE
THBS4,-0.2184,0.4768,0.83070600000000006,0.143573,0.172732,NS,Reversed (Aging Down / Training Up),TRUE
ABLIM2,-0.6062,-0.0882,0.084867,0.962486,0.395027,NS,Exacerbated Down,TRUE
SAE1,0.3632,-0.3277,0.648443,0.295291,0.201141,NS,Reversed (Aging Up / Training Down),TRUE
TAGLN,-0.101,0.5879,0.971328,0.13867,0.293176,NS,Reversed (Aging Down / Training Up),TRUE
MT-ND5,-0.4527,0.2361,0.332313,0.751168,0.203294,NS,Reversed (Aging Down / Training Up),FALSE
PLN,0.5409,-0.1425,0.083305,0.883661,0.105749,NS,Reversed (Aging Up / Training Down),FALSE
TCAP,-0.6308,-0.0517,0.115617,0.990783,0.402651,NS,Exacerbated Down,FALSE
FHL3,-0.4784,-0.2041,0.062204,0.660479,0.695118,NS,Exacerbated Down,FALSE
CAV2,-0.3232,0.3589,0.706014,0.403079,0.242974,NS,Reversed (Aging Down / Training Up),TRUE
HSPB6,0.3983,0.2797,0.278576,0.514381,0.957551,NS,Exacerbated Up,FALSE
IGHG1,0.4184,0.2529,0.261631,0.615792,0.919341,NS,Exacerbated Up,FALSE
PEA15,-0.5117,-0.1579,0.493488,0.846194,0.772627,NS,Exacerbated Down,TRUE
RPL19,-0.4528,0.2163,0.148592,0.68125,0.077724,NS,Reversed (Aging Down / Training Up),FALSE
PDP1,0.5301,0.1383,0.052571,0.862492,0.484533,NS,Exacerbated Up,TRUE
MVP,-0.2344,0.4339,0.867736,0.311417,0.34103,NS,Reversed (Aging Down / Training Up),TRUE
RPL30,-0.5414,0.1203,0.107782,0.925796,0.155735,NS,Reversed (Aging Down / Training Up),FALSE
VPS13A,-0.5363,-0.121,0.392049,0.908613,0.644805,NS,Exacerbated Down,TRUE
ALDH2,0.5496,-0.1059,0.062162,0.934908,0.114259,NS,Reversed (Aging Up / Training Down),FALSE
LIMS3,-0.4829,0.1724,0.143606,0.727162,0.066701,NS,Reversed (Aging Down / Training Up),TRUE
NES,-0.379,-0.276,0.762283,0.861935,0.990456,NS,Exacerbated Down,TRUE
SH3BGRL,-0.1974,0.4554,0.83019,0.151274,0.167873,NS,Reversed (Aging Down / Training Up),TRUE
JCHAIN,0.3727,-0.2772,0.74057,0.757368,0.481063,NS,Reversed (Aging Up / Training Down),TRUE
ALPK3,-0.4772,0.1723,0.101979,0.757899,0.063101,NS,Reversed (Aging Down / Training Up),TRUE
TNNT1,-0.5611,0.087,0.30125,0.978183,0.406649,NS,Reversed (Aging Down / Training Up),FALSE
MMP24OS,0.4255,-0.218,0.460331,0.769715,0.275391,NS,Reversed (Aging Up / Training Down),TRUE
TIGAR,0.3915,-0.2496,0.597981,0.713787,0.34704,NS,Reversed (Aging Up / Training Down),TRUE
DMAC2L,0.3387,-0.2976,0.381994,0.335935,0.069538,NS,Reversed (Aging Up / Training Down),TRUE
TFRC,0.1009,-0.5339,0.975331,0.260968,0.428257,NS,Reversed (Aging Up / Training Down),TRUE
UBE2F,0.3761,-0.258,0.514168,0.611226,0.223492,NS,Reversed (Aging Up / Training Down),TRUE
NTMT1,0.405,0.2288,0.289924,0.646706,0.902376,NS,Exacerbated Up,TRUE
JUP,-0.3826,0.2511,0.54438,0.666393,0.26201,NS,Reversed (Aging Down / Training Up),TRUE
KRT2,-0.5127,0.1192,0.351474,0.95511,0.400247,NS,Reversed (Aging Down / Training Up),FALSE
MYOT,-0.3881,0.2433,0.463989,0.73285,0.270659,NS,Reversed (Aging Down / Training Up),FALSE
COA3,0.506,-0.1252,0.149382,0.91517,0.178839,NS,Reversed (Aging Up / Training Down),TRUE
SORD,-0.4117,-0.2179,0.292596,0.669081,0.879236,NS,Exacerbated Down,TRUE
APOBEC2,-0.4185,0.2091,0.301897,0.757606,0.188268,NS,Reversed (Aging Down / Training Up),FALSE
PMPCA,-0.3152,0.3123,0.608669,0.362788,0.162798,NS,Reversed (Aging Down / Training Up),TRUE
LDHA,-0.5158,0.1114,0.052093,0.913817,0.089432,NS,Reversed (Aging Down / Training Up),FALSE
IGHV3-7,0.2632,0.3637,0.72701,0.429002,0.977664,NS,Exacerbated Up,TRUE
CHDH,-0.2334,0.3927,0.794838,0.199633,0.196124,NS,Reversed (Aging Down / Training Up),TRUE
TMOD1,-0.5158,0.1085,0.27949,0.955775,0.336129,NS,Reversed (Aging Down / Training Up),TRUE
CACNG1,0.2024,-0.4171,0.793889,0.178953,0.159823,NS,Reversed (Aging Up / Training Down),TRUE
FXYD1,-0.5609,0.0584,0.08208,0.983297,0.192918,NS,Reversed (Aging Down / Training Up),TRUE
ERGIC1,-0.2093,0.4085,0.796499,0.21749,0.183352,NS,Reversed (Aging Down / Training Up),TRUE
CRELD1,-0.204,0.4127,0.848605,0.321485,0.275578,NS,Reversed (Aging Down / Training Up),TRUE
RASA4,0.4805,-0.1361,0.177158,0.876405,0.154829,NS,Reversed (Aging Up / Training Down),TRUE
RPL12,-0.2948,0.3215,0.665715,0.540961,0.284148,NS,Reversed (Aging Down / Training Up),FALSE
MYL6,-0.3561,0.26,0.553285,0.708171,0.311359,NS,Reversed (Aging Down / Training Up),FALSE
SFXN4,-0.4467,0.1692,0.301192,0.801004,0.184146,NS,Reversed (Aging Down / Training Up),TRUE
PRPSAP1,-0.441,-0.1744,0.313252,0.850356,0.820739,NS,Exacerbated Down,TRUE
SYPL2,-0.3223,-0.293,0.303692,0.308248,0.996768,NS,Exacerbated Down,FALSE
GSN,-0.141,0.4735,0.90283,0.101214,0.170471,NS,Reversed (Aging Down / Training Up),FALSE
RPS13,-0.3055,0.3074,0.470127,0.384963,0.114815,NS,Reversed (Aging Down / Training Up),FALSE
CFH,0.5111,0.1017,0.102692,0.935768,0.487501,NS,Exacerbated Up,TRUE
MYO6,-0.3466,0.2643,0.366663,0.527124,0.123754,NS,Reversed (Aging Down / Training Up),FALSE
