gene,logFC_Aging,logFC_Training_Old,pi_score_Aging,pi_score_Training_Old,pi_score_Reversal,significance,quadrant,imputed
HSPA14,-0.1849,0.1954,0.816608,0.670156,0.494578,NS,Reversed (Aging Down / Training Up),TRUE
MAT2B,0.3435,-0.0357,0.132925,0.985922,0.237776,NS,Reversed (Aging Up / Training Down),TRUE
NUDT3,0.2672,-0.1117,0.357001,0.861078,0.29241,NS,Reversed (Aging Up / Training Down),TRUE
FBP1,0.1444,-0.2345,0.9316,0.776676,0.706324,NS,Reversed (Aging Up / Training Down),FALSE
ALDH9A1,0.2124,-0.166,0.562206,0.676575,0.292176,NS,Reversed (Aging Up / Training Down),FALSE
ATP6V1E1,-0.3566,-0.0216,0.361619,0.997291,0.619185,NS,Exacerbated Down,TRUE
RSU1,0.2977,-0.0804,0.26942,0.931633,0.295802,NS,Reversed (Aging Up / Training Down),TRUE
FAM185A,-0.0551,-0.323,0.992971,0.485825,0.857427,NS,Exacerbated Down,TRUE
PTCD3,0.1388,0.2393,0.865014,0.504952,0.959464,NS,Exacerbated Up,TRUE
EMC1,-0.2569,0.1199,0.638769,0.903417,0.538033,NS,Reversed (Aging Down / Training Up),TRUE
DDX3X,-0.3145,0.0616,0.344781,0.971306,0.427912,NS,Reversed (Aging Down / Training Up),FALSE
NHLRC2,0.3538,-0.0223,0.214699,0.996143,0.380922,NS,Reversed (Aging Up / Training Down),TRUE
SELENOW,-0.1591,-0.2169,0.893812,0.749328,0.992141,NS,Exacerbated Down,TRUE
SLC16A3,-0.239,0.1361,0.755643,0.906619,0.638534,NS,Reversed (Aging Down / Training Up),TRUE
CLIC5,-0.2043,-0.1708,0.598478,0.662883,0.994737,NS,Exacerbated Down,FALSE
ARPC5L,0.1607,0.2141,0.927645,0.684443,0.993991,NS,Exacerbated Up,TRUE
PGRMC2,0.2359,-0.1381,0.616217,0.846478,0.461123,NS,Reversed (Aging Up / Training Down),FALSE
ECI2,0.3592,-0.0145,0.218925,0.99858,0.426254,NS,Reversed (Aging Up / Training Down),FALSE
LSS,0.3393,-0.0338,0.209669,0.990178,0.350753,NS,Reversed (Aging Up / Training Down),TRUE
PXN,0.3725,3e-4,0.346392,0.999999,0.477874,NS,Exacerbated Up,TRUE
SLC25A20,0.3084,0.0643,0.414718,0.971872,0.765613,NS,Exacerbated Up,FALSE
YARS1,-0.2691,0.1036,0.494008,0.911758,0.43641,NS,Reversed (Aging Down / Training Up),TRUE
RPL7,-0.1577,0.2143,0.882927,0.735887,0.609101,NS,Reversed (Aging Down / Training Up),FALSE
ATP5IF1,0.2936,0.0776,0.41483,0.953539,0.799167,NS,Exacerbated Up,FALSE
COX5B,-0.2411,0.1298,0.571311,0.854406,0.435125,NS,Reversed (Aging Down / Training Up),FALSE
THNSL1,0.3562,-0.0145,0.725654,0.998802,0.736578,NS,Reversed (Aging Up / Training Down),TRUE
TNS1,0.3051,-0.0655,0.398952,0.968485,0.461025,NS,Reversed (Aging Up / Training Down),TRUE
ATP2B1,0.2549,-0.1152,0.847247,0.906442,0.721347,NS,Reversed (Aging Up / Training Down),TRUE
COQ10B,-0.23,-0.14,0.715946,0.87725,0.976484,NS,Exacerbated Down,TRUE
AKAP12,0.0961,0.2736,0.951779,0.43114,0.884579,NS,Exacerbated Up,TRUE
RDX,0.2682,-0.1013,0.255601,0.857276,0.216707,NS,Reversed (Aging Up / Training Down),FALSE
RAB5C,0.2613,0.10780000000000001,0.552197,0.913318,0.909603,NS,Exacerbated Up,FALSE
RPA3,-0.354,0.0148,0.308362,0.998665,0.499316,NS,Reversed (Aging Down / Training Up),TRUE
SEC24C,0.3588,-0.0097,0.085293,0.999098,0.259101,NS,Reversed (Aging Up / Training Down),TRUE
LETM1,0.3045,0.0638,0.33179,0.966122,0.72259,NS,Exacerbated Up,FALSE
RACK1,-0.1828,0.1851,0.663328,0.590943,0.306591,NS,Reversed (Aging Down / Training Up),FALSE
DNAJA1,0.2929,0.0749,0.609183,0.959034,0.84404,NS,Exacerbated Up,TRUE
PELO,-0.2245,0.143,0.727837,0.852915,0.5479,NS,Reversed (Aging Down / Training Up),TRUE
METAP2,0.2361,-0.1312,0.230755,0.627659,0.092241,NS,Reversed (Aging Up / Training Down),TRUE
AAMP,-0.1258,0.2409,0.934298,0.642581,0.619774,NS,Reversed (Aging Down / Training Up),TRUE
MPP1,-0.2756,0.0908,0.664372,0.953899,0.616184,NS,Reversed (Aging Down / Training Up),TRUE
COQ8A,0.2867,-0.0797,0.229745,0.921927,0.255352,NS,Reversed (Aging Up / Training Down),FALSE
NDUFAF4,-0.1804,0.1859,0.856394,0.789703,0.619499,NS,Reversed (Aging Down / Training Up),TRUE
JPH2,-0.2741,-0.0918,0.333076,0.907728,0.807648,NS,Exacerbated Down,FALSE
PHKG1,-0.2048,0.1607,0.452534,0.582379,0.18071,NS,Reversed (Aging Down / Training Up),FALSE
LYPLAL1,-0.3282,-0.0372,0.72122,0.991777,0.809045,NS,Exacerbated Down,TRUE
MPC1,0.1406,-0.2246,0.853133,0.549138,0.44346,NS,Reversed (Aging Up / Training Down),TRUE
S100A9,-0.0212,0.3432,0.998962,0.631173,0.784312,NS,Reversed (Aging Down / Training Up),TRUE
NAGK,0.2285,0.1352,0.395588,0.719744,0.940932,NS,Exacerbated Up,TRUE
LUC7L2,0.3173,-0.0462,0.16767,0.975311,0.261269,NS,Reversed (Aging Up / Training Down),TRUE
PSMD3,-0.3252,-0.0383,0.118655,0.983609,0.458981,NS,Exacerbated Down,FALSE
MAPK1,-0.1606,0.2026,0.621939,0.343041,0.15608,NS,Reversed (Aging Down / Training Up),FALSE
CSNK2B,-0.2445,0.1186,0.42982,0.832594,0.312672,NS,Reversed (Aging Down / Training Up),TRUE
IMPA2,-0.2018,-0.1611,0.682263,0.759774,0.993555,NS,Exacerbated Down,FALSE
CAMK2B,-0.1446,0.2176,0.823988,0.52682,0.395143,NS,Reversed (Aging Down / Training Up),FALSE
CLASP2,0.223,-0.1385,0.736137,0.853344,0.554161,NS,Reversed (Aging Up / Training Down),TRUE
CALM1,-0.2029,0.1585,0.567873,0.681597,0.298502,NS,Reversed (Aging Down / Training Up),FALSE
DCAF6,0.2337,-0.1276,0.395135,0.771494,0.247828,NS,Reversed (Aging Up / Training Down),FALSE
EPB41,0.0961,0.2651,0.970416,0.652235,0.934528,NS,Exacerbated Up,TRUE
ETFRF1,-0.1593,-0.2016,0.891141,0.776837,0.995642,NS,Exacerbated Down,TRUE
GSTP1,0.1612,-0.1996,0.70524,0.477999,0.26984,NS,Reversed (Aging Up / Training Down),FALSE
TOM1L2,0.204,-0.1568,0.505983,0.619629,0.219439,NS,Reversed (Aging Up / Training Down),TRUE
RIDA,0.1977,-0.1625,0.441424,0.534706,0.155506,NS,Reversed (Aging Up / Training Down),FALSE
ATP6V1G1,0.1374,-0.2227,0.781349,0.297442,0.223007,NS,Reversed (Aging Up / Training Down),TRUE
KRT10,-0.2229,0.1367,0.856368,0.938658,0.772879,NS,Reversed (Aging Down / Training Up),FALSE
PPP1R7,0.1561,-0.2033,0.778761,0.555064,0.372064,NS,Reversed (Aging Up / Training Down),FALSE
HBS1L,-0.193,0.1664,0.624923,0.653414,0.316459,NS,Reversed (Aging Down / Training Up),TRUE
AP1G1,0.1899,0.1694,0.875774,0.793702,0.999015,NS,Exacerbated Up,TRUE
RPS27,-0.3245,0.0348,0.163794,0.988087,0.310352,NS,Reversed (Aging Down / Training Up),FALSE
TMEM109,-0.1741,-0.1849,0.755558,0.670668,0.999556,NS,Exacerbated Down,FALSE
TSG101,-0.1618,-0.1968,0.755066,0.521112,0.993997,NS,Exacerbated Down,TRUE
CUL1,0.2955,-0.0629,0.263205,0.95803,0.325933,NS,Reversed (Aging Up / Training Down),TRUE
CSE1L,0.2485,-0.1097,0.271104,0.807725,0.193852,NS,Reversed (Aging Up / Training Down),FALSE
PFDN2,0.2304,-0.1275,0.452232,0.793677,0.299214,NS,Reversed (Aging Up / Training Down),TRUE
PEBP1,0.1771,-0.1807,0.566679,0.473098,0.18786,NS,Reversed (Aging Up / Training Down),FALSE
TIMM9,0.1856,0.1713,0.730187,0.702325,0.999193,NS,Exacerbated Up,TRUE
TPPP3,0.2861,0.0705,0.709669,0.978527,0.891829,NS,Exacerbated Up,TRUE
PTMA,0.3135,0.0418,0.555183,0.989515,0.762952,NS,Exacerbated Up,TRUE
PLS3,0.1754,0.1798,0.821456,0.720701,0.999939,NS,Exacerbated Up,TRUE
KIF5B,0.1416,0.2132,0.788032,0.445323,0.971575,NS,Exacerbated Up,FALSE
G3BP2,-0.2562,-0.098,0.753905,0.952232,0.940404,NS,Exacerbated Down,TRUE
LDHD,0.2425,-0.1115,0.800102,0.94413,0.722531,NS,Reversed (Aging Up / Training Down),TRUE
ARPC5,0.2242,0.1295,0.787411,0.903301,0.977565,NS,Exacerbated Up,TRUE
STAT5B,0.1856,-0.1674,0.584396,0.58859,0.25382,NS,Reversed (Aging Up / Training Down),TRUE
ERO1A,-0.1777,0.175,0.652037,0.575286,0.287477,NS,Reversed (Aging Down / Training Up),TRUE
PURA,-0.2301,-0.1225,0.583301,0.860562,0.948934,NS,Exacerbated Down,TRUE
NAA10,-0.1784,0.1733,0.811969,0.688838,0.496162,NS,Reversed (Aging Down / Training Up),TRUE
IFITM1,0.2361,-0.1153,0.66237,0.890893,0.52837,NS,Reversed (Aging Up / Training Down),TRUE
PTPN11,0.3171,0.0337,0.266477,0.989985,0.579035,NS,Exacerbated Up,TRUE
IGHG3,0.2986,0.0521,0.73126,0.991536,0.890239,NS,Exacerbated Up,FALSE
PTRHD1,-0.295,0.0552,0.342523,0.974209,0.436489,NS,Reversed (Aging Down / Training Up),TRUE
MCU,0.263,-0.0867,0.568113,0.948616,0.553247,NS,Reversed (Aging Up / Training Down),TRUE
TMEM70,-0.1199,0.2296,0.948934,0.767277,0.728337,NS,Reversed (Aging Down / Training Up),TRUE
PSMD6,-0.2862,-0.0632,0.42414,0.969195,0.779298,NS,Exacerbated Down,FALSE
THAP4,0.2544,0.095,0.531525,0.921753,0.88762,NS,Exacerbated Up,TRUE
MACROD1,-0.2501,-0.0993,0.36489,0.876622,0.85548,NS,Exacerbated Down,FALSE
QKI,-0.1054,0.2439,0.960443,0.710167,0.698291,NS,Reversed (Aging Down / Training Up),TRUE
ETHE1,-0.2762,-0.0729,0.633371,0.953017,0.848064,NS,Exacerbated Down,TRUE
CMPK1,-0.2811,-0.068,0.591468,0.974394,0.857683,NS,Exacerbated Down,TRUE
MYCBP,-0.2582,0.0908,0.500537,0.91579,0.42812,NS,Reversed (Aging Down / Training Up),TRUE
GYS1,-0.2452,0.1036,0.451193,0.884253,0.378187,NS,Reversed (Aging Down / Training Up),FALSE
SPR,0.243,-0.1051,0.602277,0.914901,0.525507,NS,Reversed (Aging Up / Training Down),TRUE
MRPL40,0.3051,0.043,0.51262,0.988334,0.758753,NS,Exacerbated Up,TRUE
PSMC6,-0.2851,0.0629,0.094576,0.931614,0.144163,NS,Reversed (Aging Down / Training Up),FALSE
PADI2,0.2398,0.108,0.44992,0.866656,0.901965,NS,Exacerbated Up,FALSE
ARL3,0.2595,0.0882,0.573676,0.922779,0.866553,NS,Exacerbated Up,TRUE
HSPA2,0.2825,-0.0645,0.66675,0.981862,0.699266,NS,Reversed (Aging Up / Training Down),FALSE
MDH1,0.2198,-0.127,0.377863,0.733906,0.214887,NS,Reversed (Aging Up / Training Down),FALSE
LYRM7,0.1351,-0.2109,0.881406,0.637314,0.533907,NS,Reversed (Aging Up / Training Down),TRUE
ATIC,-0.2653,0.0799,0.224979,0.90674,0.235382,NS,Reversed (Aging Down / Training Up),FALSE
PEX11B,0.0923,-0.2526,0.970821,0.634424,0.703162,NS,Reversed (Aging Up / Training Down),TRUE
CLUH,0.325,0.0196,0.689004,0.998296,0.79181,NS,Exacerbated Up,TRUE
KPNA6,-0.1957,0.1485,0.644338,0.717058,0.373692,NS,Reversed (Aging Down / Training Up),TRUE
SLC25A24,-0.1145,0.2297,0.862903,0.359295,0.325367,NS,Reversed (Aging Down / Training Up),TRUE
EIF3H,-0.2218,-0.1223,0.768308,0.902237,0.971648,NS,Exacerbated Down,TRUE
EHBP1L1,-0.2387,0.1051,0.479097,0.873791,0.37938499999999997,NS,Reversed (Aging Down / Training Up),TRUE
PGK1,-0.2876,0.0559,0.201667,0.962062,0.286237,NS,Reversed (Aging Down / Training Up),FALSE
RPL10A,-0.2444,0.0987,0.716777,0.949721,0.669934,NS,Reversed (Aging Down / Training Up),FALSE
MRPL21,0.0448,-0.2971,0.994749,0.630405,0.774169,NS,Reversed (Aging Up / Training Down),TRUE
ARIH2,-0.2616,0.0799,0.623774,0.948215,0.557885,NS,Reversed (Aging Down / Training Up),TRUE
TNPO1,-0.2097,0.1317,0.548043,0.767084,0.335601,NS,Reversed (Aging Down / Training Up),TRUE
RPA1,0.2297,-0.1117,0.586047,0.870027,0.446715,NS,Reversed (Aging Up / Training Down),TRUE
NACA,-0.2644,0.0768,0.203005,0.909346,0.220474,NS,Reversed (Aging Down / Training Up),FALSE
FH,0.2178,0.1233,0.300307,0.697566,0.919886,NS,Exacerbated Up,FALSE
HRC,-0.3041,0.0357,0.152484,0.985368,0.289199,NS,Reversed (Aging Down / Training Up),FALSE
ACADVL,0.2508,-0.0885,0.320624,0.895006,0.295246,NS,Reversed (Aging Up / Training Down),FALSE
DSTN,0.1422,0.1969,0.902143,0.764569,0.991977,NS,Exacerbated Up,TRUE
SUGT1,0.3096,0.0292,0.27688,0.991871,0.560993,NS,Exacerbated Up,TRUE
SMTNL1,-0.1896,-0.1491,0.835052,0.881389,0.996022,NS,Exacerbated Down,FALSE
NIT1,0.2556,-0.0825,0.553435,0.948386,0.542167,NS,Reversed (Aging Up / Training Down),TRUE
ARIH1,-0.0534,-0.2847,0.984542,0.389428,0.785394,NS,Exacerbated Down,TRUE
UBE2D1,0.0311,-0.3069,0.992768,0.176229,0.411712,NS,Reversed (Aging Up / Training Down),FALSE
ESYT2,-0.2355,0.1025,0.631187,0.894454,0.491609,NS,Reversed (Aging Down / Training Up),TRUE
TF,0.3146,0.0234,0.443269,0.996921,0.698797,NS,Exacerbated Up,FALSE
NDUFAB1,-0.2503,-0.0872,0.572533,0.943192,0.893797,NS,Exacerbated Down,FALSE
SORBS1,-0.0377,-0.2996,0.996427,0.581984,0.858885,NS,Exacerbated Down,TRUE
MLEC,-0.3289,-0.0083,0.159457,0.999399,0.420915,NS,Exacerbated Down,FALSE
LGALS1,0.336,0.0011,0.400068,0.999994,0.620077,NS,Exacerbated Up,FALSE
CSTB,0.3017,0.0352,0.362201,0.990881,0.676082,NS,Exacerbated Up,FALSE
BPNT1,0.3229,-0.0139,0.27985,0.998616,0.485608,NS,Reversed (Aging Up / Training Down),TRUE
UBA2,0.2671,0.0696,0.51565,0.95901,0.821807,NS,Exacerbated Up,TRUE
DPP7,0.3242,-0.0123,0.655348,0.99922,0.71442,NS,Reversed (Aging Up / Training Down),TRUE
VPS4B,0.2266,0.1098,0.737322,0.910907,0.954959,NS,Exacerbated Up,TRUE
ERLIN2,-0.2497,-0.0866,0.539031,0.938799,0.884033,NS,Exacerbated Down,FALSE
ME1,-0.1594,-0.1769,0.723344,0.595114,0.998462,NS,Exacerbated Down,FALSE
ALDH1A1,0.0873,-0.2488,0.952471,0.506512,0.551738,NS,Reversed (Aging Up / Training Down),FALSE
TKT,0.195,0.1411,0.800962,0.855642,0.991201,NS,Exacerbated Up,TRUE
HLA-B,0.2322,0.1034,0.804808,0.945358,0.960636,NS,Exacerbated Up,TRUE
ELOB,-0.2772,0.058,0.231185,0.958713,0.306722,NS,Reversed (Aging Down / Training Up),FALSE
DCTN4,0.2518,0.0833,0.578793,0.944144,0.882138,NS,Exacerbated Up,TRUE
ORM1,0.3335,-0.0014,0.601881,0.999993,0.754328,NS,Reversed (Aging Up / Training Down),FALSE
RPSA,-0.1237,0.2103,0.844832,0.468054,0.376932,NS,Reversed (Aging Down / Training Up),FALSE
VARS1,0.1799,0.154,0.687923,0.728248,0.996894,NS,Exacerbated Up,FALSE
GSTM3,-0.2776,0.0549,0.537337,0.981266,0.602798,NS,Reversed (Aging Down / Training Up),FALSE
PPP1CC,-0.1097,-0.2227,0.969673,0.681288,0.973596,NS,Exacerbated Down,TRUE
UBL4A,-0.2067,-0.1253,0.768315,0.873281,0.977849,NS,Exacerbated Down,TRUE
EIF2A,-0.3184,0.013,0.365812,0.998844,0.54088,NS,Reversed (Aging Down / Training Up),TRUE
MTAP,0.1658,-0.1653,0.842117,0.800699,0.613216,NS,Reversed (Aging Up / Training Down),TRUE
ABHD10,0.1682,-0.1625,0.801767,0.755831,0.530114,NS,Reversed (Aging Up / Training Down),TRUE
GLUD1,0.1697,0.1605,0.727086,0.708494,0.999634,NS,Exacerbated Up,FALSE
TNMD,0.1606,-0.1691,0.838571,0.784833,0.597363,NS,Reversed (Aging Up / Training Down),TRUE
COPB2,-0.1836,0.146,0.781689,0.779272,0.535031,NS,Reversed (Aging Down / Training Up),TRUE
ACTR3,0.2299,0.0992,0.306143,0.832229,0.856914,NS,Exacerbated Up,FALSE
MOGS,-0.2247,-0.1044,0.847078,0.942383,0.968861,NS,Exacerbated Down,TRUE
RGS12,-0.1073,-0.2213,0.947779,0.715414,0.96449,NS,Exacerbated Down,TRUE
ENOPH1,-0.1962,-0.1321,0.623313,0.795239,0.979148,NS,Exacerbated Down,TRUE
DDX39B,-0.2866,-0.0414,0.433171,0.987591,0.735626,NS,Exacerbated Down,TRUE
DYNC1H1,-0.2086,0.1194,0.456451,0.781874,0.29265,NS,Reversed (Aging Down / Training Up),FALSE
TXNDC17,-0.1831,0.1449,0.595915,0.69628,0.325538,NS,Reversed (Aging Down / Training Up),FALSE
MMUT,0.2754,0.0524,0.577605,0.983442,0.827222,NS,Exacerbated Up,TRUE
TRMT10C,0.3082,0.0196,0.281084,0.996524,0.546033,NS,Exacerbated Up,TRUE
ME2,-0.1474,0.1793,0.850521,0.730257,0.56892,NS,Reversed (Aging Down / Training Up),TRUE
RUVBL2,0.2469,0.0795,0.594252,0.950857,0.885643,NS,Exacerbated Up,TRUE
SGTA,0.2594,-0.0667,0.252089,0.938645,0.293401,NS,Reversed (Aging Up / Training Down),FALSE
SRSF11,-0.3214,0.0043,0.574215,0.999865,0.643314,NS,Reversed (Aging Down / Training Up),TRUE
EIF3L,-0.2063,0.1188,0.667072,0.871671,0.524111,NS,Reversed (Aging Down / Training Up),TRUE
CNIH4,-0.1734,-0.1511,0.834558,0.849513,0.998619,NS,Exacerbated Down,TRUE
YWHAH,0.2409,0.0832,0.294342,0.894053,0.800624,NS,Exacerbated Up,FALSE
SQOR,-0.223,0.101,0.832154,0.946091,0.742578,NS,Reversed (Aging Down / Training Up),TRUE
TMEM245,0.2492,-0.0745,0.567238,0.944919,0.513909,NS,Reversed (Aging Up / Training Down),TRUE
MMAB,-0.0392,-0.2842,0.992145,0.316178,0.745375,NS,Exacerbated Down,TRUE
AKR1C1,-0.2344,0.0889,0.676456,0.949003,0.637332,NS,Reversed (Aging Down / Training Up),TRUE
TTR,0.3076,0.0147,0.492845,0.998873,0.71449,NS,Exacerbated Up,FALSE
CLINT1,-0.3126,-0.0091,0.480707,0.999529,0.675669,NS,Exacerbated Down,TRUE
ATAD1,-0.2116,0.1101,0.59112,0.873143,0.468201,NS,Reversed (Aging Down / Training Up),FALSE
ITGA7,0.1372,-0.1843,0.819367,0.605281,0.441911,NS,Reversed (Aging Up / Training Down),FALSE
PPP5C,0.3,-0.021,0.119682,0.994475,0.274967,NS,Reversed (Aging Up / Training Down),TRUE
ERAP1,-0.1803,0.14,0.800712,0.860226,0.628874,NS,Reversed (Aging Down / Training Up),TRUE
FDXR,0.3115,0.0087,0.769014,0.999558,0.808925,NS,Exacerbated Up,TRUE
LRRC40,0.3001,-0.0194,0.770007,0.997556,0.768816,NS,Reversed (Aging Up / Training Down),TRUE
KHSRP,0.2109,-0.1084,0.641394,0.883564,0.513385,NS,Reversed (Aging Up / Training Down),TRUE
OPA1,0.2202,0.0988,0.520211,0.889133,0.917022,NS,Exacerbated Up,FALSE
PUF60,-0.2169,-0.1021,0.689975,0.873749,0.937877,NS,Exacerbated Down,TRUE
SNX5,0.1343,-0.1843,0.964785,0.845388,0.830802,NS,Reversed (Aging Up / Training Down),TRUE
EEF1A1,-0.2637,0.0542,0.461982,0.976071,0.531654,NS,Reversed (Aging Down / Training Up),FALSE
RPS4X,-0.1324,0.1852,0.826192,0.587892,0.436775,NS,Reversed (Aging Down / Training Up),FALSE
PHYKPL,0.1474,-0.1697,0.898277,0.79972,0.69027,NS,Reversed (Aging Up / Training Down),TRUE
GDI1,0.1816,-0.1346,0.469573,0.63997,0.215873,NS,Reversed (Aging Up / Training Down),FALSE
GCN1,-0.196,0.1199,0.778526,0.851372,0.583504,NS,Reversed (Aging Down / Training Up),TRUE
SSU72,-0.2995,0.0164,0.445009,0.997887,0.555542,NS,Reversed (Aging Down / Training Up),TRUE
IDH3A,0.0906,0.2251,0.918946,0.393847,0.890333,NS,Exacerbated Up,FALSE
BGN,0.2909,-0.0247,0.577482,0.996983,0.693609,NS,Reversed (Aging Up / Training Down),TRUE
PSMC4,-0.2506,0.0648,0.241838,0.936654,0.282073,NS,Reversed (Aging Down / Training Up),FALSE
CDH13,0.1501,-0.1653,0.809946,0.721561,0.516454,NS,Reversed (Aging Up / Training Down),FALSE
MGST3,-0.1643,-0.151,0.792574,0.791658,0.999349,NS,Exacerbated Down,FALSE
HSPB3,-0.1843,0.1306,0.79482,0.881571,0.645731,NS,Reversed (Aging Down / Training Up),FALSE
CDC37,0.3032,-0.0115,0.080214,0.998332,0.253153,NS,Reversed (Aging Up / Training Down),TRUE
ALDH7A1,0.2545,-0.0598,0.62742,0.97849,0.659054,NS,Reversed (Aging Up / Training Down),TRUE
TIMM44,0.2839,0.0304,0.309407,0.991672,0.633958,NS,Exacerbated Up,FALSE
SLC35A4,-0.1884,0.1258,0.739049,0.863524,0.568418,NS,Reversed (Aging Down / Training Up),TRUE
COQ3,0.2432,-0.07,0.446695,0.949572,0.46278,NS,Reversed (Aging Up / Training Down),FALSE
UNC45B,-0.1046,0.2084,0.8943,0.484563,0.444073,NS,Reversed (Aging Down / Training Up),FALSE
CHCHD7,0.2953,-0.0177,0.48265,0.998174,0.638754,NS,Reversed (Aging Up / Training Down),TRUE
ACO2,0.2909,-0.022,0.14965,0.994293,0.320895,NS,Reversed (Aging Up / Training Down),FALSE
AKR1C2,-0.1129,0.1998,0.951756,0.811032,0.769142,NS,Reversed (Aging Down / Training Up),TRUE
ACAA1,0.2286,-0.0837,0.558712,0.935211,0.523335,NS,Reversed (Aging Up / Training Down),FALSE
EIF3K,-0.2121,0.1001,0.623876,0.906502,0.532558,NS,Reversed (Aging Down / Training Up),FALSE
CD36,0.2182,0.0936,0.748447,0.949904,0.953933,NS,Exacerbated Up,FALSE
SHMT2,0.0158,0.2954,0.998961,0.409961,0.73194,NS,Exacerbated Up,TRUE
MAP2K6,0.2873,-0.0234,0.298672,0.995181,0.474279,NS,Reversed (Aging Up / Training Down),FALSE
DBI,0.0747,-0.2359,0.961192,0.494963,0.562282,NS,Reversed (Aging Up / Training Down),FALSE
RPS26,-0.2248,0.0851,0.650598,0.94607,0.611375,NS,Reversed (Aging Down / Training Up),FALSE
AP2M1,-0.2285,0.0814,0.564351,0.93759,0.52633,NS,Reversed (Aging Down / Training Up),TRUE
MRPS18B,-0.1377,0.1716,0.84894,0.701945,0.541711,NS,Reversed (Aging Down / Training Up),TRUE
PPID,0.0999,-0.2093,0.973153,0.810945,0.811916,NS,Reversed (Aging Up / Training Down),TRUE
FN3KRP,0.2627,0.0463,0.81284,0.992358,0.911919,NS,Exacerbated Up,TRUE
ITIH4,0.2121,0.0965,0.801979,0.948697,0.964313,NS,Exacerbated Up,TRUE
SERPINB6,-0.2094,0.0989,0.549792,0.885481,0.450578,NS,Reversed (Aging Down / Training Up),FALSE
NUCKS1,0.1905,-0.1178,0.578011,0.810108,0.397362,NS,Reversed (Aging Up / Training Down),FALSE
ADSS2,-0.2023,0.1058,0.738544,0.917607,0.636316,NS,Reversed (Aging Down / Training Up),TRUE
SRI,0.2161,0.0919,0.643658,0.929616,0.933741,NS,Exacerbated Up,TRUE
DHX15,0.2107,-0.0969,0.652322,0.902413,0.53274,NS,Reversed (Aging Up / Training Down),TRUE
S100A8,-0.016,0.2913,0.999468,0.758846,0.862454,NS,Reversed (Aging Down / Training Up),FALSE
ESYT1,-0.1742,-0.1329,0.820254,0.878777,0.994784,NS,Exacerbated Down,FALSE
COQ9,0.168,-0.1385,0.699253,0.757751,0.446219,NS,Reversed (Aging Up / Training Down),FALSE
MRPL4,-0.1239,0.1818,0.966893,0.819899,0.824391,NS,Reversed (Aging Down / Training Up),TRUE
GGCT,-0.1249,-0.1806,0.834875,0.579404,0.983048,NS,Exacerbated Down,FALSE
DDRGK1,-0.1953,0.1102,0.666982,0.877547,0.529948,NS,Reversed (Aging Down / Training Up),TRUE
EIF3I,-0.1838,0.1214,0.656233,0.81812,0.459996,NS,Reversed (Aging Down / Training Up),TRUE
RAD23B,0.2703,-0.0345,0.172902,0.98387,0.306387,NS,Reversed (Aging Up / Training Down),FALSE
EHD4,0.1783,0.1262,0.87348,0.868819,0.99248,NS,Exacerbated Up,TRUE
SCP2,-0.0765,0.2275,0.963334,0.57992,0.623242,NS,Reversed (Aging Down / Training Up),TRUE
UBAC1,0.2083,0.0957,0.597907,0.9054,0.934816,NS,Exacerbated Up,FALSE
GNB1,0.1512,-0.1522,0.72491,0.666299,0.399259,NS,Reversed (Aging Up / Training Down),FALSE
TUBA8,-0.2165,0.0868,0.470056,0.902461,0.411639,NS,Reversed (Aging Down / Training Up),FALSE
PFKL,-0.2806,0.0224,0.520355,0.997043,0.659589,NS,Reversed (Aging Down / Training Up),FALSE
ADI1,-0.2383,0.0647,0.808726,0.982576,0.797261,NS,Reversed (Aging Down / Training Up),TRUE
PPP2R5A,-0.2984,0.0045,0.573686,0.999898,0.723724,NS,Reversed (Aging Down / Training Up),TRUE
PRXL2A,0.1158,-0.1868,0.935529,0.788119,0.720143,NS,Reversed (Aging Up / Training Down),FALSE
SPTB,-0.2168,-0.0857,0.684403,0.947034,0.935143,NS,Exacerbated Down,FALSE
VPS36,-0.0042,-0.2982,0.99993,0.31867,0.686515,NS,Exacerbated Down,TRUE
GBE1,-0.0557,0.2465,0.979932,0.471041,0.595377,NS,Reversed (Aging Down / Training Up),FALSE
UTRN,-0.2661,-0.0359,0.475125,0.990326,0.754806,NS,Exacerbated Down,TRUE
MECR,0.2409,-0.0611,0.49488,0.96573,0.531299,NS,Reversed (Aging Up / Training Down),FALSE
XRCC6,0.277,0.0249,0.252638,0.99343,0.571729,NS,Exacerbated Up,TRUE
RAB12,0.1726,-0.1293,0.762317,0.835357,0.564817,NS,Reversed (Aging Up / Training Down),TRUE
PANK4,0.1704,-0.1314,0.751908,0.827804,0.551652,NS,Reversed (Aging Up / Training Down),FALSE
TMEM11,0.226,0.0754,0.468933,0.934552,0.859325,NS,Exacerbated Up,FALSE
U2AF2,-0.1245,0.1766,0.890916,0.709825,0.598012,NS,Reversed (Aging Down / Training Up),TRUE
CYB5B,-0.0958,-0.2051,0.957542,0.737759,0.965763,NS,Exacerbated Down,TRUE
GHITM,-0.2181,0.0828,0.622454,0.941365,0.581648,NS,Reversed (Aging Down / Training Up),FALSE
L2HGDH,0.2662,-0.0343,0.473572,0.991348,0.592863,NS,Reversed (Aging Up / Training Down),FALSE
COL6A1,-0.1809,0.1194,0.909915,0.955377,0.846402,NS,Reversed (Aging Down / Training Up),TRUE
