pearson_module,bicor_module,jaccard,n_shared,n_pearson,n_bicor
green,green,0.7668393782383419,148,164,177
brown,yellow,0.7478260869565218,172,197,205
blue,blue,0.7333333333333333,220,261,259
turquoise,turquoise,0.7294117647058823,310,345,390
black,red,0.5503355704697986,82,99,132
magenta,black,0.43448275862068964,63,78,130
red,brown,0.3498233215547703,99,146,236
