power,r2,mean_k,slope,selected
1,-0.010391551471679453,1056.427412255568,18.86457777397063,FALSE
2,0.06144067675049592,553.0394143611986,-10.262185512041482,FALSE
3,0.37773853868227464,301.6331390331956,-11.044808614759598,FALSE
4,0.5052855764614604,170.79157866391185,-7.404258646811127,FALSE
5,0.5625741340376657,100.1123094195095,-5.192172890614785,FALSE
6,0.6119691236359092,60.6096920921725,-4.108591824966781,FALSE
7,0.6724244775221105,37.826943854333216,-3.5092762877244046,FALSE
8,0.7229924139026287,24.297508452023937,-3.0212305549960585,FALSE
9,0.7839081926224651,16.040226519737164,-2.5926197307875207,FALSE
10,0.8372496000509669,10.869164800133595,-2.3067111984809667,FALSE
11,0.8502391747295468,7.5510243677907125,-2.410232729470786,FALSE
12,0.8744338123647749,5.372128282730392,-2.4180057151979426,TRUE
13,0.9024244842291573,3.909575724080588,-2.357370603866728,FALSE
14,0.9070890059768486,2.907116874541283,-2.3203919211980444,FALSE
15,0.912485604483054,2.206179068599348,-2.27156898969165,FALSE
16,0.8877858013374956,1.7066611488279309,-2.2215448553457176,FALSE
17,0.3533818141092933,1.3441687999306944,-3.3416676759142656,FALSE
18,0.3528007738482611,1.076528159634304,-3.183721282437817,FALSE
19,0.3516069130226575,0.8756429479439464,-3.044018113765071,FALSE
20,0.3508684333096237,0.7224886334264977,-2.9235145075243194,FALSE
