metric,estimate,ci_lower,ci_upper,p_value,n,note
Pearson_r,0.25867896418976055,0.21844601017281842,0.29803400397841884,1.1912230802860957e-33,2113,95% CI from cor.test()
Spearman_rho,0.2905184503113439,0.25098519450988876,0.3290841803673284,2.2606763794769383e-42,2113,95% CI via Fisher z-transformation
Sign_concordance_pct,61.807856128726925,59.67818267865594,63.84287742546143,NA,2113,"95% BCa bootstrap CI (10000 replicates, all proteins)"
Pearson_r_sig,0.36585402160428127,0.19896043516388517,0.5121250613073389,4.2830952315457776e-5,119,Sig proteins only — 95% CI from cor.test()
Spearman_rho_sig,0.3856359492949723,0.21148261099118967,0.534833248094755,1.729904520243631e-5,119,Sig proteins only — 95% BCa bootstrap CI (10000 replicates)
Sign_concordance_sig_pct,66.38655462184873,NA,NA,NA,119,Sign concordance among significant proteins only
