gene,logFC_Training_Young,logFC_Training_Old,pi_score_Young,pi_score_Old,pi_score_Interaction,significance,quadrant,imputed
NECTIN1,2.5396,-0.3402,1.5e-4,0.796194,3e-5,Interaction,Discordant (Young Up / Old Down),TRUE
GPT2,1.8669,-0.5924,5.3e-4,0.061142,1e-6,Interaction,Discordant (Young Up / Old Down),TRUE
CTSG,-2.0981,0.0989,0.001368,0.978241,0.001287,Interaction,Discordant (Young Down / Old Up),TRUE
CCDC137,-1.6349,-0.2155,1e-6,0.902426,0.004064,Interaction,Concordant Down,TRUE
FLT1,-1.6629,0.0429,4e-6,0.996468,3.07e-4,Interaction,Discordant (Young Down / Old Up),TRUE
IFT81,-1.4638,-0.0878,0,0.983188,0.0015,Interaction,Concordant Down,TRUE
COL3A1,-1.1307,0.3484,0.002345,0.709089,9.25e-4,Interaction,Discordant (Young Down / Old Up),TRUE
COL4A1,-1.3968,-0.0789,1.2e-5,0.984333,0.002523,Interaction,Concordant Down,TRUE
XIRP1,-0.9143,0.4334,5.11e-4,0.328903,8e-6,Interaction,Discordant (Young Down / Old Up),FALSE
CAV2,-0.9511,0.3582,0.080358,0.406001,0.007269,Interaction,Discordant (Young Down / Old Up),TRUE
ACTN2,-0.7901,0.4934,0.168305,0.569347,0.030806,Interaction,Discordant (Young Down / Old Up),FALSE
COPS7B,0.8259,-0.4562,0.039744,0.219019,6.11e-4,Interaction,Discordant (Young Up / Old Down),TRUE
UTP15,-1.1285,0.113,0.002219,0.9706,0.010264,Interaction,Discordant (Young Down / Old Up),TRUE
MSRB3,-1.2055,-0.0137,0.004227,0.999085,0.00799,Interaction,Concordant Down,TRUE
UBN2,-0.8972,0.2348,0.036521,0.872458,0.031511,Interaction,Discordant (Young Down / Old Up),FALSE
COL1A1,-1.0776,0.0287,0.004646,0.998286,0.035167,Interaction,Discordant (Young Down / Old Up),TRUE
MYL2,-0.8502,0.219,0.010853,0.845849,0.009435,Interaction,Discordant (Young Down / Old Up),FALSE
CILP,-0.7976,0.243,0.14844,0.626583,0.035747,Interaction,Discordant (Young Down / Old Up),TRUE
PREX1,-0.5886,0.4448,0.053062,0.153173,3.8e-4,Interaction,Discordant (Young Down / Old Up),TRUE
COL4A2,-0.9791,-0.0435,0.002154,0.994763,0.040516,Interaction,Concordant Down,TRUE
RPA2,-0.9608,0.0226,0.00179,0.997403,0.004663,Interaction,Discordant (Young Down / Old Up),TRUE
TES,-0.5997,0.3648,0.266665,0.485823,0.040366,Interaction,Discordant (Young Down / Old Up),TRUE
SSU72,-0.9348,0.0156,1e-6,0.998094,1.9e-5,Interaction,Discordant (Young Down / Old Up),TRUE
SLC25A46,0.8788,-0.0513,5.7e-4,0.979817,8.97e-4,Interaction,Discordant (Young Up / Old Down),TRUE
TOMM22,-0.747,0.1648,0.002147,0.862622,0.002855,Interaction,Discordant (Young Down / Old Up),FALSE
NID1,-0.7482,0.1152,0.021734,0.950402,0.033896,Interaction,Discordant (Young Down / Old Up),TRUE
PLEKHF1,-0.8074,0.046,2.48e-4,0.982567,6.12e-4,Interaction,Discordant (Young Down / Old Up),TRUE
CHDH,-0.4593,0.3919,0.295913,0.202024,0.012611,Interaction,Discordant (Young Down / Old Up),TRUE
CAPRIN1,-0.5687,0.2791,0.147531,0.643585,0.030816,Interaction,Discordant (Young Down / Old Up),TRUE
LAMC1,-0.8156,0.0149,0.005905,0.999262,0.040183,Interaction,Discordant (Young Down / Old Up),TRUE
DHRS11,-0.5968,0.1789,0.109306,0.790308,0.035907,Interaction,Discordant (Young Down / Old Up),TRUE
DCTN5,0.544,-0.1373,0.030388,0.848099,0.014906,Interaction,Discordant (Young Up / Old Down),TRUE
NDUFA6,-0.5088,0.1307,0.028377,0.882919,0.025736,Interaction,Discordant (Young Down / Old Up),FALSE
RPL24,-0.1891,0.3757,0.699951,0.151231,0.041667,Interaction,Discordant (Young Down / Old Up),TRUE
PVALB,-0.8463,-0.6518,0.094489,0.437413,0.955923,NS,Concordant Down,TRUE
HSPH1,-0.9505,0.3686,0.403708,0.8813,0.272285,NS,Discordant (Young Down / Old Up),TRUE
WARS2,-1.1207,-0.1701,0.074997,0.86005,0.19300899999999999,NS,Concordant Down,TRUE
TGFBI,-0.7861,-0.4506,0.050628,0.316063,0.748134,NS,Concordant Down,TRUE
ACTN1,-0.8139,0.3835,0.158066,0.736255,0.059355,NS,Discordant (Young Down / Old Up),FALSE
ACTN4,-0.7241,0.3669,0.158604,0.700902,0.050222,NS,Discordant (Young Down / Old Up),FALSE
GSTM1,-0.4637,0.5979,0.642924,0.461486,0.150106,NS,Discordant (Young Down / Old Up),TRUE
MYLK2,-0.5077,-0.5515,0.093359,0.059516,0.99403,NS,Concordant Down,FALSE
SLC2A4,0.6295,0.4037,0.274327,0.224382,0.893395,NS,Concordant Up,TRUE
TMPO,-0.6189,-0.4117,0.165758,0.157562,0.884449,NS,Concordant Down,TRUE
HAT1,-0.227,0.7991,0.899716,0.144925,0.11715,NS,Discordant (Young Down / Old Up),TRUE
ACTN3,-1.0077,-0.0169,0.074278,0.999613,0.230792,NS,Concordant Down,TRUE
NES,0.7403,-0.2738,0.121645,0.882984,0.14458,NS,Discordant (Young Up / Old Down),TRUE
MYOZ2,-0.5796,-0.414,0.392733,0.697585,0.965122,NS,Concordant Down,TRUE
SAMHD1,0.6254,0.3679,0.153292,0.278618,0.818934,NS,Concordant Up,TRUE
CSRP3,0.4827,0.509,0.103548,0.081905,0.997777,NS,Concordant Up,FALSE
TXNDC12,0.3947,-0.589,0.767153,0.231385,0.163408,NS,Discordant (Young Up / Old Down),TRUE
FTL,-0.521,0.4101,0.500118,0.649323,0.168454,NS,Discordant (Young Down / Old Up),TRUE
RRAD,0.4297,0.5014,0.481849,0.235372,0.989287,NS,Concordant Up,TRUE
GSN,0.4492,0.473,0.10796,0.086427,0.997962,NS,Concordant Up,FALSE
HMOX1,-0.7257,-0.1813,0.076441,0.867918,0.394735,NS,Concordant Down,TRUE
PPP1CC,-0.6828,-0.2235,0.126478,0.679583,0.502015,NS,Concordant Down,TRUE
MYH7,-0.6129,0.2561,0.15627,0.79801,0.074605,NS,Discordant (Young Down / Old Up),FALSE
CSTA,0.3016,0.5628,0.754088,0.260864,0.870237,NS,Concordant Up,TRUE
THRB,-0.5873,0.2695,0.268659,0.817299,0.142642,NS,Discordant (Young Down / Old Up),TRUE
ANKRD2,0.5178,0.3283,0.103746,0.493883,0.881239,NS,Concordant Up,FALSE
CPA3,-0.536,-0.3088,0.158429,0.496511,0.838794,NS,Concordant Down,TRUE
TPM3,-0.6589,0.1789,0.134758,0.91107,0.117501,NS,Discordant (Young Down / Old Up),FALSE
TPD52,0.2372,0.5987,0.717962,0.078524,0.603272,NS,Concordant Up,TRUE
ARPC1B,0.3659,0.467,0.277479,0.05118,0.956127,NS,Concordant Up,TRUE
KCTD12,-0.646,0.1821,0.236105,0.771053,0.093254,NS,Discordant (Young Down / Old Up),TRUE
TRMT112,-0.6782,0.1406,0.105239,0.906869,0.064563,NS,Discordant (Young Down / Old Up),TRUE
COL6A2,-0.5466,0.2552,0.294978,0.802505,0.140529,NS,Discordant (Young Down / Old Up),TRUE
NFU1,-0.4504,-0.3493,0.209129,0.147561,0.958912,NS,Concordant Down,TRUE
DHCR24,-0.5772,0.2211,0.249066,0.693556,0.074734,NS,Discordant (Young Down / Old Up),TRUE
LGALS3,0.4615,0.3344,0.057267,0.245982,0.919642,NS,Concordant Up,TRUE
TSPAN8,-0.3456,-0.4467,0.305083,0.106252,0.957652,NS,Concordant Down,TRUE
MYH13,0.5241,0.2656,0.379087,0.777451,0.872063,NS,Concordant Up,TRUE
S100A16,0.3458,0.4431,0.712988,0.445182,0.983763,NS,Concordant Up,TRUE
SOD3,-0.3409,-0.433,0.599256,0.249744,0.978453,NS,Concordant Down,TRUE
CAPG,0.3282,0.4457,0.707113,0.260194,0.970357,NS,Concordant Up,TRUE
IGLC2,0.4475,0.3259,0.325419,0.603376,0.963709,NS,Concordant Up,FALSE
MYH1,-0.6567,-0.1137,0.161051,0.967669,0.497432,NS,Concordant Down,FALSE
MT2A,-0.2338,-0.5347,0.694459,0.066575,0.666262,NS,Concordant Down,FALSE
IGKC,0.3992,0.3679,0.300517,0.38713,0.997144,NS,Concordant Up,FALSE
CTTN,0.3651,0.4012,0.616762,0.354146,0.997254,NS,Concordant Up,TRUE
NQO2,-0.5069,-0.2585,0.36442600000000003,0.81276,0.882416,NS,Concordant Down,TRUE
DNAJA4,0.4581,0.3052,0.107581,0.422973,0.901625,NS,Concordant Up,TRUE
TNNT1,-0.6682,0.0874,0.11382,0.979391,0.175695,NS,Discordant (Young Down / Old Up),FALSE
TMEM14C,-0.2004,-0.5542,0.824582,0.606819,0.841476,NS,Concordant Down,TRUE
LAMB2,-0.6624,-0.089,0.09892,0.973829,0.348449,NS,Concordant Down,TRUE
FLNA,0.4815,0.2678,0.059666,0.534815,0.79377,NS,Concordant Up,FALSE
ACTA1,-0.3986,0.3445,0.447877,0.578126,0.111062,NS,Discordant (Young Down / Old Up),FALSE
COL6A3,-0.4819,0.2566,0.309608,0.775125,0.137368,NS,Discordant (Young Down / Old Up),FALSE
FBLN2,-0.585,0.1532,0.405311,0.850618,0.234434,NS,Discordant (Young Down / Old Up),TRUE
PRUNE1,0.3809,-0.3558,0.589268,0.128858,0.09319,NS,Discordant (Young Up / Old Down),TRUE
PTRH2,-0.1098,0.6264,0.944664,0.113654,0.095576,NS,Discordant (Young Down / Old Up),TRUE
TNNC1,-0.6412,0.0916,0.091657,0.973773,0.141781,NS,Discordant (Young Down / Old Up),FALSE
MYL1,-0.3212,0.4079,0.637324,0.462897,0.140805,NS,Discordant (Young Down / Old Up),FALSE
IQGAP1,0.3232,0.3996,0.355972,0.055186,0.971835,NS,Concordant Up,TRUE
