cluster,mean_logFC,median_logFC,n_sig_FDR05,n_total,contrast
1,-0.03370894571248758,0.001053873881676995,33,356,Training_Young
2,0.006089359152861676,0.0104591112958907,82,631,Training_Young
1,0.024859951007875306,0.011291139663892849,0,356,Training_Old
2,0.012365075061128617,0.00799466885186462,0,631,Training_Old
1,-0.04980181654138933,0.012414532046106451,70,356,Aging
2,-0.03653669654103942,-0.0162801563837398,90,631,Aging
1,0.05856889672036288,-0.016125791089145053,0,356,Interaction
2,0.006275715908267005,-0.0237070803523345,0,631,Interaction
