quadrant,max_neg_log10_pvalue,n_overlap,matrix_rows,matrix_cols,n_shared_genes
Concordant_Up,38.9,652,213,213,2113
Concordant_Down,34.44,663,213,213,2113
Discordant_YoungUp_OldDown,36.99,399,213,213,2113
Discordant_YoungDown_OldUp,29.8,399,213,213,2113
