gene,logFC_Aging,logFC_Training_Young,logFC_Training_Old,pi_score_Interaction,interaction_magnitude
CTSG,-0.0506,-2.0953,0.1002,0.001184,2.1956
FLT1,-1.0221,-1.6632,0.0423,2.81e-4,1.7056
COL3A1,-0.9545,-1.1658,0.3477,5.3e-4,1.5135
CCDC137,-0.941,-1.6782,-0.2164,0.001843,1.4618
ACTN2,-1.9351,-0.884,0.4933,0.012272,1.3772
COL4A1,-0.6848,-1.436,-0.0795,0.001508,1.3565
ACTN1,-2.0379,-0.9384,0.3834,0.024408,1.3217
CAV2,-0.3232,-0.9482,0.3589,0.006882,1.3071
XIRP1,-0.7327,-0.8717,0.4336,2.3e-5,1.3053
COL1A2,-0.7415,-1.359,-0.0832,0.01944,1.2759
UBN2,-0.2278,-1.0031,0.2347,0.007495,1.2378
COL1A1,-0.8348,-1.197,0.0278,0.010773,1.2248000000000001
IFT81,-0.7544,-1.2969,-0.0873,0.014964,1.2096
MSRB3,-0.4369,-1.2083,-0.0131,0.007252,1.1952
MYL2,-0.0452,-0.9503,0.2178,0.001766,1.168
ACTN4,-1.753,-0.7896,0.3669,0.027183,1.1565
CILP,-0.324,-0.7967,0.2433,0.034154,1.0401
PREX1,-0.8451,-0.5831,0.4448,3.91e-4,1.028
COL4A2,-0.2268,-1.0712,-0.0443,0.014462,1.0269
RPA2,0.5005,-0.9583,0.0235,0.00438,0.9819
TES,-0.7267,-0.596,0.3646,0.039862,0.9606
MYH7,-0.5233,-0.6942,0.2547,0.029698,0.9489
TPM3,-0.7521,-0.7694,0.1787,0.038052,0.9482
SSU72,-0.2995,-0.9314,0.0164,1.8e-5,0.9478
TOMM22,-0.3723,-0.7784,0.165,0.001045,0.9434
MYL3,-0.3531,-0.8904,0.0464,0.032469,0.9368
NID1,-0.4149,-0.7647,0.1157,0.026852,0.8804
LAMC1,-0.3754,-0.8487,0.0146,0.027207,0.8633
PLEKHF1,-0.0164,-0.8051,0.0468,5.69e-4,0.8518
CHDH,-0.2334,-0.4576,0.3927,0.011995,0.8504
