gene,logFC_Y,logFC_O,logFC_Aging,divergence,category,response_pattern,facet_label
ACTN4,-0.789631429901117,0.366859783748204,-1.75304021116585,1.156491213649321,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
CILP,-0.796709190950377,0.243344216206243,-0.324003922995878,1.0400534071566199,Down Young / Up Old,Blunted,Down Young / Up Old (n = 20)
MT-CO1,-0.435543398008281,0.284796510806366,-0.751278984352641,0.7203399088146469,Down Young / Up Old,Blunted,Down Young / Up Old (n = 20)
COL1A1,-1.19700493035064,0.0277522387629467,-0.834824749354215,1.2247571691135868,Attenuated,Attenuated,Attenuated (n = 16)
COL3A1,-1.16584385169291,0.3476617654077,-0.954503355632923,1.51350561710061,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
COL4A1,-1.43599134701739,-0.079490400622209,-0.684782972937686,1.356500946395181,Attenuated,Attenuated,Attenuated (n = 16)
TPM3,-0.769440965324904,0.178715198449826,-0.752052816028929,0.94815616377473,Down Young / Up Old,Blunted,Down Young / Up Old (n = 20)
COL1A2,-1.35904425823285,-0.0831668059391681,-0.74146488203662,1.2758774522936818,Attenuated,Attenuated,Attenuated (n = 16)
CTSG,-2.09534212067371,0.100214819589691,-0.0506469452613807,2.195556940263401,Attenuated,Attenuated,Attenuated (n = 16)
COL4A2,-1.07121852756395,-0.0443363744771013,-0.226780660114262,1.0268821530868488,Attenuated,Attenuated,Attenuated (n = 16)
MYL3,-0.890363080598252,0.046430568793081,-0.353063924381711,0.936793649391333,Attenuated,Attenuated,Attenuated (n = 16)
MYL2,-0.950280276505598,0.217752391450713,-0.0452409525291522,1.1680326679563109,Down Young / Up Old,Blunted,Down Young / Up Old (n = 20)
LAMC1,-0.848722851479117,0.0146007670413937,-0.375351668837109,0.8633236185205106,Attenuated,Attenuated,Attenuated (n = 16)
ACTN1,-0.938365579991878,0.383382494768878,-2.03791540212113,1.321748074760756,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
MYH7,-0.694210512386469,0.25466300110435097,-0.523271452751178,0.9488735134908199,Down Young / Up Old,Blunted,Down Young / Up Old (n = 20)
NID1,-0.764715464459382,0.115665568839113,-0.414907015300496,0.8803810332984949,Attenuated,Attenuated,Attenuated (n = 16)
RPA2,-0.958334549448672,0.0235179733657418,0.50048330837679,0.9818525228144138,Attenuated,Attenuated,Attenuated (n = 16)
FLT1,-1.66322553066975,0.042338227563917,-1.02208812184713,1.7055637582336671,Attenuated,Attenuated,Attenuated (n = 16)
ACTN2,-0.883962305762655,0.493257794093587,-1.93506299796195,1.377220099856242,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
CAV2,-0.948199578899246,0.358856741961773,-0.323173099102323,1.3070563208610189,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
NDUFA6,-0.519515370776496,0.130950561678326,-0.317665074872522,0.650465932454822,Attenuated,Attenuated,Attenuated (n = 16)
ACTA1,-0.489114722325901,0.342563451347953,-0.60095598789287,0.831678173673854,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
RPL24,-0.22607401278869,0.375683870092114,-0.661055051284588,0.601757882880804,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
CAPRIN1,-0.566126514181883,0.279513531004667,-0.90194322026424,0.84564004518655,Down Young / Up Old,Blunted,Down Young / Up Old (n = 20)
CCDC137,-1.6781588249157,-0.216380249465857,-0.941026970102879,1.4617785754498431,Attenuated,Concordant,Attenuated (n = 16)
DHRS11,-0.595274633714368,0.179509659119272,0.101913589653844,0.7747842928336399,Down Young / Up Old,Blunted,Down Young / Up Old (n = 20)
UBN2,-1.0030786450533,0.234694208481706,-0.227847849469466,1.237772853535006,Down Young / Up Old,Blunted,Down Young / Up Old (n = 20)
XIRP1,-0.871654284906789,0.433615827414272,-0.732651476669243,1.305270112321061,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
MSRB3,-1.20834874717927,-0.0131389668097697,-0.436901229241023,1.1952097803695003,Attenuated,Attenuated,Attenuated (n = 16)
CHDH,-0.45764147105556,0.392725414193023,-0.233385936579694,0.8503668852485831,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
PREX1,-0.583109757965765,0.444847131028828,-0.845121018913817,1.0279568889945931,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
IFT81,-1.29685913282656,-0.0872742349153555,-0.75438712872392,1.2095848979112045,Attenuated,Attenuated,Attenuated (n = 16)
PLEKHF1,-0.805093522270464,0.0467534369295457,-0.0164275724070855,0.8518469592000097,Attenuated,Attenuated,Attenuated (n = 16)
SSU72,-0.931443295401014,0.0163923054053754,-0.299454717210979,0.9478356008063894,Attenuated,Attenuated,Attenuated (n = 16)
TOMM22,-0.778389822572397,0.165015740150626,-0.372335148637394,0.943405562723023,Down Young / Up Old,Blunted,Down Young / Up Old (n = 20)
TES,-0.596017926340936,0.364614633486925,-0.7267243228001,0.960632559827861,Down Young / Up Old,Reversed,Down Young / Up Old (n = 20)
