module,BMI_Pre,VL_Pre,LBM_Pre
MEgreen,-0.3248376380169431,0.0405144489849615,0.15641231831885216
MEpink,-0.30594583130102376,-0.01048017890910826,-0.03358417303554835
MEturquoise,-0.5183767771212692,-0.06566366796974607,-0.21462426749272714
MEbrown,0.4531482034865611,0.022723156238654108,0.07810329474504175
MEyellow,0.3150242301036587,0.2303875696096329,0.41088360921997974
MEmagenta,0.290160819083132,0.11842964334474299,0.3210169798152885
MEred,0.19874595852925342,0.17967424537313006,0.1211596514476412
MEblack,0.2609671687166585,-0.20600686495996387,0.2311217341374752
MEblue,0.4725785871891418,-4.056378997227448e-4,-0.06418617491423363
MEgrey,-0.016030671593269232,-0.4191543374962738,-0.13524694456041583
