module,age_num,time_num,interaction,VL_thick_cm,DXA_LBM_kg,BMI,Type_I_fCSA,Type_II_fCSA,deadlift_1rm_kg
MEgreen,0.15898778278220246,0.40425831485599595,0.40425831485599595,0.9640921849681524,0.5158992200380053,0.8235352721282546,0.3800325461736585,0.9391643059574781,0.6903906709860397
MEpink,0.8635239091235668,0.7242716158224995,0.9391643059574781,0.829919346943791,0.6536616465013676,0.7800081257942458,0.7800081257942458,0.6903906709860397,0.8862493012152162
MEturquoise,7.86904648527148e-9,0.8623342250068604,0.03528518603257853,0.15898778278220246,0.9391643059574781,0.40425831485599595,0.9640921849681524,0.11363820265802378,0.15898778278220246
MEbrown,0.8816530101855673,0.7242716158224995,0.7242716158224995,0.9391643059574781,0.9640921849681524,0.39897701299233806,0.8235352721282546,0.9293927461863526,0.7242716158224995
MEyellow,0.007251052331721825,0.74741525346143,0.2647580172865642,0.028577091069205664,0.7800081257942458,0.7800081257942458,0.720930932374236,0.08996472715284584,0.40425831485599595
MEmagenta,0.16789559123207382,0.4506799076972918,0.9391643059574781,0.82350173773333335,0.8235352721282546,0.8623342250068604,0.9293927461863526,0.9391643059574781,0.7825322594292099
MEred,0.058546751607383624,0.640157095300984,0.7800081257942458,0.2647580172865642,0.9293927461863526,0.5315596029793348,0.7800081257942458,0.8235352721282546,0.9391643059574781
MEblack,2.189250702502722e-9,0.9391643059574781,0.0026976625357835616,0.40425831485599595,0.9391643059574781,0.2591238816582645,0.7800081257942458,0.035602814867771226,0.35487773302729253
MEblue,0.002585625548668365,0.0081130696848041,0.640157095300984,0.82350173773333335,0.9017033259049456,0.2647580172865642,0.5182258850625826,0.8623342250068604,0.591950150311598
MEgrey,0.35487773302729253,0.11363820265802378,0.8666786338117181,0.25655108293191853,0.16510773795641073,0.9391643059574781,0.9293927461863526,0.640157095300984,0.8235352721282546
